REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
319,319,0,160,683,1,0,0,0,0,1,0,下位,0,0,0
226,226,0,91,388,0,0,0,319,699,185,1,下位,0,0,0
216,216,0,76,271,0,0,0,226,404,224,1,下位,0,0,0
622,622,0,204,793,0,0,0,216,287,163,1,下位,0,0,0
168,168,0,105,427,0,0,0,622,809,-31,4,下位,0,0,0
537,537,0,134,549,0,0,0,168,443,141,2,下位,0,0,0
412,412,0,21,39,0,0,0,537,565,-160,2,下位,0,0,0
51,51,0,26,62,0,1,412,537,565,-160,2,下位,0,412,55
374,374,0,77,318,0,2,463,537,565,-160,2,下位,0,51,78
648,648,0,24,55,0,0,0,837,334,-1043,1,下位,0,0,0
157,157,0,87,321,0,1,648,837,334,-1043,1,下位,0,648,71
344,344,0,896,4013,1,0,0,0,0,1,0,下位,0,0,0
157,157,0,456,2012,0,0,0,344,4029,805,8,上位,0,0,0
55,55,0,25,60,0,0,0,157,2028,367,8,上位,0,0,0
139,139,0,25,60,0,1,55,157,2028,367,8,上位,0,55,76
38,38,0,174,805,0,2,194,157,2028,367,8,上位,0,139,76
250,250,0,23,47,0,0,0,232,821,966,1,下位,0,0,0
202,202,0,602,2848,0,1,250,232,821,966,1,下位,0,250,63
614,614,0,26,62,0,0,0,452,2864,529,4,下位,0,0,0
158,158,0,167,715,0,1,614,452,2864,529,4,下位,0,614,78
137,137,0,25,60,0,0,0,772,731,93,2,下位,0,0,0
548,548,0,121,480,0,1,137,772,731,93,2,下位,0,137,76
359,359,0,76,282,0,0,0,685,496,-440,1,下位,0,0,0
696,696,0,25,58,0,0,0,359,298,-721,1,下位,0,0,0
233,233,0,70,235,0,1,696,359,298,-721,1,下位,0,696,74
237,237,0,67,240,1,0,0,0,0,1,0,下位,0,0,0
866,866,0,281,1263,0,0,0,237,256,-125,1,下位,0,0,0
145,145,0,115,409,0,0,0,866,1279,-243,3,下位,0,0,0
185,185,0,25,58,0,0,0,145,425,-52,2,下位,0,0,0
145,145,0,85,306,0,1,185,145,425,-52,2,下位,0,185,74
163,163,0,23,49,0,0,0,330,322,-189,1,下位,0,0,0
812,812,0,756,3398,0,1,163,330,322,-189,1,下位,0,163,65
84,84,0,74,271,0,0,0,975,3414,1717,7,下位,0,0,0
342,342,0,75,288,1,0,0,0,0,1,0,下位,0,0,0
82,82,0,26,62,0,0,0,342,304,-247,1,下位,0,0,0
208,208,0,26,62,0,1,82,342,304,-247,1,下位,0,82,78
156,156,0,129,511,0,2,290,342,304,-247,1,下位,0,208,78
681,681,0,107,427,0,0,0,446,527,-284,2,下位,0,0,0
162,162,0,25,58,0,0,0,681,443,-939,2,下位,0,0,0
112,112,0,133,462,0,1,162,681,443,-939,2,下位,0,162,74
83,83,0,82,288,0,0,0,274,478,-829,3,下位,0,0,0
379,379,0,84,317,0,0,0,83,304,-659,1,下位,0,0,0
359,359,0,351,1596,0,0,0,379,333,-937,1,下位,0,0,0
168,168,0,101,380,0,0,0,359,1612,96,4,下位,0,0,0
