REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
1021,342,827,622,1203,1,0,0,0,0,1,0,下位,0
679,30,778,622,1203,1,1,342,0,0,1,0,下位,0
649,94,715,622,1203,1,2,372,0,0,1,0,下位,0
555,223,658,622,1203,1,3,466,0,0,1,0,下位,0
332,131,437,622,1203,1,4,689,0,0,1,0,下位,0
201,39,282,622,1203,1,5,820,0,0,1,0,下位,0
162,115,221,622,1203,1,6,859,0,0,1,0,下位,0
47,47,0,622,1203,1,7,974,0,0,1,0,下位,0
59,59,0,153,248,0,0,0,1021,1250,482,8,下位,0
109,109,0,133,133,0,0,0,59,295,685,1,下位,0
1229,515,277,669,1321,0,0,0,109,180,695,1,下位,0
714,39,120,669,1321,0,1,515,109,180,695,1,下位,0
675,209,59,669,1321,0,2,554,109,180,695,1,下位,0
466,466,0,669,1321,0,3,763,109,180,695,1,下位,0
507,155,180,123,78,0,0,0,1229,1368,419,8,下位,0
352,18,121,123,78,0,1,155,1229,1368,419,8,下位,0
334,276,63,123,78,0,2,173,1229,1368,419,8,下位,0
58,58,0,123,78,0,3,449,1229,1368,419,8,下位,0
1237,143,762,368,602,0,0,0,507,125,-68,1,下位,0
1094,60,649,368,602,0,1,143,507,125,-68,1,下位,0
1034,160,586,368,602,0,2,203,507,125,-68,1,下位,0
874,248,525,368,602,0,3,363,507,125,-68,1,下位,0
626,164,362,368,602,0,4,611,507,125,-68,1,下位,0
462,126,349,368,602,0,5,775,507,125,-68,1,下位,0
336,10,234,368,602,0,6,901,507,125,-68,1,下位,0
326,27,175,368,602,0,7,911,507,125,-68,1,下位,0
299,62,114,368,602,0,8,938,507,125,-68,1,下位,0
237,192,55,368,602,0,9,1000,507,125,-68,1,下位,0
45,45,0,368,602,0,10,1192,507,125,-68,1,下位,0
494,494,0,172,231,1,0,0,0,0,1,0,下位,0
450,112,116,235,449,0,0,0,494,278,-493,1,下位,0
338,155,59,235,449,0,1,112,494,278,-493,1,下位,0
183,183,0,235,449,0,2,267,494,278,-493,1,下位,0
1114,213,567,285,501,0,0,0,450,496,-584,2,下位,0
901,42,454,285,501,0,1,213,450,496,-584,2,下位,0
859,82,345,285,501,0,2,255,450,496,-584,2,下位,0
777,11,288,285,501,0,3,337,450,496,-584,2,下位,0
766,65,227,285,501,0,4,348,450,496,-584,2,下位,0
701,492,170,285,501,0,5,413,450,496,-584,2,下位,0
209,12,53,285,501,0,6,905,450,496,-584,2,下位,0
197,197,0,285,501,0,7,917,450,496,-584,2,下位,0
1244,140,628,138,124,0,0,0,1114,548,-1211,3,下位,0
1104,493,567,138,124,0,1,140,1114,548,-1211,3,下位,0
611,91,456,138,124,0,2,633,1114,548,-1211,3,下位,0
520,69,397,138,124,0,3,724,1114,548,-1211,3,下位,0
451,198,178,138,124,0,4,793,1114,548,-1211,3,下位,0
253,238,61,138,124,0,5,991,1114,548,-1211,3,下位,0
15,15,0,138,124,0,6,1229,1114,548,-1211,3,下位,0
177,177,0,936,1760,0,0,0,1244,171,-2355,1,下位,0
78,78,0,91,113,0,0,0,177,1807,-825,12,下位,0
220,220,0,410,956,0,0,0,78,160,-787,1,下位,0
667,72,231,147,267,0,0,0,220,1003,-128,4,下位,0
595,492,170,147,267,0,1,72,220,1003,-128,4,下位,0
103,44,59,147,267,0,2,564,220,1003,-128,4,下位,0
59,59,0,147,267,0,3,608,220,1003,-128,4,下位,0
253,232,59,131,142,0,0,0,667,314,-626,1,下位,0
21,21,0,131,142,0,1,232,667,314,-626,1,下位,0
202,155,111,279,502,0,0,0,253,189,-774,1,下位,0
47,47,0,279,502,0,1,155,253,189,-774,1,下位,0
1029,471,340,137,125,1,0,0,0,0,1,0,下位,0
558,424,61,137,125,1,1,471,0,0,1,0,下位,0
134,134,0,137,125,1,2,895,0,0,1,0,下位,0
1483,413,673,452,759,0,0,0,1029,172,-1095,1,下位,0
1070,320,558,452,759,0,1,413,1029,172,-1095,1,下位,0
750,148,337,452,759,0,2,733,1029,172,-1095,1,下位,0
602,22,290,452,759,0,3,881,1029,172,-1095,1,下位,0
580,75,231,452,759,0,4,903,1029,172,-1095,1,下位,0
505,53,168,452,759,0,5,978,1029,172,-1095,1,下位,0
452,76,61,452,759,0,6,1031,1029,172,-1095,1,下位,0
376,376,0,452,759,0,7,1107,1029,172,-1095,1,下位,0
1232,85,449,574,1143,0,0,0,1483,806,-1933,5,下位,0
1147,264,386,574,1143,0,1,85,1483,806,-1933,5,下位,0
883,107,335,574,1143,0,2,349,1483,806,-1933,5,下位,0
776,18,284,574,1143,0,3,456,1483,806,-1933,5,下位,0
758,129,223,574,1143,0,4,474,1483,806,-1933,5,下位,0
629,336,112,574,1143,0,5,603,1483,806,-1933,5,下位,0
293,6,63,574,1143,0,6,939,1483,806,-1933,5,下位,0
287,287,0,574,1143,0,7,945,1483,806,-1933,5,下位,0
