REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
342,342,0,46,2,1,0,0,0,0,1,0,下位,0
30,30,0,51,16,1,1,342,0,0,1,0,下位,0
94,94,0,49,10,1,2,372,0,0,1,0,下位,0
223,223,0,104,174,1,3,466,0,0,1,0,下位,0
131,131,0,82,108,1,4,689,0,0,1,0,下位,0
39,39,0,50,14,1,5,820,0,0,1,0,下位,0
115,115,0,104,174,1,6,859,0,0,1,0,下位,0
47,47,0,622,1203,1,7,974,0,0,1,0,下位,0
59,59,0,153,248,0,0,0,1021,1250,482,8,下位,0
109,109,0,133,133,0,0,0,59,295,685,1,下位,0
515,515,0,82,110,0,0,0,109,180,695,1,下位,0
39,39,0,50,14,0,1,515,109,180,695,1,下位,0
209,209,0,50,12,0,2,554,109,180,695,1,下位,0
466,466,0,669,1321,0,3,763,109,180,695,1,下位,0
155,155,0,50,12,0,0,0,1229,1368,419,8,下位,0
18,18,0,49,11,0,1,155,1229,1368,419,8,下位,0
276,276,0,51,16,0,2,173,1229,1368,419,8,下位,0
58,58,0,123,78,0,3,449,1229,1368,419,8,下位,0
143,143,0,68,66,0,0,0,507,125,-68,1,下位,0
60,60,0,51,16,0,1,143,507,125,-68,1,下位,0
160,160,0,50,14,0,2,203,507,125,-68,1,下位,0
248,248,0,84,116,0,3,363,507,125,-68,1,下位,0
164,164,0,34,-34,0,4,611,507,125,-68,1,下位,0
126,126,0,68,68,0,5,775,507,125,-68,1,下位,0
10,10,0,50,12,0,6,901,507,125,-68,1,下位,0
27,27,0,50,14,0,7,911,507,125,-68,1,下位,0
62,62,0,50,12,0,8,938,507,125,-68,1,下位,0
192,192,0,48,8,0,9,1000,507,125,-68,1,下位,0
45,45,0,368,602,0,10,1192,507,125,-68,1,下位,0
494,494,0,172,231,1,0,0,0,0,1,0,下位,0
112,112,0,49,10,0,0,0,494,278,-493,1,下位,0
155,155,0,50,12,0,1,112,494,278,-493,1,下位,0
183,183,0,235,449,0,2,267,494,278,-493,1,下位,0
213,213,0,68,66,0,0,0,450,496,-584,2,下位,0
42,42,0,66,62,0,1,213,450,496,-584,2,下位,0
82,82,0,49,10,0,2,255,450,496,-584,2,下位,0
11,11,0,50,14,0,3,337,450,496,-584,2,下位,0
65,65,0,49,10,0,4,348,450,496,-584,2,下位,0
492,492,0,69,70,0,5,413,450,496,-584,2,下位,0
12,12,0,48,6,0,6,905,450,496,-584,2,下位,0
197,197,0,285,501,0,7,917,450,496,-584,2,下位,0
140,140,0,50,14,0,0,0,1114,548,-1211,3,下位,0
493,493,0,67,64,0,1,140,1114,548,-1211,3,下位,0
91,91,0,50,12,0,2,633,1114,548,-1211,3,下位,0
69,69,0,103,172,0,3,724,1114,548,-1211,3,下位,0
198,198,0,69,70,0,4,793,1114,548,-1211,3,下位,0
238,238,0,50,14,0,5,991,1114,548,-1211,3,下位,0
15,15,0,138,124,0,6,1229,1114,548,-1211,3,下位,0
177,177,0,936,1760,0,0,0,1244,171,-2355,1,下位,0
78,78,0,91,113,0,0,0,177,1807,-825,12,下位,0
220,220,0,410,956,0,0,0,78,160,-787,1,下位,0
72,72,0,50,14,0,0,0,220,1003,-128,4,下位,0
492,492,0,67,64,0,1,72,220,1003,-128,4,下位,0
44,44,0,50,12,0,2,564,220,1003,-128,4,下位,0
59,59,0,147,267,0,3,608,220,1003,-128,4,下位,0
232,232,0,50,12,0,0,0,667,314,-626,1,下位,0
21,21,0,131,142,0,1,232,667,314,-626,1,下位,0
155,155,0,67,64,0,0,0,253,189,-774,1,下位,0
47,47,0,279,502,0,1,155,253,189,-774,1,下位,0
471,471,0,123,232,1,0,0,0,0,1,0,下位,0
424,424,0,50,14,1,1,471,0,0,1,0,下位,0
134,134,0,137,125,1,2,895,0,0,1,0,下位,0
413,413,0,68,68,0,0,0,1029,172,-1095,1,下位,0
320,320,0,104,174,0,1,413,1029,172,-1095,1,下位,0
148,148,0,46,0,0,2,733,1029,172,-1095,1,下位,0
22,22,0,50,12,0,3,881,1029,172,-1095,1,下位,0
75,75,0,51,16,0,4,903,1029,172,-1095,1,下位,0
53,53,0,66,60,0,5,978,1029,172,-1095,1,下位,0
76,76,0,50,14,0,6,1031,1029,172,-1095,1,下位,0
376,376,0,452,759,0,7,1107,1029,172,-1095,1,下位,0
85,85,0,51,16,0,0,0,1483,806,-1933,5,下位,0
