REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
356,242,190,163,210,1,0,0,0,0,1,0,下位,0
114,81,92,124,210,1,1,242,0,0,1,0,下位,0
33,33,0,87,210,1,2,323,0,0,1,0,下位,0
363,363,0,862,2066,0,0,0,356,210,-289,2,下位,0
1970,31,845,452,274,0,0,0,363,2066,1074,20,下位,0
1939,159,760,418,274,0,1,31,363,2066,1074,20,下位,0
1780,184,650,374,274,0,2,190,363,2066,1074,20,下位,0
1596,327,529,326,274,0,3,374,363,2066,1074,20,下位,0
1269,367,415,280,274,0,4,701,363,2066,1074,20,下位,0
902,19,341,250,274,0,5,1068,363,2066,1074,20,下位,0
883,361,244,211,274,0,6,1087,363,2066,1074,20,下位,0
522,75,172,182,274,0,7,1448,363,2066,1074,20,下位,0
447,244,68,140,274,0,8,1523,363,2066,1074,20,下位,0
203,203,0,113,274,0,9,1767,363,2066,1074,20,下位,0
248,43,223,546,1095,0,0,0,1970,274,-1625,2,下位,0
205,145,92,494,1095,0,1,43,1970,274,-1625,2,下位,0
60,60,0,457,1095,0,2,188,1970,274,-1625,2,下位,0
362,362,0,630,1511,0,0,0,248,1095,-787,10,下位,0
1293,285,843,441,249,0,0,0,362,1511,22,14,下位,0
1008,55,772,413,249,0,1,285,362,1511,22,14,下位,0
953,42,675,374,249,0,2,340,362,1511,22,14,下位,0
911,81,568,331,249,0,3,382,362,1511,22,14,下位,0
830,72,449,283,249,0,4,463,362,1511,22,14,下位,0
758,241,362,248,249,0,5,535,362,1511,22,14,下位,0
517,65,262,208,249,0,6,776,362,1511,22,14,下位,0
452,144,164,169,249,0,7,841,362,1511,22,14,下位,0
308,96,57,126,249,0,8,985,362,1511,22,14,下位,0
212,212,0,103,249,0,9,1081,362,1511,22,14,下位,0
404,184,167,712,1541,0,0,0,1293,249,-1392,3,下位,0
220,116,69,673,1541,0,1,184,1293,249,-1392,3,下位,0
104,104,0,645,1541,0,2,300,1293,249,-1392,3,下位,0
400,314,208,628,1312,1,0,0,0,0,1,0,下位,0
86,47,103,586,1312,1,1,314,0,0,1,0,下位,0
39,39,0,545,1312,1,2,361,0,0,1,0,下位,0
881,115,720,364,181,0,0,0,400,1312,745,12,下位,0
766,147,623,325,181,0,1,115,400,1312,745,12,下位,0
619,25,536,290,181,0,2,262,400,1312,745,12,下位,0
594,196,404,237,181,0,3,287,400,1312,745,12,下位,0
398,25,305,197,181,0,4,483,400,1312,745,12,下位,0
373,73,184,149,181,0,5,508,400,1312,745,12,下位,0
300,16,89,111,181,0,6,581,400,1312,745,12,下位,0
284,284,0,75,181,0,7,597,400,1312,745,12,下位,0
476,87,217,303,519,0,0,0,881,181,-60,1,下位,0
389,292,119,264,519,0,1,87,881,181,-60,1,下位,0
97,97,0,216,519,0,2,379,881,181,-60,1,下位,0
29,29,0,212,507,0,0,0,476,519,-247,5,下位,0
220,220,0,217,520,0,0,0,29,507,204,5,下位,0
61,61,0,361,865,0,0,0,220,520,298,5,下位,0
83,83,0,141,338,0,0,0,61,865,1045,8,下位,0
234,234,0,650,1565,0,0,0,83,338,1222,3,下位,0
340,123,185,367,702,1,0,0,0,0,1,0,下位,0
217,130,87,328,702,1,1,123,0,0,1,0,下位,0
87,87,0,293,702,1,2,253,0,0,1,0,下位,0
541,103,204,219,331,0,0,0,340,702,229,7,下位,0
438,362,106,180,331,0,1,103,340,702,229,7,下位,0
76,76,0,138,331,0,2,465,340,702,229,7,下位,0
240,210,122,364,756,0,0,0,541,331,-285,3,下位,0
30,30,0,315,756,0,1,210,541,331,-285,3,下位,0
441,27,223,271,437,0,0,0,240,756,128,7,下位,0
414,167,112,227,437,0,1,27,240,756,128,7,下位,0
247,247,0,182,437,0,2,194,240,756,128,7,下位,0
233,233,0,85,205,0,0,0,441,437,-67,4,下位,0
1250,36,698,1107,1979,0,0,0,233,205,-314,3,下位,0
1214,38,578,1059,1979,0,1,36,233,205,-314,3,下位,0
1176,324,502,1029,1979,0,2,74,233,205,-314,3,下位,0
852,362,417,995,1979,0,3,398,233,205,-314,3,下位,0
490,30,291,945,1979,0,4,760,233,205,-314,3,下位,0
460,36,214,914,1979,0,5,790,233,205,-314,3,下位,0
424,83,99,868,1979,0,6,826,233,205,-314,3,下位,0
341,341,0,828,1979,0,7,909,233,205,-314,3,下位,0
974,367,379,476,782,0,0,0,1250,1979,-61,19,下位,0
607,96,274,434,782,0,1,367,1250,1979,-61,19,下位,0
511,65,196,403,782,0,2,463,1250,1979,-61,19,下位,0
446,362,95,363,782,0,3,528,1250,1979,-61,19,下位,0
84,84,0,325,782,0,4,890,1250,1979,-61,19,下位,0
346,93,291,298,434,1,0,0,0,0,1,0,下位,0
253,55,182,254,434,1,1,93,0,0,1,0,下位,0
198,72,95,219,434,1,2,148,0,0,1,0,下位,0
126,126,0,181,434,1,3,220,0,0,1,0,下位,0
84,84,0,258,617,0,0,0,346,434,55,4,下位,0
46,46,0,245,586,0,0,0,84,617,509,6,下位,0
1643,297,717,392,252,0,0,0,46,586,1006,6,下位,0
1346,257,630,357,252,0,1,297,46,586,1006,6,下位,0
1089,95,503,306,252,0,2,554,46,586,1006,6,下位,0
994,237,391,261,252,0,3,649,46,586,1006,6,下位,0
757,75,298,224,252,0,4,886,46,586,1006,6,下位,0
682,262,210,189,252,0,5,961,46,586,1006,6,下位,0
420,340,90,141,252,0,6,1223,46,586,1006,6,下位,0
80,80,0,105,252,0,7,1563,46,586,1006,6,下位,0
81,81,0,138,332,0,0,0,1643,252,-1209,2,下位,0
160,72,84,246,507,0,0,0,81,332,-1034,3,下位,0
88,88,0,212,507,0,1,72,81,332,-1034,3,下位,0
165,43,112,385,812,0,0,0,160,507,-754,5,下位,0
122,122,0,340,812,0,1,43,160,507,-754,5,下位,0
513,328,88,401,876,0,0,0,165,812,-149,8,下位,0
185,185,0,366,876,0,1,328,165,812,-149,8,下位,0
1235,134,617,703,1099,0,0,0,513,876,-180,8,下位,0
1101,196,505,658,1099,0,1,134,513,876,-180,8,下位,0
