REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
1045,65,1221,827,795,1,0,0,0,0,1,0,下位,0
980,447,808,827,795,1,1,65,0,0,1,0,下位,0
533,214,408,827,795,1,2,512,0,0,1,0,下位,0
319,319,0,827,795,1,3,726,0,0,1,0,下位,0
47,47,0,6261,8120,1,0,0,0,0,1,0,下位,0
612,612,0,767,759,0,0,0,47,8346,384,50,下位,0
820,820,0,1114,1574,1,0,0,0,0,1,0,下位,0
814,814,0,579,580,1,0,0,0,0,1,0,下位,0
888,442,427,705,871,1,0,0,0,0,1,0,下位,0
446,446,0,705,871,1,1,442,0,0,1,0,下位,0
596,596,0,572,428,1,0,0,0,0,1,0,下位,0
685,476,416,588,588,0,0,0,596,654,-279,1,下位,0
209,209,0,588,588,0,1,476,596,654,-279,1,下位,0
128,128,0,482,520,1,0,0,0,0,1,0,下位,0
349,95,411,546,445,1,0,0,0,0,1,0,下位,0
254,254,0,546,445,1,1,95,0,0,1,0,下位,0
2980,212,2520,481,523,1,0,0,0,0,1,0,下位,0
2768,348,2101,481,523,1,1,212,0,0,1,0,下位,0
2420,154,1690,481,523,1,2,560,0,0,1,0,下位,0
2266,368,1271,481,523,1,3,714,0,0,1,0,下位,0
1898,366,846,481,523,1,4,1082,0,0,1,0,下位,0
1532,639,419,481,523,1,5,1448,0,0,1,0,下位,0
893,893,0,481,523,1,6,2087,0,0,1,0,下位,0
284,284,0,1123,1714,1,0,0,0,0,1,0,下位,0
1949,710,1674,499,469,1,0,0,0,0,1,0,下位,0
1239,230,1263,499,469,1,1,710,0,0,1,0,下位,0
1009,268,844,499,469,1,2,940,0,0,1,0,下位,0
741,270,427,499,469,1,3,1208,0,0,1,0,下位,0
471,471,0,499,469,1,4,1478,0,0,1,0,下位,0
126,126,0,544,446,1,0,0,0,0,1,0,下位,0
672,672,0,3133,4647,1,0,0,0,0,1,0,下位,0
801,801,0,978,1054,1,0,0,0,0,1,0,下位,0
109,109,0,463,522,1,0,0,0,0,1,0,下位,0
563,306,419,505,533,1,0,0,0,0,1,0,下位,0
257,257,0,505,533,1,1,306,0,0,1,0,下位,0
1701,377,1676,870,1016,1,0,0,0,0,1,0,下位,0
1324,212,1265,870,1016,1,1,377,0,0,1,0,下位,0
1112,257,846,870,1016,1,2,589,0,0,1,0,下位,0
855,554,427,870,1016,1,3,846,0,0,1,0,下位,0
301,301,0,870,1016,1,4,1400,0,0,1,0,下位,0
237,237,0,676,802,1,0,0,0,0,1,0,下位,0
245,245,0,2270,3053,0,0,0,237,1028,658,4,下位,0
1284,595,891,667,664,1,0,0,0,0,1,0,下位,0
689,329,443,667,664,1,1,595,0,0,1,0,下位,0
360,360,0,667,664,1,2,924,0,0,1,0,下位,0
862,862,0,543,600,1,0,0,0,0,1,0,下位,0
30,30,0,1271,1353,1,0,0,0,0,1,0,下位,0
1195,242,403,5208,7468,0,0,0,30,1579,1533,9,下位,0
953,953,0,5208,7468,0,1,242,30,1579,1533,9,下位,0
830,830,0,776,706,1,0,0,0,0,1,0,下位,0
482,482,0,428,625,1,0,0,0,0,1,0,下位,0
506,506,0,645,674,1,0,0,0,0,1,0,下位,0
149,149,0,996,1252,1,0,0,0,0,1,0,下位,0
606,606,0,1302,1159,0,0,0,149,1478,1245,4,下位,0
95,95,0,668,853,1,0,0,0,0,1,0,下位,0
1347,451,1255,529,397,0,0,0,95,1079,931,2,下位,0
896,233,828,529,397,0,1,451,95,1079,931,2,下位,0
663,248,411,529,397,0,2,684,95,1079,931,2,下位,0
415,415,0,529,397,0,3,932,95,1079,931,2,下位,0
1238,239,427,868,1175,0,0,0,1347,623,698,1,下位,0
999,999,0,868,1175,0,1,239,1347,623,698,1,下位,0
