REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
107,107,0,346,485,1,0,0,0,0,1,0,下位,0
311,311,0,215,201,0,0,0,107,711,544,1,下位,0
830,830,0,214,193,0,1,311,107,711,544,1,下位,0
869,869,0,749,1090,0,2,1141,107,711,544,1,下位,0
231,231,0,216,209,0,0,0,2010,1316,-444,6,下位,0
634,634,0,216,207,0,1,231,2010,1316,-444,6,下位,0
160,160,0,216,209,0,2,865,2010,1316,-444,6,下位,0
472,472,0,215,201,0,3,1025,2010,1316,-444,6,下位,0
400,400,0,212,185,0,4,1497,2010,1316,-444,6,下位,0
450,450,0,214,193,0,5,1897,2010,1316,-444,6,下位,0
262,262,0,619,674,0,6,2347,2010,1316,-444,6,下位,0
239,239,0,219,225,0,0,0,2609,900,-1074,2,下位,0
272,272,0,214,193,0,1,239,2609,900,-1074,2,下位,0
172,172,0,420,397,1,0,0,0,0,1,0,下位,0
445,445,0,214,193,0,0,0,172,623,354,1,下位,0
1229,1229,0,215,201,0,1,445,172,623,354,1,下位,0
245,245,0,295,681,0,2,1674,172,623,354,1,下位,0
449,449,0,418,602,0,0,0,1919,907,-900,1,下位,0
449,449,0,212,185,0,0,0,449,828,-776,2,下位,0
237,237,0,1226,2069,0,1,449,449,828,-776,2,下位,0
107,107,0,215,201,1,0,0,0,0,1,0,下位,0
225,225,0,212,185,1,1,107,0,0,1,0,下位,0
328,328,0,218,217,1,2,332,0,0,1,0,下位,0
463,463,0,215,201,1,3,660,0,0,1,0,下位,0
460,460,0,1061,1741,1,4,1123,0,0,1,0,下位,0
672,672,0,398,473,0,0,0,1583,1967,1194,13,下位,0
264,264,0,216,209,0,0,0,672,699,840,1,下位,0
808,808,0,492,617,0,1,264,672,699,840,1,下位,0
892,892,0,214,193,1,0,0,0,0,1,0,下位,0
338,338,0,212,185,1,1,892,0,0,1,0,下位,0
625,625,0,212,185,1,2,1230,0,0,1,0,下位,0
470,470,0,215,201,1,3,1855,0,0,1,0,下位,0
141,141,0,1027,2056,1,0,0,0,0,1,0,下位,0
256,256,0,215,201,0,0,0,141,2282,2062,8,下位,0
513,513,0,463,909,0,1,256,141,2282,2062,8,下位,0
1233,1233,0,214,193,0,0,0,769,1135,2419,4,下位,0
254,254,0,340,513,1,0,0,0,0,1,0,下位,0
650,650,0,516,768,0,0,0,254,739,342,1,下位,0
1029,1029,0,484,837,0,0,0,650,994,317,2,下位,0
833,833,0,556,895,0,0,0,1029,1063,-233,2,下位,0
620,620,0,213,190,0,0,0,833,1121,-418,3,下位,0
248,248,0,211,174,0,1,620,833,1121,-418,3,下位,0
555,555,0,214,193,0,2,868,833,1121,-418,3,下位,0
152,152,0,212,185,0,3,1423,833,1121,-418,3,下位,0
333,333,0,215,201,0,4,1575,833,1121,-418,3,下位,0
236,236,0,218,217,1,0,0,0,0,1,0,下位,0
384,384,0,408,581,1,1,236,0,0,1,0,下位,0
669,669,0,214,191,0,0,0,620,807,279,2,下位,0
1055,1055,0,211,175,0,1,669,620,807,279,2,下位,0
262,262,0,216,209,0,2,1724,620,807,279,2,下位,0
1231,1231,0,866,1208,0,3,1986,620,807,279,2,下位,0
409,409,0,481,497,0,0,0,3217,1434,-2077,8,下位,0
284,284,0,211,177,0,0,0,409,723,-1995,2,下位,0
527,527,0,633,1142,1,0,0,0,0,1,0,下位,0
651,651,0,218,217,0,0,0,527,1368,543,5,下位,0
793,793,0,216,209,0,1,651,527,1368,543,5,下位,0
1065,1065,0,902,1608,0,2,1444,527,1368,543,5,下位,0
876,876,0,215,201,0,0,0,2509,1834,-677,8,下位,0
794,794,0,386,422,1,0,0,0,0,1,0,下位,0
1249,1249,0,398,420,0,0,0,794,648,-596,1,下位,0
242,242,0,211,177,0,0,0,1249,646,-1908,1,下位,0
246,246,0,505,633,0,1,242,1249,646,-1908,1,下位,0
419,419,0,214,193,0,0,0,488,859,-1411,3,下位,0
229,229,0,288,641,0,1,419,488,859,-1411,3,下位,0
844,844,0,211,177,1,0,0,0,0,1,0,下位,0
346,346,0,381,644,1,1,844,0,0,1,0,下位,0
891,891,0,214,193,0,0,0,1190,870,-591,2,下位,0
739,739,0,346,524,1,0,0,0,0,1,0,下位,0
228,228,0,212,185,0,0,0,739,750,-407,1,下位,0
651,651,0,215,201,0,1,228,739,750,-407,1,下位,0
