REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
145,145,0,105,69,1,0,0,0,0,1,0,下位,0
454,454,0,107,69,0,0,0,145,149,-83,2,下位,0
345,345,0,104,66,0,0,0,454,149,-664,2,下位,0
127,127,0,107,69,0,0,0,345,146,-1073,2,下位,0
133,133,0,310,318,0,0,0,127,149,-1128,2,下位,0
101,101,0,106,71,0,0,0,133,398,-944,8,下位,0
287,287,0,107,69,0,0,0,101,151,-955,2,下位,0
276,276,0,109,74,0,0,0,287,149,-1267,2,下位,0
357,357,0,162,218,0,0,0,276,154,-1557,2,下位,0
383,383,0,109,79,0,0,0,357,298,-1833,2,下位,0
544,544,0,107,69,0,0,0,383,159,-2290,2,下位,0
219,219,0,106,68,0,0,0,544,149,-3016,2,下位,0
250,250,0,277,282,0,0,0,219,148,-3220,2,下位,0
709,709,0,109,75,0,0,0,250,362,-3260,5,下位,0
251,251,0,187,290,0,0,0,709,155,-4245,2,下位,0
736,736,0,108,77,0,0,0,251,370,-4279,4,下位,0
169,169,0,107,76,0,0,0,736,157,-5305,2,下位,0
149,149,0,426,679,0,0,0,169,156,-5421,2,下位,0
255,255,0,133,144,1,0,0,0,0,1,0,下位,0
184,184,0,339,315,0,0,0,255,224,-185,3,下位,0
237,237,0,217,364,0,0,0,184,395,-86,7,下位,0
326,326,0,97,47,0,0,0,237,444,-23,5,下位,0
1000,1000,0,322,461,0,0,0,326,127,-420,2,下位,0
134,134,0,178,261,0,0,0,1000,541,-1487,7,下位,0
1000,1000,0,601,1405,0,0,0,134,341,-1361,3,下位,0
329,329,0,109,79,0,0,0,1000,1485,-1484,12,下位,0
490,490,0,174,256,0,0,0,329,159,-1854,2,下位,0
969,969,0,106,70,0,0,0,490,336,-2306,4,下位,0
230,230,0,158,212,0,0,0,969,150,-3714,2,下位,0
173,173,0,134,141,0,0,0,230,292,-3792,3,下位,0
350,350,0,161,221,0,0,0,173,221,-3849,3,下位,0
129,129,0,484,830,0,0,0,350,301,-4111,2,下位,0
418,418,0,211,350,0,0,0,129,910,-3408,9,下位,0
144,144,0,208,346,1,0,0,0,0,1,0,下位,0
200,200,0,109,75,0,0,0,144,426,195,3,下位,0
95,95,0,202,325,0,0,0,200,155,28,2,下位,0
347,347,0,104,65,0,0,0,95,405,280,3,下位,0
694,694,0,104,65,0,0,0,347,145,-133,2,下位,0
229,229,0,337,371,0,0,0,694,145,-1104,2,下位,0
145,145,0,106,66,0,0,0,229,451,-1021,7,下位,0
372,372,0,730,1249,0,0,0,145,146,-1108,2,下位,0
344,344,0,198,320,0,0,0,372,1329,-377,15,下位,0
217,217,0,105,63,0,0,0,344,400,-530,4,下位,0
106,106,0,103,65,0,0,0,217,143,-736,2,下位,0
140,140,0,154,198,0,0,0,106,145,-761,2,下位,0
540,540,0,107,69,0,0,0,140,278,-708,3,下位,0
212,212,0,169,241,0,0,0,540,149,-1427,2,下位,0
358,358,0,103,64,0,0,0,212,321,-1447,3,下位,0
1000,1000,0,506,869,0,0,0,358,144,-1879,2,下位,0
142,142,0,106,71,0,0,0,1000,949,-2538,10,下位,0
362,362,0,188,292,0,0,0,142,151,-2615,2,下位,0
341,341,0,107,70,0,0,0,362,372,-2825,3,下位,0
363,363,0,180,269,1,0,0,0,0,1,0,下位,0
420,420,0,530,767,0,0,0,363,349,-234,3,下位,0
690,690,0,103,64,0,0,0,420,847,-62,9,下位,0
392,392,0,231,411,0,0,0,690,144,-1027,2,下位,0
128,128,0,106,68,0,0,0,392,491,-1166,4,下位,0
863,863,0,109,75,0,0,0,128,148,-1224,2,下位,0
246,246,0,107,70,0,0,0,863,155,-2456,2,下位,0
164,164,0,175,253,0,0,0,246,150,-2701,2,下位,0
168,168,0,104,67,0,0,0,164,333,-2632,4,下位,0
145,145,0,104,68,0,0,0,168,147,-2755,2,下位,0
152,152,0,328,376,0,0,0,145,148,-2840,2,下位,0
196,196,0,575,1176,0,0,0,152,456,-2628,8,下位,0
99,99,0,108,73,0,0,0,196,1256,-1687,12,下位,0
107,107,0,388,665,0,0,0,99,153,-1693,2,下位,0
252,252,0,157,205,0,0,0,107,745,-1120,6,下位,0
238,238,0,1178,2961,0,0,0,252,285,-1240,3,下位,0
294,294,0,108,71,0,0,0,238,3041,1418,10,下位,0
517,517,0,338,397,1,0,0,0,0,1,0,下位,0
184,184,0,382,816,0,0,0,517,477,-353,8,下位,0
154,154,0,295,577,0,0,0,184,896,247,6,下位,0
174,174,0,256,138,0,0,0,154,657,656,4,下位,0
119,119,0,238,91,0,0,0,174,218,594,5,下位,0
161,161,0,450,995,0,0,0,119,171,574,4,下位,0
279,279,0,144,174,0,0,0,161,1075,1390,9,下位,0
395,395,0,502,1140,0,0,0,279,254,1195,3,下位,0
364,364,0,110,82,0,0,0,395,1220,1780,8,下位,0
160,160,0,108,79,0,0,0,364,162,1357,2,下位,0
170,170,0,151,194,0,0,0,160,159,1259,3,下位,0
359,359,0,109,80,0,0,0,170,274,1260,4,下位,0
127,127,0,200,321,0,0,0,359,160,843,2,下位,0
171,171,0,212,134,0,0,0,127,401,1040,4,下位,0
727,727,0,335,686,0,0,0,171,214,979,4,下位,0
190,190,0,219,120,0,0,0,727,766,576,7,下位,0
178,178,0,138,154,0,0,0,190,200,471,4,下位,0
295,295,0,120,109,1,0,0,0,0,1,0,下位,0
104,104,0,108,76,0,0,0,295,189,-284,3,下位,0
331,331,0,104,67,0,0,0,104,156,-295,2,下位,0
94,94,0,106,71,0,0,0,331,147,-680,2,下位,0
128,128,0,382,815,0,0,0,94,151,-680,2,下位,0
647,647,0,103,64,0,0,0,128,895,9,7,下位,0
189,189,0,150,190,0,0,0,647,144,-887,2,下位,0
336,336,0,370,780,0,0,0,189,270,-921,3,下位,0
206,206,0,205,151,0,0,0,336,860,-601,6,下位,0
216,216,0,107,75,0,0,0,206,231,-701,4,下位,0
116,116,0,514,629,0,0,0,216,155,-893,2,下位,0
260,260,0,106,70,0,0,0,116,709,-370,10,下位,0
118,118,0,391,527,0,0,0,260,150,-638,2,下位,0
113,113,0,133,139,0,0,0,118,607,-221,9,下位,0
760,760,0,137,148,0,0,0,113,219,-184,3,下位,0
341,341,0,376,797,0,0,0,760,228,-1178,3,下位,0
257,257,0,324,660,1,0,0,0,0,1,0,下位,0
188,188,0,265,499,0,0,0,257,740,328,4,下位,0
350,350,0,105,65,0,0,0,188,579,605,6,下位,0
140,140,0,167,236,0,0,0,350,145,187,2,下位,0
442,442,0,131,139,0,0,0,140,316,278,4,下位,0
298,298,0,319,642,0,0,0,442,219,-214,3,下位,0
1002,1002,0,114,90,0,0,0,298,722,29,3,下位,0
216,216,0,130,132,0,0,0,1002,170,-1412,3,下位,0
367,367,0,506,781,0,0,0,216,212,-1547,3,下位,0
223,223,0,328,210,0,0,0,367,861,-1276,9,下位,0
562,562,0,453,805,0,0,0,223,290,-1345,6,下位,0
264,264,0,316,638,0,0,0,562,885,-1364,10,上位,0
340,340,0,284,548,0,0,0,264,718,-1070,4,下位,0
246,246,0,224,385,0,0,0,340,628,-989,4,下位,0
208,208,0,106,67,0,0,0,246,465,-919,5,下位,0
140,140,0,105,68,0,0,0,208,147,-1106,2,下位,0
310,310,0,128,125,0,0,0,140,148,-1183,2,下位,0
571,571,0,243,213,1,0,0,0,0,1,0,下位,0
289,289,0,1009,2249,0,0,0,571,293,-624,5,下位,0
639,639,0,375,800,0,0,0,289,2329,123,15,上位,0
524,524,0,108,72,0,0,0,639,880,-24,8,下位,0
83,83,0,609,620,0,0,0,524,152,-714,2,下位,0
345,345,0,161,220,0,0,0,83,700,-147,12,下位,0
352,352,0,104,66,0,0,0,345,300,-402,2,下位,0
190,190,0,370,550,0,0,0,352,146,-822,2,下位,0
125,125,0,152,189,0,0,0,190,630,-497,5,下位,0
1000,1000,0,278,534,0,0,0,125,269,-429,3,下位,0
136,136,0,181,273,0,0,0,1000,614,-1423,4,下位,0
1001,1001,0,135,144,0,0,0,136,353,-1289,4,下位,0
143,143,0,219,137,0,0,0,1001,224,-2674,3,下位,0
149,149,0,107,70,0,0,0,143,217,-2687,4,下位,0
601,601,0,132,140,1,0,0,0,0,1,0,下位,0
354,354,0,135,148,0,0,0,601,220,-745,3,下位,0
95,95,0,108,71,0,0,0,354,228,-1086,3,下位,0
150,150,0,110,82,0,0,0,95,151,-1088,2,下位,0
326,326,0,147,183,0,0,0,150,162,-1167,2,下位,0
271,271,0,1767,4442,0,0,0,326,263,-1428,4,下位,0
324,324,0,109,80,0,0,0,271,4522,202,25,下位,0
212,212,0,129,132,0,0,0,324,160,-159,2,下位,0
459,459,0,107,68,0,0,0,212,212,-288,3,下位,0
432,432,0,116,97,0,0,0,459,148,-878,2,下位,0
30,30,0,254,468,1,0,0,0,0,1,0,下位,0
214,214,0,169,241,0,0,0,30,548,501,4,下位,0
628,628,0,243,435,0,0,0,214,321,478,3,下位,0
277,277,0,1165,2844,0,0,0,628,515,-17,3,下位,0
337,337,0,438,968,0,0,0,277,2924,122,20,上位,0
685,685,0,161,217,0,0,0,337,1048,628,7,下位,0
388,388,0,104,67,0,0,0,685,297,-176,2,下位,0
152,152,0,107,70,0,0,0,388,147,-653,2,下位,0
591,591,0,207,339,0,0,0,152,150,-747,2,下位,0
313,313,0,105,68,0,0,0,591,419,-1278,4,下位,0
142,142,0,104,66,0,0,0,313,148,-1633,2,下位,0
1000,1000,0,382,812,0,0,0,142,146,-1715,2,下位,0
754,754,0,104,67,0,0,0,1000,892,-2431,6,下位,0
262,262,0,188,172,0,0,0,754,147,-3496,2,下位,0
649,649,0,229,402,0,0,0,262,252,-3665,4,下位,0
179,179,0,195,306,0,0,0,649,482,-4226,4,下位,0
406,406,0,107,70,1,0,0,0,0,1,0,下位,0
218,218,0,218,371,0,0,0,406,150,-502,2,下位,0
149,149,0,237,111,0,0,0,218,451,-401,3,下位,0
216,216,0,432,946,0,0,0,149,191,-450,4,下位,0
472,472,0,654,1549,0,0,0,216,1026,229,9,下位,0
212,212,0,765,1772,0,0,0,472,1629,1100,11,下位,0
202,202,0,109,76,0,0,0,212,1852,23,13,上位,0
257,257,0,111,81,0,0,0,202,156,-146,2,下位,0
111,111,0,118,102,0,0,0,257,161,-398,2,下位,0
432,432,0,511,1160,0,0,0,111,182,-394,3,下位,0
192,192,0,106,66,0,0,0,432,1240,151,7,下位,0
163,163,0,113,87,0,0,0,192,146,-12,2,下位,0
113,113,0,413,381,0,0,0,163,167,-107,3,下位,0
101,101,0,402,445,0,0,0,113,461,172,9,下位,0
158,158,0,162,216,0,0,0,101,525,535,7,下位,0
349,349,0,463,1037,0,0,0,158,296,577,3,下位,0
142,142,0,304,605,0,0,0,349,1117,1133,5,下位,0
145,145,0,107,74,0,0,0,142,685,1590,6,下位,0
217,217,0,128,126,0,0,0,145,154,1511,2,下位,0
141,141,0,127,124,0,0,0,217,206,1368,3,下位,0
207,207,0,162,219,0,0,0,141,204,1345,3,下位,0
146,146,0,104,65,1,0,0,0,0,1,0,下位,0
539,539,0,252,467,0,0,0,146,145,-89,2,下位,0
218,218,0,200,327,0,0,0,539,547,-409,3,下位,0
672,672,0,368,566,0,0,0,218,407,-352,4,下位,0
1010,1010,0,211,356,0,0,0,672,646,-786,5,下位,0
1000,1000,0,1192,2670,0,0,0,1010,436,-1974,3,下位,0
957,957,0,106,67,0,0,0,1000,2750,-832,17,上位,0
770,770,0,101,59,0,0,0,957,147,-2224,2,下位,0
284,284,0,176,262,0,0,0,770,139,-3323,2,下位,0
233,233,0,108,71,0,0,0,284,342,-3438,3,下位,0
218,218,0,106,68,0,0,0,233,151,-3662,2,下位,0
133,133,0,107,69,0,0,0,218,148,-3864,2,下位,0
331,331,0,103,64,1,0,0,0,0,1,0,下位,0
