REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
832,832,0,419,947,1,0,0,0,0,1,0,下位,0
435,435,0,67,108,0,0,0,832,968,-203,3,下位,0
538,538,0,53,73,0,0,0,435,129,-687,2,下位,0
73,73,0,77,133,0,0,0,538,94,-1351,2,下位,0
744,744,0,479,1124,0,0,0,73,154,-1300,2,下位,0
90,90,0,280,474,1,0,0,0,0,1,0,下位,0
438,438,0,81,145,0,0,0,90,495,369,5,下位,0
619,619,0,125,255,0,0,0,438,166,-82,2,下位,0
61,61,0,426,750,0,0,0,619,276,-678,2,下位,0
152,152,0,57,85,0,0,0,61,771,7,8,下位,0
254,254,0,84,149,0,0,0,152,106,-101,2,下位,0
339,339,0,610,1415,0,0,0,254,170,-289,2,下位,0
346,346,0,193,297,0,0,0,339,1436,670,9,下位,0
216,216,0,90,167,0,0,0,346,318,501,4,下位,0
142,142,0,78,133,0,0,0,216,188,385,2,下位,0
239,239,0,66,102,0,0,0,142,154,339,2,下位,0
389,389,0,59,88,0,0,0,239,123,125,2,下位,0
261,261,0,85,154,1,0,0,0,0,1,0,下位,0
111,111,0,69,114,0,0,0,261,175,-192,2,下位,0
310,310,0,329,688,0,0,0,111,135,-213,2,下位,0
409,409,0,72,119,0,0,0,310,709,59,3,下位,0
1001,1001,0,62,97,0,0,0,409,140,-377,2,下位,0
915,915,0,135,278,0,0,0,1001,118,-1669,2,下位,0
287,287,0,264,588,1,0,0,0,0,1,0,下位,0
821,821,0,61,94,0,0,0,287,609,206,4,下位,0
457,457,0,72,122,0,0,0,821,115,-835,2,下位,0
1003,1003,0,81,145,0,0,0,457,143,-1336,2,下位,0
531,531,0,123,238,0,0,0,1003,166,-2583,2,下位,0
180,180,0,79,138,1,0,0,0,0,1,0,下位,0
352,352,0,225,368,0,0,0,180,159,-94,2,下位,0
271,271,0,156,322,0,0,0,352,389,-201,4,下位,0
301,301,0,88,162,0,0,0,271,343,-240,4,下位,0
335,335,0,97,183,0,0,0,301,183,-481,2,下位,0
97,97,0,610,1426,0,0,0,335,204,-749,2,下位,0
85,85,0,410,737,0,0,0,97,1447,561,3,下位,0
166,166,0,99,188,0,0,0,85,758,1199,6,下位,0
472,472,0,81,145,0,0,0,166,209,1174,2,下位,0
257,257,0,58,87,0,0,0,472,166,675,2,下位,0
267,267,0,631,1381,0,0,0,257,108,421,2,下位,0
89,89,0,89,162,1,0,0,0,0,1,0,下位,0
255,255,0,82,146,1,0,0,0,0,1,0,下位,0
68,68,0,115,225,0,0,0,255,167,-191,2,下位,0
181,181,0,162,339,1,0,0,0,0,1,0,下位,0
246,246,0,119,238,0,0,0,181,360,106,4,下位,0
198,198,0,172,366,1,0,0,0,0,1,0,下位,0
68,68,0,66,102,1,0,0,0,0,1,0,下位,0
115,115,0,89,163,0,0,0,68,123,28,2,下位,0
194,194,0,751,1579,0,0,0,115,184,50,2,下位,0
850,850,0,258,490,0,0,0,194,1600,1377,8,下位,0
256,256,0,547,1301,0,0,0,850,511,691,4,下位,0
78,78,0,82,147,1,0,0,0,0,1,0,下位,0
468,468,0,467,1054,0,0,0,78,168,59,2,下位,0
552,552,0,133,275,0,0,0,468,1075,475,5,下位,0
128,128,0,83,149,1,0,0,0,0,1,0,下位,0
156,156,0,60,91,0,0,0,128,170,-9,2,下位,0
871,871,0,463,1099,0,0,0,156,112,-117,2,下位,0
203,203,0,66,107,0,0,0,871,1120,-224,2,下位,0
118,118,0,73,124,0,0,0,203,128,-382,2,下位,0
49,49,0,105,162,0,0,0,118,145,-403,2,下位,0
53,53,0,218,480,1,0,0,0,0,1,0,下位,0
1010,1010,0,75,128,0,0,0,53,501,427,4,下位,0
166,166,0,166,310,0,0,0,1010,149,-847,2,下位,0
207,207,0,128,261,0,0,0,166,331,-750,3,下位,0
153,153,0,90,166,0,0,0,207,282,-760,2,下位,0
59,59,0,65,103,0,0,0,153,187,-788,2,下位,0
130,130,0,74,126,0,0,0,59,124,-747,2,下位,0
55,55,0,75,129,0,0,0,130,147,-783,2,下位,0
78,78,0,131,258,0,0,0,55,150,-710,2,下位,0
109,109,0,273,585,0,0,0,78,279,-541,4,下位,0
202,202,0,75,125,0,0,0,109,606,-89,3,下位,0
507,507,0,342,740,0,0,0,202,146,-228,2,下位,0
114,114,0,112,219,0,0,0,507,761,-181,5,下位,0
94,94,0,59,89,0,0,0,114,240,-102,2,下位,0
19,19,0,72,121,0,0,0,94,110,-124,2,下位,0
181,181,0,81,143,0,0,0,19,142,-9,2,下位,0
367,367,0,175,245,0,0,0,181,164,-100,2,下位,0
95,95,0,145,305,0,0,0,367,266,-351,4,下位,0
140,140,0,60,91,0,0,0,95,326,-159,2,下位,0
236,236,0,464,993,0,0,0,140,112,-244,2,下位,0
123,123,0,121,245,0,0,0,236,1014,438,6,下位,0
1002,1002,0,77,134,0,0,0,123,266,531,2,下位,0
281,281,0,270,558,0,0,0,1002,155,-725,2,下位,0
67,67,0,68,112,0,0,0,281,579,-542,3,下位,0
289,289,0,181,394,1,0,0,0,0,1,0,下位,0
154,154,0,65,103,0,0,0,289,415,9,2,下位,0
1007,1007,0,56,82,0,0,0,154,124,-84,2,下位,0
1001,1001,0,105,204,0,0,0,1007,103,-1399,2,下位,0
163,163,0,105,204,0,0,0,1001,225,-2584,2,下位,0
239,239,0,735,1640,0,0,0,163,225,-2589,2,下位,0
437,437,0,229,421,0,0,0,239,1661,-1265,7,下位,0
635,635,0,266,579,0,0,0,437,442,-1438,4,下位,0
238,238,0,82,146,0,0,0,635,600,-1732,5,下位,0
82,82,0,97,185,0,0,0,238,167,-1900,2,下位,0
454,454,0,72,122,0,0,0,82,206,-1809,2,下位,0
46,46,0,58,87,0,0,0,454,143,-2305,2,下位,0
225,225,0,69,114,0,0,0,46,108,-2262,2,下位,0
1004,1004,0,45,55,1,0,0,0,0,1,0,下位,0
1002,1002,0,216,423,0,0,0,1004,76,-1337,2,下位,0
688,688,0,138,287,0,0,0,1002,444,-2304,3,下位,0
72,72,0,204,365,0,0,0,688,308,-2965,2,下位,0
616,616,0,567,1324,0,0,0,72,386,-2680,3,下位,0
76,76,0,81,145,0,0,0,616,1345,-2203,3,下位,0
667,667,0,362,655,0,0,0,76,166,-2144,2,下位,0
279,279,0,96,182,0,0,0,667,676,-2407,5,下位,0
108,108,0,402,840,0,0,0,279,203,-2597,2,下位,0
895,895,0,151,292,0,0,0,108,861,-1888,6,下位,0
53,53,0,143,209,0,0,0,895,313,-2836,3,下位,0
126,126,0,668,1543,0,0,0,53,230,-2681,3,下位,0
408,408,0,88,162,1,0,0,0,0,1,0,下位,0
230,230,0,56,82,0,0,0,408,183,-391,2,下位,0
198,198,0,657,1509,0,0,0,230,103,-612,2,下位,0
506,506,0,47,59,0,0,0,198,1530,639,7,下位,0
73,73,0,301,562,0,0,0,506,80,6,2,下位,0
252,252,0,83,150,0,0,0,73,583,486,4,下位,0
370,370,0,66,107,0,0,0,252,171,302,2,下位,0
192,192,0,78,136,0,0,0,370,128,-91,2,下位,0
43,43,0,79,139,0,0,0,192,157,-204,2,下位,0
243,243,0,176,332,0,0,0,43,160,-105,2,下位,0
871,871,0,646,1307,0,0,0,243,353,-94,3,下位,0
988,988,0,96,182,0,0,0,871,1328,7,8,下位,0
51,51,0,62,93,0,0,0,988,203,-1182,2,下位,0
