REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
132,132,0,37,91,1,0,0,0,0,1,0,下位,0,0,0
532,532,0,67,165,0,0,0,132,91,-118,2,下位,0,0,0
124,124,0,11,24,0,0,0,532,165,-797,4,下位,0,0,0
104,104,0,173,433,0,0,0,124,24,-970,2,下位,0,0,0
215,215,0,747,1679,0,0,0,104,433,-702,8,下位,0,0,0
124,124,0,57,145,0,0,0,215,1679,636,24,下位,0,0,0
118,118,0,32,78,0,0,0,124,145,584,2,下位,0,0,0
930,126,251,321,760,0,0,0,118,78,475,2,下位,0,0,0
804,134,187,321,760,1,0,0,0,0,1,0,下位,0,0,0
670,242,129,321,760,1,1,134,0,0,1,0,下位,0,134,58
428,197,71,321,760,1,2,376,0,0,1,0,下位,0,242,58
231,231,0,321,760,1,3,573,0,0,1,0,下位,0,197,71
250,250,0,295,742,0,0,0,804,760,-329,9,下位,0,0,0
111,111,0,79,192,0,0,0,250,742,16,12,下位,0,0,0
470,236,84,201,506,0,0,0,111,192,32,6,下位,0,0,0
234,234,0,201,506,0,1,236,111,192,32,6,下位,0,236,84
238,110,43,56,137,0,0,0,470,506,-124,8,下位,0,0,0
128,128,0,56,137,1,0,0,0,0,1,0,下位,0,0,0
267,145,73,237,598,0,0,0,128,137,-65,4,下位,0,0,0
122,122,0,237,598,0,1,145,128,137,-65,4,下位,0,145,73
95,95,0,87,214,0,0,0,267,598,182,8,下位,0,0,0
102,102,0,54,131,0,0,0,95,214,245,6,下位,0,0,0
392,392,0,1155,2623,1,0,0,0,0,1,0,下位,0,0,0
914,914,0,23,52,0,0,0,392,2623,2002,26,下位,0,0,0
352,231,60,223,557,1,0,0,0,0,1,0,下位,0,0,0
121,121,0,223,557,1,1,231,0,0,1,0,下位,0,231,60
745,483,69,193,483,0,0,0,352,557,59,10,下位,0,0,0
262,262,0,193,483,0,1,483,352,557,59,10,下位,0,483,69
332,332,0,101,252,0,0,0,745,483,-572,8,下位,0,0,0
976,123,132,235,527,0,0,0,332,252,-847,6,下位,0,0,0
853,379,85,235,527,1,0,0,0,0,1,0,下位,0,0,0
474,212,34,235,527,1,1,379,0,0,1,0,下位,0,379,51
262,262,0,235,527,1,2,591,0,0,1,0,下位,0,212,34
116,116,0,17,39,0,0,0,853,527,-742,9,下位,0,0,0
264,144,43,204,516,0,0,0,116,39,-887,2,下位,0,0,0
120,120,0,204,516,0,1,144,116,39,-887,2,下位,0,144,43
413,413,0,116,289,0,0,0,264,516,-747,8,下位,0,0,0
348,137,19,276,689,0,0,0,413,289,-1114,6,下位,0,0,0
211,211,0,276,689,0,1,137,413,289,-1114,6,下位,0,137,19
360,109,71,209,524,0,0,0,348,689,-958,12,下位,0,0,0
251,251,0,209,524,0,1,109,348,689,-958,12,下位,0,109,71
497,372,73,75,187,0,0,0,360,524,-934,8,下位,0,0,0
125,125,0,75,187,0,1,372,360,524,-934,8,下位,0,372,73
965,758,34,27,65,0,0,0,497,187,-1462,4,下位,0,0,0
207,207,0,27,65,0,1,758,497,187,-1462,4,下位,0,758,34
232,114,47,267,667,0,0,0,965,65,-2895,2,下位,0,0,0
118,118,0,267,667,0,1,114,965,65,-2895,2,下位,0,114,47
440,440,0,30,73,1,0,0,0,0,1,0,下位,0,0,0
94,94,0,193,486,0,0,0,440,73,-624,2,下位,0,0,0
128,128,0,240,601,0,0,0,94,486,-287,8,下位,0,0,0
689,118,60,311,785,0,0,0,128,601,111,10,下位,0,0,0
571,571,0,311,785,0,1,118,128,601,111,10,下位,0,118,60
1139,1139,0,411,930,0,0,0,689,785,-137,10,下位,0,0,0
436,436,0,37,91,1,0,0,0,0,1,0,下位,0,0,0
236,108,60,253,629,1,0,0,0,0,1,0,下位,0,0,0
128,128,0,253,629,1,1,108,0,0,1,0,下位,0,108,60
220,115,47,1517,3437,0,0,0,236,629,316,12,下位,0,0,0
105,105,0,1517,3437,0,1,115,236,629,316,12,下位,0,115,47
1052,229,129,378,844,0,0,0,220,3437,3450,36,下位,0,0,0
823,577,60,378,844,0,1,229,220,3437,3450,36,下位,0,229,69
