REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
90,90,0,195,500,1,0,0,0,0,1,0,下位,0
1737,736,305,106,113,0,0,0,90,583,434,1,下位,0
1001,1001,0,106,113,0,1,736,90,583,434,1,下位,0
719,223,418,271,646,0,0,0,1737,196,-1960,1,下位,0
496,330,111,271,646,0,1,223,1737,196,-1960,1,下位,0
166,166,0,271,646,0,2,553,1737,196,-1960,1,下位,0
565,565,0,329,1096,0,0,0,719,729,-2012,3,下位,0
531,247,309,144,316,0,0,0,565,1179,-1775,3,下位,0
284,284,0,144,316,0,1,247,565,1179,-1775,3,下位,0
420,420,0,191,505,0,0,0,531,399,-1952,1,下位,0
688,500,303,181,399,0,0,0,420,588,-2064,1,下位,0
188,188,0,181,399,0,1,500,420,588,-2064,1,下位,0
241,241,0,1144,4168,0,0,0,688,482,-2425,2,下位,0
194,194,0,112,103,1,0,0,0,0,1,0,下位,0
1661,1000,420,212,357,0,0,0,194,186,-136,1,下位,0
661,236,311,212,357,0,1,1000,194,186,-136,1,下位,0
425,425,0,212,357,0,2,1236,194,186,-136,1,下位,0
1090,372,519,232,575,0,0,0,1661,440,-2044,2,下位,0
718,298,414,232,575,0,1,372,1661,440,-2044,2,下位,0
420,365,305,232,575,0,2,670,1661,440,-2044,2,下位,0
55,55,0,232,575,0,3,1035,1661,440,-2044,2,下位,0
940,81,1034,144,317,0,0,0,1090,658,-2684,2,下位,0
859,401,725,144,317,0,1,81,1090,658,-2684,2,下位,0
458,100,416,144,317,0,2,482,1090,658,-2684,2,下位,0
358,52,307,144,317,0,3,582,1090,658,-2684,2,下位,0
306,306,0,144,317,0,4,634,1090,658,-2684,2,下位,0
375,129,414,158,284,0,0,0,940,400,-2817,1,下位,0
246,185,305,158,284,0,1,129,940,400,-2817,1,下位,0
61,61,0,158,284,0,2,314,940,400,-2817,1,下位,0
237,237,0,307,864,0,0,0,375,367,-2661,1,下位,0
599,599,0,179,516,0,0,0,237,947,-2109,3,下位,0
231,231,0,165,157,0,0,0,599,599,-2508,1,下位,0
543,262,515,109,102,1,0,0,0,0,1,0,下位,0
281,53,406,109,102,1,1,262,0,0,1,0,下位,0
228,155,103,109,102,1,2,315,0,0,1,0,下位,0
73,73,0,109,102,1,3,470,0,0,1,0,下位,0
89,89,0,116,93,0,0,0,543,185,-204,1,下位,0
683,174,109,183,520,0,0,0,89,176,-176,1,下位,0
509,509,0,183,520,0,1,174,89,176,-176,1,下位,0
831,558,723,145,313,0,0,0,683,603,-602,1,下位,0
273,65,612,145,313,0,1,558,683,603,-602,1,下位,0
208,167,309,145,313,0,2,623,683,603,-602,1,下位,0
41,41,0,145,313,0,3,790,683,603,-602,1,下位,0
1176,107,218,198,363,0,0,0,831,396,-867,1,下位,0
1069,69,109,198,363,0,1,107,831,396,-867,1,下位,0
1000,1000,0,198,363,0,2,176,831,396,-867,1,下位,0
324,97,111,180,395,1,0,0,0,0,1,0,下位,0
227,227,0,180,395,1,1,97,0,0,1,0,下位,0
377,238,313,235,585,0,0,0,324,478,50,2,下位,0
139,139,0,235,585,0,1,238,324,478,50,2,下位,0
609,609,0,247,697,0,0,0,377,668,402,4,下位,0
3167,102,1656,289,915,0,0,0,609,780,167,3,下位,0
3065,680,1547,289,915,0,1,102,609,780,167,3,下位,0
2385,1000,1440,289,915,0,2,782,609,780,167,3,下位,0
1385,283,1135,289,915,0,3,1782,609,780,167,3,下位,0
1102,161,1028,289,915,0,4,2065,609,780,167,3,下位,0
941,432,725,289,915,0,5,2226,609,780,167,3,下位,0
509,45,418,289,915,0,6,2658,609,780,167,3,下位,0
464,143,309,289,915,0,7,2703,609,780,167,3,下位,0
321,321,0,289,915,0,8,2846,609,780,167,3,下位,0
249,249,0,204,360,0,0,0,3167,998,-2457,3,下位,0
843,245,109,371,1031,1,0,0,0,0,1,0,下位,0
598,598,0,371,1031,1,1,245,0,0,1,0,下位,0
429,224,111,191,369,0,0,0,843,1114,-181,3,下位,0
205,205,0,191,369,0,1,224,843,1114,-181,3,下位,0
204,204,0,126,78,0,0,0,429,452,-333,2,下位,0
2084,351,1745,192,385,0,0,0,204,161,-512,1,下位,0
1733,496,1439,192,385,0,1,351,204,161,-512,1,下位,0
1237,402,1136,192,385,0,2,847,204,161,-512,1,下位,0
835,250,827,192,385,0,3,1249,204,161,-512,1,下位,0
585,46,523,192,385,0,4,1499,204,161,-512,1,下位,0
539,44,418,192,385,0,5,1545,204,161,-512,1,下位,0
495,375,111,192,385,0,6,1589,204,161,-512,1,下位,0
120,120,0,192,385,0,7,1964,204,161,-512,1,下位,0
283,219,305,98,132,0,0,0,2084,468,-1773,2,下位,0
64,64,0,98,132,0,1,219,2084,468,-1773,2,下位,0
311,311,0,207,237,0,0,0,283,215,-1725,1,下位,0
1224,214,111,177,543,0,0,0,311,320,-1923,3,下位,0
1010,1010,0,177,543,0,1,214,311,320,-1923,3,下位,0
1003,1003,0,195,508,0,0,0,1224,626,-3226,1,下位,0
53,53,0,205,485,1,0,0,0,0,1,0,下位,0
441,441,0,229,591,0,0,0,53,568,481,1,下位,0
226,226,0,498,1354,0,0,0,441,674,420,2,下位,0
687,687,0,165,280,0,0,0,226,1437,1480,5,下位,0
325,63,313,155,179,0,0,0,687,363,698,1,下位,0
262,262,0,155,179,0,1,63,687,363,698,1,下位,0
1909,656,717,297,877,0,0,0,325,262,731,2,下位,0
1253,130,614,297,877,0,1,656,325,262,731,2,下位,0
1123,120,309,297,877,0,2,786,325,262,731,2,下位,0
1003,1003,0,297,877,0,3,906,325,262,731,2,下位,0
722,570,605,175,537,0,0,0,1909,960,-774,3,下位,0
152,71,296,175,537,0,1,570,1909,960,-774,3,下位,0
81,81,0,175,537,0,2,641,1909,960,-774,3,下位,0
432,155,212,282,640,0,0,0,722,620,-752,1,下位,0
277,230,105,282,640,0,1,155,722,620,-752,1,下位,0
47,47,0,282,640,0,2,385,722,620,-752,1,下位,0
411,76,109,192,498,1,0,0,0,0,1,0,下位,0
335,335,0,192,498,1,1,76,0,0,1,0,下位,0
503,405,111,386,1139,0,0,0,411,581,6,1,下位,0
98,98,0,386,1139,0,1,405,411,581,6,1,下位,0
189,189,0,358,913,0,0,0,503,1222,501,4,下位,0
354,354,0,182,402,0,0,0,189,996,1182,4,下位,0
