REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
90,90,0,195,500,1,0,0,0,0,1,0,下位,0
736,736,0,111,222,0,0,0,90,583,434,1,下位,0
1001,1001,0,106,113,0,1,736,90,583,434,1,下位,0
223,223,0,111,224,0,0,0,1737,196,-1960,1,下位,0
330,330,0,72,28,0,1,223,1737,196,-1960,1,下位,0
166,166,0,271,646,0,2,553,1737,196,-1960,1,下位,0
565,565,0,329,1096,0,0,0,719,729,-2012,3,下位,0
247,247,0,112,226,0,0,0,565,1179,-1775,3,下位,0
284,284,0,144,316,0,1,247,565,1179,-1775,3,下位,0
420,420,0,191,505,0,0,0,531,399,-1952,1,下位,0
500,500,0,111,220,0,0,0,420,588,-2064,1,下位,0
188,188,0,181,399,0,1,500,420,588,-2064,1,下位,0
241,241,0,1144,4168,0,0,0,688,482,-2425,2,下位,0
194,194,0,112,103,1,0,0,0,0,1,0,下位,0
1000,1000,0,72,26,0,0,0,194,186,-136,1,下位,0
236,236,0,112,228,0,1,1000,194,186,-136,1,下位,0
425,425,0,212,357,0,2,1236,194,186,-136,1,下位,0
372,372,0,71,22,0,0,0,1661,440,-2044,2,下位,0
298,298,0,72,26,0,1,372,1661,440,-2044,2,下位,0
365,365,0,111,222,0,2,670,1661,440,-2044,2,下位,0
55,55,0,232,575,0,3,1035,1661,440,-2044,2,下位,0
81,81,0,112,226,0,0,0,1090,658,-2684,2,下位,0
401,401,0,112,226,0,1,81,1090,658,-2684,2,下位,0
100,100,0,72,26,0,2,482,1090,658,-2684,2,下位,0
52,52,0,111,224,0,3,582,1090,658,-2684,2,下位,0
306,306,0,144,317,0,4,634,1090,658,-2684,2,下位,0
129,129,0,72,26,0,0,0,940,400,-2817,1,下位,0
185,185,0,111,222,0,1,129,940,400,-2817,1,下位,0
61,61,0,158,284,0,2,314,940,400,-2817,1,下位,0
237,237,0,307,864,0,0,0,375,367,-2661,1,下位,0
599,599,0,179,516,0,0,0,237,947,-2109,3,下位,0
231,231,0,165,157,0,0,0,599,599,-2508,1,下位,0
262,262,0,72,26,1,0,0,0,0,1,0,下位,0
53,53,0,111,220,1,1,262,0,0,1,0,下位,0
155,155,0,71,20,1,2,315,0,0,1,0,下位,0
73,73,0,109,102,1,3,470,0,0,1,0,下位,0
89,89,0,116,93,0,0,0,543,185,-204,1,下位,0
174,174,0,72,26,0,0,0,89,176,-176,1,下位,0
509,509,0,183,520,0,1,174,89,176,-176,1,下位,0
558,558,0,72,28,0,0,0,683,603,-602,1,下位,0
65,65,0,111,220,0,1,558,683,603,-602,1,下位,0
167,167,0,112,226,0,2,623,683,603,-602,1,下位,0
41,41,0,145,313,0,3,790,683,603,-602,1,下位,0
107,107,0,72,26,0,0,0,831,396,-867,1,下位,0
69,69,0,72,26,0,1,107,831,396,-867,1,下位,0
1000,1000,0,198,363,0,2,176,831,396,-867,1,下位,0
97,97,0,72,28,1,0,0,0,0,1,0,下位,0
227,227,0,180,395,1,1,97,0,0,1,0,下位,0
238,238,0,113,230,0,0,0,324,478,50,2,下位,0
139,139,0,235,585,0,1,238,324,478,50,2,下位,0
609,609,0,247,697,0,0,0,377,668,402,4,下位,0
102,102,0,72,26,0,0,0,609,780,167,3,下位,0
680,680,0,71,24,0,1,102,609,780,167,3,下位,0
1000,1000,0,111,222,0,2,782,609,780,167,3,下位,0
283,283,0,71,24,0,3,1782,609,780,167,3,下位,0
161,161,0,111,220,0,4,2065,609,780,167,3,下位,0
432,432,0,111,224,0,5,2226,609,780,167,3,下位,0
45,45,0,72,26,0,6,2658,609,780,167,3,下位,0
143,143,0,112,226,0,7,2703,609,780,167,3,下位,0
321,321,0,289,915,0,8,2846,609,780,167,3,下位,0
249,249,0,204,360,0,0,0,3167,998,-2457,3,下位,0
245,245,0,72,26,1,0,0,0,0,1,0,下位,0
598,598,0,371,1031,1,1,245,0,0,1,0,下位,0
224,224,0,72,28,0,0,0,843,1114,-181,3,下位,0
205,205,0,191,369,0,1,224,843,1114,-181,3,下位,0
204,204,0,126,78,0,0,0,429,452,-333,2,下位,0
351,351,0,111,223,0,0,0,204,161,-512,1,下位,0
496,496,0,111,220,0,1,351,204,161,-512,1,下位,0
402,402,0,112,226,0,2,847,204,161,-512,1,下位,0
250,250,0,111,221,0,3,1249,204,161,-512,1,下位,0
46,46,0,71,22,0,4,1499,204,161,-512,1,下位,0
44,44,0,111,224,0,5,1545,204,161,-512,1,下位,0
375,375,0,72,28,0,6,1589,204,161,-512,1,下位,0
120,120,0,192,385,0,7,1964,204,161,-512,1,下位,0
219,219,0,111,222,0,0,0,2084,468,-1773,2,下位,0
64,64,0,98,132,0,1,219,2084,468,-1773,2,下位,0
311,311,0,207,237,0,0,0,283,215,-1725,1,下位,0
214,214,0,72,28,0,0,0,311,320,-1923,3,下位,0
1010,1010,0,177,543,0,1,214,311,320,-1923,3,下位,0
1003,1003,0,195,508,0,0,0,1224,626,-3226,1,下位,0
53,53,0,205,485,1,0,0,0,0,1,0,下位,0
441,441,0,229,591,0,0,0,53,568,481,1,下位,0
226,226,0,498,1354,0,0,0,441,674,420,2,下位,0
687,687,0,165,280,0,0,0,226,1437,1480,5,下位,0
63,63,0,113,230,0,0,0,687,363,698,1,下位,0
262,262,0,155,179,0,1,63,687,363,698,1,下位,0
656,656,0,71,20,0,0,0,325,262,731,2,下位,0
130,130,0,111,222,0,1,656,325,262,731,2,下位,0
120,120,0,112,226,0,2,786,325,262,731,2,下位,0
1003,1003,0,297,877,0,3,906,325,262,731,2,下位,0
570,570,0,112,226,0,0,0,1909,960,-774,3,下位,0
71,71,0,109,213,0,1,570,1909,960,-774,3,下位,0
81,81,0,175,537,0,2,641,1909,960,-774,3,下位,0
155,155,0,71,24,0,0,0,722,620,-752,1,下位,0
230,230,0,71,22,0,1,155,722,620,-752,1,下位,0
47,47,0,282,640,0,2,385,722,620,-752,1,下位,0
76,76,0,72,26,1,0,0,0,0,1,0,下位,0
335,335,0,192,498,1,1,76,0,0,1,0,下位,0
405,405,0,72,28,0,0,0,411,581,6,1,下位,0
98,98,0,386,1139,0,1,405,411,581,6,1,下位,0
189,189,0,358,913,0,0,0,503,1222,501,4,下位,0
354,354,0,182,402,0,0,0,189,996,1182,4,下位,0
40,40,0,337,823,0,0,0,354,485,1077,2,下位,0
158,158,0,71,24,0,0,0,40,906,1916,3,下位,0
139,139,0,178,527,0,1,158,40,906,1916,3,下位,0
109,109,0,201,488,0,0,0,297,610,2138,1,下位,0
62,62,0,250,824,0,0,0,109,571,269,1,下位,0
510,510,0,111,224,0,0,0,62,907,1073,2,下位,0
945,945,0,112,226,0,1,510,62,907,1073,2,下位,0
609,609,0,71,24,0,2,1455,62,907,1073,2,下位,0
387,387,0,148,304,0,3,2064,62,907,1073,2,下位,0
441,441,0,72,26,0,0,0,2451,387,-1902,1,下位,0
149,149,0,71,24,0,1,441,2451,387,-1902,1,下位,0
35,35,0,73,30,0,2,590,2451,387,-1902,1,下位,0
615,615,0,246,557,0,3,625,2451,387,-1902,1,下位,0
94,94,0,175,537,1,0,0,0,0,1,0,下位,0
117,117,0,264,786,0,0,0,94,620,464,1,下位,0
372,372,0,162,287,0,0,0,117,869,1138,2,下位,0
411,411,0,209,616,0,0,0,372,370,888,1,下位,0
213,213,0,71,24,0,0,0,411,699,902,2,下位,0
977,977,0,212,496,0,1,213,411,699,902,2,下位,0
85,85,0,260,805,0,0,0,1190,579,-395,3,下位,0
525,525,0,595,1653,0,0,0,85,888,351,2,下位,0
229,229,0,72,26,0,0,0,525,1736,1212,8,下位,0
39,39,0,207,482,0,1,229,525,1736,1212,8,下位,0
128,128,0,228,592,0,0,0,268,565,1439,1,下位,0
211,211,0,176,537,0,0,0,128,675,1901,2,下位,0
100,100,0,71,24,0,0,0,211,620,2169,1,下位,0
357,357,0,286,740,0,1,100,211,620,2169,1,下位,0
182,182,0,72,28,0,0,0,457,823,2337,2,下位,0
295,295,0,271,912,0,1,182,457,823,2337,2,下位,0
