REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
184,184,0,13,63,1,0,0,0,0,1,0,下位,0
129,129,0,34,172,0,0,0,184,63,-233,1,下位,0
605,605,0,44,220,0,0,0,129,172,-269,1,下位,0
82,82,0,12,60,0,0,0,605,220,-1025,1,下位,0
333,333,0,68,339,0,0,0,82,60,-1097,1,下位,0
437,437,0,94,468,0,0,0,333,339,-1295,1,下位,0
26,26,0,36,178,0,0,0,437,468,-1532,1,下位,0
7,7,0,12,60,0,0,0,26,178,-1396,1,下位,0
230,230,0,67,335,0,0,0,7,60,-1347,1,下位,0
27,27,0,12,62,0,0,0,230,335,-1383,1,下位,0
46,46,0,174,871,0,0,0,27,62,-1365,1,下位,0
85,85,0,130,650,0,0,0,46,871,-568,1,下位,0
679,679,0,54,272,0,0,0,85,650,-55,1,下位,0
145,145,0,12,58,0,0,0,679,272,-878,1,下位,0
64,64,0,13,63,0,0,0,145,58,-1054,1,下位,0
168,168,0,13,63,0,0,0,64,63,-1094,1,下位,0
90,90,0,11,57,0,0,0,168,63,-1302,1,下位,0
112,112,0,12,58,0,0,0,90,57,-1390,1,下位,0
124,124,0,145,725,0,0,0,112,58,-1513,1,下位,0
368,368,0,13,63,0,0,0,124,725,-988,1,下位,0
262,262,0,27,135,1,0,0,0,0,1,0,下位,0
179,179,0,80,402,0,0,0,262,135,-287,1,下位,0
202,202,0,131,654,0,0,0,179,402,-174,1,下位,0
79,79,0,11,54,0,0,0,202,654,154,1,下位,0
285,285,0,47,237,0,0,0,79,54,81,1,下位,0
316,316,0,12,61,0,0,0,285,237,-142,1,下位,0
5,5,0,11,56,0,0,0,316,61,-591,1,下位,0
41,41,0,139,696,0,0,0,5,56,-543,1,下位,0
318,318,0,73,363,0,0,0,41,696,87,1,下位,0
375,375,0,12,61,0,0,0,318,363,-63,1,下位,0
657,657,0,88,439,0,0,0,375,61,-607,1,下位,0
146,146,0,12,61,0,0,0,657,439,-1228,1,下位,0
144,144,0,68,341,0,0,0,146,61,-1402,1,下位,0
224,224,0,67,335,1,0,0,0,0,1,0,下位,0
98,98,0,12,60,0,0,0,224,335,-25,1,下位,0
201,201,0,13,63,0,0,0,98,60,-123,1,下位,0
724,724,0,31,156,0,0,0,201,63,-384,1,下位,0
21,21,0,12,59,0,0,0,724,156,-1396,1,下位,0
433,433,0,11,57,0,0,0,21,59,-1371,1,下位,0
180,180,0,11,53,0,0,0,433,57,-2012,1,下位,0
90,90,0,12,59,1,0,0,0,0,1,0,下位,0
11,11,0,90,449,0,0,0,90,59,-85,1,下位,0
8,8,0,104,520,0,0,0,11,449,346,1,下位,0
187,187,0,123,617,0,0,0,8,520,853,1,下位,0
421,421,0,78,391,0,0,0,187,617,1168,1,下位,0
176,176,0,220,1098,0,0,0,421,391,880,1,下位,0
70,70,0,23,113,0,0,0,176,1098,1694,1,下位,0
684,684,0,75,376,0,0,0,70,113,1694,1,下位,0
103,103,0,12,59,0,0,0,684,376,967,1,下位,0
495,495,0,125,623,0,0,0,103,59,860,1,下位,0
154,154,0,12,59,0,0,0,495,623,685,1,下位,0
138,138,0,12,61,0,0,0,154,59,496,1,下位,0
292,292,0,11,57,0,0,0,138,61,334,1,下位,0
10,10,0,12,58,1,0,0,0,0,1,0,下位,0
187,187,0,12,62,0,0,0,10,58,43,1,下位,0
42,42,0,31,154,0,0,0,187,62,-197,1,下位,0
99,99,0,29,143,0,0,0,42,154,-111,1,下位,0
240,240,0,40,200,0,0,0,99,143,-128,1,下位,0
57,57,0,12,61,0,0,0,240,200,-315,1,下位,0
294,294,0,11,57,0,0,0,57,61,-346,1,下位,0
55,55,0,111,555,0,0,0,294,57,-763,1,下位,0
268,268,0,158,790,0,0,0,55,555,-297,1,下位,0
113,113,0,108,540,0,0,0,268,790,61,1,下位,0
13,13,0,81,406,0,0,0,113,540,419,1,下位,0
42,42,0,12,58,0,0,0,13,406,804,1,下位,0
55,55,0,169,847,0,0,0,42,58,794,1,下位,0
48,48,0,12,58,0,0,0,55,847,1552,1,下位,0
35,35,0,13,64,0,0,0,48,58,1533,1,下位,0
539,539,0,11,53,0,0,0,35,64,1541,1,下位,0
10,10,0,57,284,1,0,0,0,0,1,0,下位,0
438,438,0,156,781,0,0,0,10,284,269,1,下位,0
257,257,0,104,521,0,0,0,438,781,344,1,下位,0
91,91,0,70,350,0,0,0,257,521,450,1,下位,0
22,22,0,11,54,0,0,0,91,350,653,1,下位,0
166,166,0,11,57,0,0,0,22,54,672,1,下位,0
187,187,0,124,621,0,0,0,166,57,461,1,下位,0
626,626,0,99,493,0,0,0,187,621,780,1,下位,0
158,158,0,12,62,0,0,0,626,493,263,1,下位,0
119,119,0,12,62,0,0,0,158,62,70,1,下位,0
245,245,0,62,308,0,0,0,119,62,-60,1,下位,0
923,923,0,12,61,0,0,0,245,308,-147,1,下位,0
227,227,0,93,467,0,0,0,923,61,-1575,1,下位,0
230,230,0,51,257,0,0,0,227,467,-1474,1,下位,0
51,51,0,11,57,1,0,0,0,0,1,0,下位,0
590,590,0,45,223,0,0,0,51,57,-24,1,下位,0
350,350,0,12,59,0,0,0,590,223,-753,1,下位,0
211,211,0,12,61,0,0,0,350,59,-1259,1,下位,0
63,63,0,27,137,0,0,0,211,61,-1538,1,下位,0
2,2,0,61,303,0,0,0,63,137,-1503,1,下位,0
141,141,0,11,54,0,0,0,2,303,-1203,1,下位,0
117,117,0,11,55,0,0,0,141,54,-1376,1,下位,0
221,221,0,12,62,0,0,0,117,55,-1510,1,下位,0
361,361,0,80,401,0,0,0,221,62,-1804,1,下位,0
10,10,0,159,795,0,0,0,361,401,-1985,1,下位,0
91,91,0,198,992,0,0,0,10,795,-1206,1,下位,0
131,131,0,11,55,0,0,0,91,992,-361,1,下位,0
417,417,0,211,1057,0,0,0,131,55,-517,1,下位,0
55,55,0,13,64,0,0,0,417,1057,-133,1,下位,0
112,112,0,69,347,0,0,0,55,64,-158,1,下位,0
48,48,0,12,61,0,0,0,112,347,8,1,下位,0
21,21,0,11,57,0,0,0,48,61,-8,1,下位,0
62,62,0,12,62,0,0,0,21,57,15,1,下位,0
97,97,0,11,55,0,0,0,62,62,-23,1,下位,0
287,287,0,12,60,0,0,0,97,55,-124,1,下位,0
126,126,0,108,542,0,0,0,287,60,-527,1,下位,0
76,76,0,163,815,1,0,0,0,0,1,0,下位,0
140,140,0,13,64,0,0,0,76,815,693,1,下位,0
129,129,0,41,206,0,0,0,140,64,531,1,下位,0
29,29,0,137,683,0,0,0,129,206,529,1,下位,0
137,137,0,11,55,0,0,0,29,683,1165,1,下位,0
109,109,0,65,325,0,0,0,137,55,999,1,下位,0
232,232,0,26,132,0,0,0,109,325,1148,1,下位,0
335,335,0,11,54,0,0,0,232,132,906,1,下位,0
45,45,0,52,262,0,0,0,335,54,420,1,下位,0
248,248,0,213,1066,0,0,0,45,262,609,1,下位,0
193,193,0,45,226,0,0,0,248,1066,1275,1,下位,0
104,104,0,58,292,0,0,0,193,226,1190,1,下位,0
99,99,0,57,286,0,0,0,104,292,1314,1,下位,0
406,406,0,25,127,0,0,0,99,286,1440,1,下位,0
227,227,0,30,151,0,0,0,406,127,912,1,下位,0
356,356,0,12,61,0,0,0,227,151,697,1,下位,0
48,48,0,114,570,0,0,0,356,61,184,1,下位,0
338,338,0,12,59,0,0,0,48,570,677,1,下位,0
227,227,0,12,61,0,0,0,338,59,191,1,下位,0
297,297,0,11,56,0,0,0,227,61,-114,1,下位,0
6,6,0,12,59,0,0,0,297,56,-537,1,下位,0
360,360,0,225,1125,0,0,0,6,59,-488,1,下位,0
100,100,0,13,63,0,0,0,360,1125,56,1,下位,0
230,230,0,155,777,0,0,0,100,63,-42,1,下位,0
4,4,0,35,173,0,0,0,230,777,364,1,下位,0
113,113,0,62,308,0,0,0,4,173,531,1,下位,0
111,111,0,12,62,0,0,0,113,308,657,1,下位,0
439,439,0,45,224,0,0,0,111,62,540,1,下位,0
27,27,0,11,55,0,0,0,439,224,56,1,下位,0
67,67,0,132,658,0,0,0,27,55,67,1,下位,0
114,114,0,126,628,0,0,0,67,658,617,1,下位,0
8,8,0,130,649,0,0,0,114,628,1061,1,下位,0
41,41,0,13,63,0,0,0,8,649,1697,1,下位,0
209,209,0,11,53,0,0,0,41,63,1694,1,下位,0
121,121,0,12,58,0,0,0,209,53,1410,1,下位,0
25,25,0,67,337,0,0,0,121,58,1273,1,下位,0
322,322,0,214,1070,0,0,0,25,337,1570,1,下位,0
231,231,0,56,281,1,0,0,0,0,1,0,下位,0
116,116,0,23,117,0,0,0,231,281,-91,1,下位,0
24,24,0,12,60,0,0,0,116,117,-161,1,下位,0
175,175,0,122,609,0,0,0,24,60,-140,1,下位,0
39,39,0,128,642,0,0,0,175,609,187,1,下位,0
36,36,0,141,705,0,0,0,39,642,766,1,下位,0
244,244,0,41,203,0,0,0,36,705,1413,1,下位,0
69,69,0,11,53,0,0,0,244,203,1222,1,下位,0
247,247,0,29,147,0,0,0,69,53,1164,1,下位,0
391,391,0,12,59,0,0,0,247,147,913,1,下位,0
337,337,0,24,119,0,0,0,391,59,341,1,下位,0
66,66,0,49,246,0,0,0,337,119,-84,1,下位,0
288,288,0,134,670,0,0,0,66,246,56,1,下位,0
196,196,0,12,60,0,0,0,288,670,261,1,下位,0
223,223,0,11,56,0,0,0,196,60,5,1,下位,0
92,92,0,52,260,0,0,0,223,56,-299,1,下位,0
238,238,0,125,624,0,0,0,92,260,-187,1,下位,0
127,127,0,142,708,0,0,0,238,624,53,1,下位,0
105,105,0,74,369,0,0,0,127,708,556,1,下位,0
105,105,0,28,141,0,0,0,105,369,756,1,下位,0
411,411,0,69,345,0,0,0,105,141,728,1,下位,0
43,43,0,145,726,0,0,0,411,345,410,1,下位,0
669,669,0,60,302,0,0,0,43,726,1067,1,下位,0
175,175,0,27,135,0,0,0,669,302,290,1,下位,0
231,231,0,12,60,1,0,0,0,0,1,0,下位,0
133,133,0,12,60,0,0,0,231,60,-312,1,下位,0
156,156,0,12,62,0,0,0,133,60,-467,1,下位,0
190,190,0,12,59,0,0,0,156,62,-657,1,下位,0
130,130,0,132,662,0,0,0,190,59,-904,1,下位,0
3,3,0,99,495,0,0,0,130,662,-452,1,下位,0
74,74,0,14,69,0,0,0,3,495,38,1,下位,0
251,251,0,90,451,0,0,0,74,69,-12,1,下位,0
239,239,0,101,504,0,0,0,251,451,34,1,下位,0
138,138,0,13,65,0,0,0,239,504,153,1,下位,0
223,223,0,13,64,0,0,0,138,65,-5,1,下位,0
300,300,0,12,61,0,0,0,223,64,-301,1,下位,0
147,147,0,12,59,0,0,0,300,61,-724,1,下位,0
563,563,0,26,132,0,0,0,147,59,-902,1,下位,0
84,84,0,94,468,0,0,0,563,132,-1678,1,下位,0
75,75,0,58,289,0,0,0,84,468,-1345,1,下位,0
230,230,0,44,221,0,0,0,75,289,-1177,1,下位,0
73,73,0,11,55,0,0,0,230,221,-1327,1,下位,0
129,129,0,12,61,0,0,0,73,55,-1390,1,下位,0
522,522,0,166,829,0,0,0,129,61,-1537,1,下位,0
158,158,0,12,60,0,0,0,522,829,-1550,1,下位,0
252,252,0,54,271,0,0,0,158,60,-1745,1,下位,0
354,354,0,33,167,0,0,0,252,271,-1880,1,下位,0
119,119,0,12,61,0,0,0,354,167,-2284,1,下位,0
15,15,0,59,297,0,0,0,119,61,-2415,1,下位,0
22,22,0,111,556,0,0,0,15,297,-2142,1,下位,0
198,198,0,11,55,0,0,0,22,556,-1621,1,下位,0
268,268,0,13,63,0,0,0,198,55,-1885,1,下位,0
335,335,0,59,297,1,0,0,0,0,1,0,下位,0
229,229,0,12,62,0,0,0,335,297,-242,1,下位,0
631,631,0,12,60,0,0,0,229,62,-549,1,下位,0
320,320,0,12,59,1,0,0,0,0,1,0,下位,0
40,40,0,52,259,0,0,0,320,59,-456,1,下位,0
220,220,0,78,390,0,0,0,40,259,-262,1,下位,0
226,226,0,12,62,0,0,0,220,390,-227,1,下位,0
63,63,0,175,877,0,0,0,226,62,-530,1,下位,0
404,404,0,125,623,0,0,0,63,877,245,1,下位,0
49,49,0,49,247,0,0,0,404,623,216,1,下位,0
649,649,0,173,866,0,0,0,49,247,384,1,下位,0
121,121,0,13,63,0,0,0,649,866,203,1,下位,0
19,19,0,13,63,0,0,0,121,63,71,1,下位,0
616,616,0,11,57,0,0,0,19,63,103,1,下位,0
117,117,0,44,220,0,0,0,616,57,-834,1,下位,0
74,74,0,12,61,1,0,0,0,0,1,0,下位,0
75,75,0,11,53,0,0,0,74,61,-57,1,下位,0
200,200,0,13,64,0,0,0,75,53,-125,1,下位,0
100,100,0,119,597,0,0,0,200,64,-384,1,下位,0
135,135,0,12,59,0,0,0,100,597,52,1,下位,0
46,46,0,12,60,0,0,0,135,59,-107,1,下位,0
7,7,0,12,61,0,0,0,46,60,-121,1,下位,0
20,20,0,95,476,0,0,0,7,61,-71,1,下位,0
17,17,0,11,55,0,0,0,20,476,373,1,下位,0
7,7,0,65,323,0,0,0,17,55,401,1,下位,0
314,314,0,227,1136,0,0,0,7,323,713,1,下位,0
94,94,0,81,404,0,0,0,314,1136,1343,1,下位,0
165,165,0,84,422,0,0,0,94,404,1595,1,下位,0
165,165,0,48,239,0,0,0,165,422,1751,1,下位,0
479,479,0,114,572,0,0,0,165,239,1724,1,下位,0
271,271,0,46,230,1,0,0,0,0,1,0,下位,0
249,249,0,13,63,0,0,0,271,230,-206,1,下位,0
85,85,0,13,64,0,0,0,249,63,-545,1,下位,0
9,9,0,93,463,0,0,0,85,64,-618,1,下位,0
445,445,0,11,53,0,0,0,9,463,-170,1,下位,0
219,219,0,12,61,0,0,0,445,53,-835,1,下位,0
64,64,0,94,469,0,0,0,219,61,-1127,1,下位,0
41,41,0,60,298,0,0,0,64,469,-761,1,下位,0
547,547,0,121,605,0,0,0,41,298,-529,1,下位,0
271,271,0,136,682,0,0,0,547,605,-806,1,下位,0
437,437,0,65,324,0,0,0,271,682,-561,1,下位,0
61,61,0,156,782,0,0,0,437,324,-942,1,下位,0
60,60,0,12,58,0,0,0,61,782,-258,1,下位,0
34,34,0,53,263,0,0,0,60,58,-297,1,下位,0
459,459,0,71,357,0,0,0,34,263,-89,1,下位,0
443,443,0,12,59,0,0,0,459,357,-472,1,下位,0
99,99,0,12,61,0,0,0,443,59,-1128,1,下位,0
137,137,0,60,300,0,0,0,99,61,-1227,1,下位,0
305,305,0,12,61,0,0,0,137,300,-1148,1,下位,0
57,57,0,11,53,0,0,0,305,61,-1579,1,下位,0
107,107,0,57,287,0,0,0,57,53,-1618,1,下位,0
208,208,0,12,61,0,0,0,107,287,-1504,1,下位,0
87,87,0,55,273,0,0,0,208,61,-1778,1,下位,0
299,299,0,45,227,0,0,0,87,273,-1645,1,下位,0
198,198,0,78,391,0,0,0,299,227,-1900,1,下位,0
277,277,0,12,62,0,0,0,198,391,-1828,1,下位,0
197,197,0,12,60,0,0,0,277,62,-2213,1,下位,0
94,94,0,95,477,0,0,0,197,60,-2471,1,下位,0
40,40,0,12,58,0,0,0,94,477,-2146,1,下位,0
146,146,0,20,102,0,0,0,40,58,-2153,1,下位,0
92,92,0,13,64,1,0,0,0,0,1,0,下位,0
253,253,0,12,59,0,0,0,92,64,-83,1,下位,0
306,306,0,49,245,0,0,0,253,59,-432,1,下位,0
144,144,0,151,753,0,0,0,306,245,-681,1,下位,0
9,9,0,72,360,0,0,0,144,753,-160,1,下位,0
239,239,0,12,60,0,0,0,9,360,185,1,下位,0
427,427,0,12,59,0,0,0,239,60,-140,1,下位,0
610,610,0,12,59,0,0,0,427,59,-770,1,下位,0
180,180,0,153,763,0,0,0,610,59,-1695,1,下位,0
95,95,0,109,546,0,0,0,180,763,-1222,1,下位,0
215,215,0,12,61,0,0,0,95,546,-829,1,下位,0
23,23,0,33,166,0,0,0,215,61,-1115,1,下位,0
27,27,0,12,58,0,0,0,23,166,-986,1,下位,0
74,74,0,67,333,0,0,0,27,58,-972,1,下位,0
393,393,0,12,61,0,0,0,74,333,-758,1,下位,0
148,148,0,104,518,0,0,0,393,61,-1331,1,下位,0
196,196,0,12,61,0,0,0,148,518,-1052,1,下位,0
375,375,0,53,265,0,0,0,196,61,-1307,1,下位,0
77,77,0,109,543,0,0,0,375,265,-1647,1,下位,0
316,316,0,107,536,0,0,0,77,543,-1228,1,下位,0
128,128,0,44,221,0,0,0,316,536,-1202,1,下位,0
44,44,0,124,619,0,0,0,128,221,-1187,1,下位,0
31,31,0,12,58,0,0,0,44,619,-639,1,下位,0
66,66,0,12,61,1,0,0,0,0,1,0,下位,0
408,408,0,227,1136,0,0,0,66,61,-44,1,下位,0
143,143,0,41,206,0,0,0,408,1136,434,1,下位,0
151,151,0,123,617,0,0,0,143,206,409,1,下位,0
226,226,0,12,59,0,0,0,151,617,782,1,下位,0
69,69,0,13,66,0,0,0,226,59,476,1,下位,0
214,214,0,108,540,0,0,0,69,66,431,1,下位,0
140,140,0,11,55,0,0,0,214,540,626,1,下位,0
67,67,0,142,708,0,0,0,140,55,455,1,下位,0
606,606,0,137,683,0,0,0,67,708,1055,1,下位,0
277,277,0,115,576,0,0,0,606,683,761,1,下位,0
839,839,0,76,379,0,0,0,277,576,890,1,下位,0
32,32,0,11,57,0,0,0,839,379,-84,1,下位,0
507,507,0,12,60,0,0,0,32,57,-79,1,下位,0
199,199,0,57,284,1,0,0,0,0,1,0,下位,0
116,116,0,11,57,0,0,0,199,284,-36,1,下位,0
122,122,0,142,712,0,0,0,116,57,-166,1,下位,0
53,53,0,11,57,0,0,0,122,712,349,1,下位,0
140,140,0,11,55,0,0,0,53,57,321,1,下位,0
48,48,0,11,53,0,0,0,140,55,150,1,下位,0
237,237,0,12,60,0,0,0,48,53,126,1,下位,0
104,104,0,166,832,0,0,0,237,60,-196,1,下位,0
75,75,0,104,519,0,0,0,104,832,468,1,下位,0
9,9,0,13,65,0,0,0,75,519,866,1,下位,0
490,490,0,12,61,0,0,0,9,65,916,1,下位,0
36,36,0,23,115,0,0,0,490,61,187,1,下位,0
209,209,0,12,59,0,0,0,36,115,244,1,下位,0
21,21,0,102,508,0,0,0,209,59,-34,1,下位,0
178,178,0,25,123,0,0,0,21,508,440,1,下位,0
1001,1001,0,66,332,0,0,0,178,123,276,1,下位,0
169,169,0,13,65,0,0,0,1001,332,-1007,1,下位,0
317,317,0,11,56,0,0,0,169,65,-1215,1,下位,0
358,358,0,12,61,0,0,0,317,56,-1670,1,下位,0
449,449,0,119,595,0,0,0,358,61,-2186,1,下位,0
105,105,0,11,56,0,0,0,449,595,-2315,1,下位,0
529,529,0,12,59,0,0,0,105,56,-2428,1,下位,0
336,336,0,12,62,0,0,0,529,59,-3222,1,下位,0
37,37,0,12,61,1,0,0,0,0,1,0,下位,0
311,311,0,13,63,0,0,0,37,61,2,1,下位,0
112,112,0,11,55,0,0,0,311,63,-437,1,下位,0
20,20,0,44,218,0,0,0,112,55,-563,1,下位,0
16,16,0,12,60,0,0,0,20,218,-377,1,下位,0
39,39,0,11,57,0,0,0,16,60,-343,1,下位,0
131,131,0,35,174,0,0,0,39,57,-349,1,下位,0
128,128,0,13,63,0,0,0,131,174,-386,1,下位,0
69,69,0,51,254,0,0,0,128,63,-529,1,下位,0
326,326,0,76,382,0,0,0,69,254,-386,1,下位,0
232,232,0,41,207,0,0,0,326,382,-530,1,下位,0
487,487,0,12,62,0,0,0,232,207,-697,1,下位,0
342,342,0,73,365,0,0,0,487,62,-1420,1,下位,0
307,307,0,12,61,0,0,0,342,365,-1607,1,下位,0
524,524,0,11,53,0,0,0,307,61,-2041,1,下位,0
51,51,0,11,55,0,0,0,524,53,-2833,1,下位,0
237,237,0,52,258,0,0,0,51,55,-2860,1,下位,0
12,12,0,12,59,0,0,0,237,258,-2984,1,下位,0
334,334,0,12,58,0,0,0,12,59,-2944,1,下位,0
212,212,0,11,55,0,0,0,334,58,-3425,1,下位,0
18,18,0,29,145,0,0,0,212,55,-3712,1,下位,0
138,138,0,632,3161,0,0,0,18,145,-3596,1,下位,0
153,153,0,190,948,0,0,0,138,3161,-658,1,下位,0
400,400,0,12,60,0,0,0,153,948,43,1,下位,0
74,74,0,42,210,0,0,0,400,60,-542,1,下位,0
119,119,0,12,60,0,0,0,74,210,-451,1,下位,0
10,10,0,12,62,0,0,0,119,60,-583,1,下位,0
73,73,0,11,57,0,0,0,10,62,-537,1,下位,0
229,229,0,13,64,0,0,0,73,57,-598,1,下位,0
307,307,0,57,285,1,0,0,0,0,1,0,下位,0
28,28,0,12,58,0,0,0,307,285,-209,1,下位,0
174,174,0,55,277,0,0,0,28,58,-196,1,下位,0
91,91,0,12,60,0,0,0,174,277,-200,1,下位,0
290,290,0,12,59,0,0,0,91,60,-287,1,下位,0
67,67,0,38,190,0,0,0,290,59,-696,1,下位,0
152,152,0,56,282,0,0,0,67,190,-614,1,下位,0
57,57,0,12,59,0,0,0,152,282,-577,1,下位,0
234,234,0,85,424,0,0,0,57,59,-610,1,下位,0
332,332,0,14,68,1,0,0,0,0,1,0,下位,0
71,71,0,12,62,0,0,0,332,68,-466,1,下位,0
241,241,0,12,58,0,0,0,71,62,-519,1,下位,0
223,223,0,38,192,0,0,0,241,58,-850,1,下位,0
177,177,0,12,61,0,0,0,223,192,-1018,1,下位,0
385,385,0,11,55,0,0,0,177,61,-1242,1,下位,0
122,122,0,73,366,0,0,0,385,55,-1808,1,下位,0
70,70,0,60,302,0,0,0,122,366,-1639,1,下位,0
382,382,0,84,420,0,0,0,70,302,-1450,1,下位,0
245,245,0,12,61,0,0,0,382,420,-1646,1,下位,0
10,10,0,13,65,0,0,0,245,61,-1980,1,下位,0
557,557,0,56,280,1,0,0,0,0,1,0,下位,0
223,223,0,29,143,0,0,0,557,280,-617,1,下位,0
54,54,0,116,578,0,0,0,223,143,-834,1,下位,0
46,46,0,24,121,0,0,0,54,578,-343,1,下位,0
61,61,0,11,56,0,0,0,46,121,-296,1,下位,0
577,577,0,11,54,0,0,0,61,56,-338,1,下位,0
1000,1000,0,100,498,0,0,0,577,54,-1215,1,下位,0
19,19,0,13,64,0,0,0,1000,498,-2330,1,下位,0
11,11,0,95,475,0,0,0,19,64,-2297,1,下位,0
75,75,0,133,664,0,0,0,11,475,-1840,1,下位,0
8,8,0,12,59,0,0,0,75,664,-1297,1,下位,0
20,20,0,106,530,0,0,0,8,59,-1251,1,下位,0
64,64,0,64,319,0,0,0,20,530,-753,1,下位,0
7,7,0,122,608,1,0,0,0,0,1,0,下位,0
94,94,0,127,634,0,0,0,7,608,598,1,下位,0
157,157,0,90,452,0,0,0,94,634,1080,1,下位,0
48,48,0,33,166,0,0,0,157,452,1279,1,下位,0
686,686,0,129,643,0,0,0,48,166,1368,1,下位,0
223,223,0,66,328,0,0,0,686,643,905,1,下位,0
177,177,0,11,54,0,0,0,223,328,873,1,下位,0
462,462,0,12,61,0,0,0,177,54,642,1,下位,0
1000,1000,0,208,1038,0,0,0,462,61,-42,1,下位,0
95,95,0,12,62,0,0,0,1000,1038,-617,1,下位,0
46,46,0,54,270,0,0,0,95,62,-708,1,下位,0
591,591,0,13,64,0,0,0,46,270,-512,1,下位,0
145,145,0,12,60,0,0,0,591,64,-1401,1,下位,0
306,306,0,12,62,1,0,0,0,0,1,0,下位,0
141,141,0,31,155,0,0,0,306,62,-431,1,下位,0
10,10,0,12,61,0,0,0,141,155,-503,1,下位,0
214,214,0,12,60,0,0,0,10,61,-458,1,下位,0
330,330,0,36,181,0,0,0,214,60,-743,1,下位,0
220,220,0,25,123,0,0,0,330,181,-1094,1,下位,0
510,510,0,223,1113,0,0,0,220,123,-1326,1,下位,0
415,415,0,12,60,0,0,0,510,1113,-1036,1,下位,0
77,77,0,11,56,0,0,0,415,60,-1645,1,下位,0
97,97,0,12,60,0,0,0,77,56,-1713,1,下位,0
187,187,0,11,56,0,0,0,97,60,-1809,1,下位,0
132,132,0,13,63,0,0,0,187,56,-2055,1,下位,0
358,358,0,12,58,0,0,0,132,63,-2205,1,下位,0
429,429,0,12,59,0,0,0,358,58,-2724,1,下位,0
16,16,0,33,167,0,0,0,429,59,-3357,1,下位,0
292,292,0,11,56,0,0,0,16,167,-3216,1,下位,0
31,31,0,32,160,0,0,0,292,56,-3631,1,下位,0
224,224,0,12,61,1,0,0,0,0,1,0,下位,0
17,17,0,311,1554,0,0,0,224,61,-299,1,下位,0
92,92,0,12,60,0,0,0,17,1554,1228,1,下位,0
196,196,0,13,63,0,0,0,92,60,1140,1,下位,0
17,17,0,12,59,0,0,0,196,63,887,1,下位,0
171,171,0,135,677,0,0,0,17,59,919,1,下位,0
4,4,0,11,57,0,0,0,171,677,1320,1,下位,0
132,132,0,13,63,0,0,0,4,57,1371,1,下位,0
164,164,0,12,58,0,0,0,132,63,1221,1,下位,0
15,15,0,29,146,0,0,0,164,58,1014,1,下位,0
78,78,0,26,128,0,0,0,15,146,1136,1,下位,0
194,194,0,13,64,0,0,0,78,128,1138,1,下位,0
1000,1000,0,12,61,0,0,0,194,64,889,1,下位,0
54,54,0,11,57,0,0,0,1000,61,-663,1,下位,0
7,7,0,384,1921,0,0,0,54,57,-693,1,下位,0
84,84,0,116,579,0,0,0,7,1921,1217,1,下位,0
