REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
94,94,0,-8,-31,1,0,0,0,0,1,0,下位,0
294,294,0,55,189,1,1,94,0,0,1,0,下位,0
77,77,0,88,346,0,0,0,388,189,-448,1,下位,0
276,276,0,-8,-31,0,0,0,77,346,-222,2,下位,0
493,493,0,-8,-31,0,1,276,77,346,-222,2,下位,0
121,121,0,51,172,0,2,769,77,346,-222,2,下位,0
94,94,0,-8,-31,0,0,0,890,172,-1503,1,下位,0
45,45,0,173,548,0,1,94,890,172,-1503,1,下位,0
420,420,0,-8,-31,0,0,0,139,548,-1204,4,下位,0
174,174,0,274,904,0,1,420,139,548,-1204,4,下位,0
293,293,0,-8,-31,0,0,0,594,904,-1260,4,下位,0
22,22,0,104,390,0,1,293,594,904,-1260,4,下位,0
70,70,0,-8,-31,0,0,0,315,390,-1394,1,下位,0
588,588,0,-8,-31,0,1,70,315,390,-1394,1,下位,0
44,44,0,54,168,0,2,658,315,390,-1394,1,下位,0
93,93,0,-8,-31,0,0,0,702,168,-2386,1,下位,0
276,276,0,47,157,0,1,93,702,168,-2386,1,下位,0
123,123,0,59,186,0,0,0,369,157,-2838,1,下位,0
495,495,0,159,593,0,0,0,123,186,-2844,1,下位,0
78,78,0,53,211,0,0,0,495,593,-3025,3,下位,0
143,143,0,-8,-31,0,0,0,78,211,-2936,1,下位,0
145,145,0,45,147,0,1,143,78,211,-2936,1,下位,0
95,95,0,-8,-31,0,0,0,288,147,-3271,1,下位,0
112,112,0,49,196,0,1,95,288,147,-3271,1,下位,0
176,176,0,-8,-31,0,0,0,207,196,-3430,1,下位,0
126,126,0,-8,-31,0,1,176,207,196,-3430,1,下位,0
43,43,0,-8,-31,0,2,302,207,196,-3430,1,下位,0
294,294,0,211,770,0,3,345,207,196,-3430,1,下位,0
147,147,0,367,1336,0,0,0,639,770,-3752,3,下位,0
94,94,0,101,315,1,0,0,0,0,1,0,下位,0
177,177,0,47,157,0,0,0,94,315,169,2,下位,0
73,73,0,51,173,0,0,0,177,157,49,1,下位,0
179,179,0,48,191,0,0,0,73,173,108,1,下位,0
75,75,0,134,501,0,0,0,179,191,19,1,下位,0
193,193,0,128,474,0,0,0,75,501,403,2,下位,0
52,52,0,142,527,0,0,0,193,474,575,2,下位,0
30,30,0,-8,-31,0,0,0,52,527,1020,2,下位,0
487,487,0,-8,-31,0,1,30,52,527,1020,2,下位,0
493,493,0,228,898,0,2,517,52,527,1020,2,下位,0
476,476,0,89,325,0,0,0,1010,898,278,3,下位,0
203,203,0,-8,-31,0,0,0,476,325,-141,1,下位,0
469,469,0,66,225,0,1,203,476,325,-141,1,下位,0
95,95,0,-8,-31,0,0,0,672,225,-997,2,下位,0
142,142,0,334,1293,0,1,95,672,225,-997,2,下位,0
377,377,0,66,265,0,0,0,237,1293,-106,3,下位,0
92,92,0,311,1201,0,0,0,377,265,-430,1,下位,0
415,415,0,125,383,0,0,0,92,1201,627,3,下位,0
393,393,0,-8,-31,0,0,0,415,383,361,3,下位,0
246,246,0,-8,-31,0,1,393,415,383,361,3,下位,0
60,60,0,48,161,0,2,639,415,383,361,3,下位,0
43,43,0,58,199,0,0,0,699,161,-633,1,下位,0
215,215,0,89,285,1,0,0,0,0,1,0,下位,0
174,174,0,-8,-31,0,0,0,215,285,-50,2,下位,0
92,92,0,-8,-31,0,1,174,215,285,-50,2,下位,0
123,123,0,59,189,0,2,266,215,285,-50,2,下位,0
175,175,0,-8,-31,0,0,0,389,189,-531,1,下位,0
87,87,0,-8,-31,0,1,175,389,189,-531,1,下位,0
398,398,0,-8,-31,0,2,262,389,189,-531,1,下位,0
141,141,0,54,182,0,3,660,389,189,-531,1,下位,0
193,193,0,47,155,0,0,0,801,182,-1695,1,下位,0
496,496,0,-8,-31,0,0,0,193,155,-1842,1,下位,0
274,274,0,453,1798,0,1,496,193,155,-1842,1,下位,0
137,137,0,-8,-31,0,0,0,770,1798,-1278,3,下位,0
594,594,0,-8,-31,0,1,137,770,1798,-1278,3,下位,0
294,294,0,55,219,0,2,731,770,1798,-1278,3,下位,0
120,120,0,-8,-31,0,0,0,1025,219,-2722,1,下位,0
237,237,0,64,255,0,1,120,1025,219,-2722,1,下位,0
94,94,0,-8,-31,0,0,0,357,255,-3056,1,下位,0
432,432,0,146,513,0,1,94,357,255,-3056,1,下位,0
102,102,0,-8,-31,0,0,0,526,513,-3396,2,下位,0
94,94,0,264,956,0,1,102,526,513,-3396,2,下位,0
424,424,0,85,270,0,0,0,196,956,-2778,5,下位,0
97,97,0,163,574,0,0,0,424,270,-3171,2,下位,0
