REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
131,131,0,273,602,1,0,0,0,0,1,0,下位,0
763,232,88,1524,4071,0,0,0,131,602,399,6,下位,0
531,531,0,1524,4071,0,1,232,131,602,399,6,下位,0
312,312,0,335,912,0,0,0,763,4071,3370,8,下位,0
585,76,270,58,155,0,0,0,312,912,3796,4,下位,0
509,131,206,58,155,0,1,76,312,912,3796,4,下位,0
378,81,122,58,155,0,2,207,312,912,3796,4,下位,0
297,297,0,58,155,0,3,288,312,912,3796,4,下位,0
318,231,88,97,245,0,0,0,585,155,3310,2,下位,0
87,87,0,97,245,0,1,231,585,155,3310,2,下位,0
748,231,104,89,236,0,0,0,318,245,3147,3,下位,0
517,517,0,89,236,0,1,231,318,245,3147,3,下位,0
1007,531,38,118,196,0,0,0,748,236,2322,2,下位,0
476,476,0,118,196,0,1,531,748,236,2322,2,下位,0
363,131,58,567,1513,0,0,0,1007,196,988,2,下位,0
232,232,0,567,1513,0,1,131,1007,196,988,2,下位,0
987,231,367,751,2000,1,0,0,0,0,1,0,下位,0
756,233,284,751,2000,1,1,231,0,0,1,0,下位,0
523,231,198,751,2000,1,2,464,0,0,1,0,下位,0
292,131,121,751,2000,1,3,695,0,0,1,0,下位,0
161,161,0,751,2000,1,4,826,0,0,1,0,下位,0
466,466,0,254,669,0,0,0,987,2000,830,6,下位,0
545,131,173,132,332,0,0,0,466,669,773,5,下位,0
414,231,69,132,332,0,1,131,466,669,773,5,下位,0
183,183,0,132,332,0,2,362,466,669,773,5,下位,0
362,231,77,202,420,0,0,0,545,332,429,4,下位,0
131,131,0,202,420,0,1,231,545,332,429,4,下位,0
1041,231,276,403,1112,0,0,0,362,420,362,4,下位,0
810,131,192,403,1112,0,1,231,362,420,362,4,下位,0
679,531,97,403,1112,0,2,362,362,420,362,4,下位,0
148,148,0,403,1112,0,3,893,362,420,362,4,下位,0
78,78,0,85,230,0,0,0,1041,1112,128,3,下位,0
203,203,0,92,245,0,0,0,78,230,237,2,下位,0
494,132,200,83,63,0,0,0,203,245,166,2,下位,0
362,231,120,83,63,0,1,132,203,245,166,2,下位,0
131,131,0,83,63,0,2,363,203,245,166,2,下位,0
231,231,0,192,343,1,0,0,0,0,1,0,下位,0
1056,232,102,110,279,0,0,0,231,343,-16,5,下位,0
824,131,73,110,279,0,1,232,231,343,-16,5,下位,0
693,693,0,110,279,0,2,363,231,343,-16,5,下位,0
281,281,0,94,246,0,0,0,1056,279,-1279,4,下位,0
832,231,188,341,878,0,0,0,281,246,-1471,3,下位,0
601,188,108,341,878,0,1,231,281,246,-1471,3,下位,0
413,280,59,341,878,0,2,419,281,246,-1471,3,下位,0
133,133,0,341,878,0,3,699,281,246,-1471,3,下位,0
