REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
131,131,0,257,555,1,0,0,0,0,1,0,下位,0
763,232,65,1508,4025,0,0,0,131,555,352,6,下位,0
531,531,0,1508,4025,0,1,232,131,555,352,6,下位,0
312,312,0,327,889,0,0,0,763,4025,903,8,下位,0
585,76,201,50,132,0,0,0,312,889,1306,4,下位,0
509,131,160,50,132,0,1,76,312,889,1306,4,下位,0
378,81,99,50,132,0,2,207,312,889,1306,4,下位,0
297,297,0,50,132,0,3,288,312,889,1306,4,下位,0
318,231,65,89,222,0,0,0,585,132,726,2,下位,0
87,87,0,89,222,0,1,231,585,132,726,2,下位,0
748,231,81,72,190,0,0,0,318,222,517,3,下位,0
517,517,0,72,190,0,1,231,318,222,517,3,下位,0
1007,531,15,101,150,0,0,0,748,190,-378,2,下位,0
476,476,0,101,150,0,1,531,748,190,-378,2,下位,0
363,131,35,543,1444,0,0,0,1007,150,-1782,2,下位,0
232,232,0,543,1444,0,1,131,1007,150,-1782,2,下位,0
987,231,275,727,1931,1,0,0,0,0,1,0,下位,0
756,233,215,727,1931,1,1,231,0,0,1,0,下位,0
523,231,152,727,1931,1,2,464,0,0,1,0,下位,0
292,131,98,727,1931,1,3,695,0,0,1,0,下位,0
161,161,0,727,1931,1,4,826,0,0,1,0,下位,0
466,466,0,237,623,0,0,0,987,1931,669,6,下位,0
545,131,127,115,286,0,0,0,466,623,566,5,下位,0
414,231,46,115,286,0,1,131,466,623,566,5,下位,0
183,183,0,115,286,0,2,362,466,623,566,5,下位,0
362,231,54,184,374,0,0,0,545,286,130,4,下位,0
131,131,0,184,374,0,1,231,545,286,130,4,下位,0
1041,231,207,395,1089,0,0,0,362,374,-6,4,下位,0
810,131,146,395,1089,0,1,231,362,374,-6,4,下位,0
679,531,74,395,1089,0,2,362,362,374,-6,4,下位,0
148,148,0,395,1089,0,3,893,362,374,-6,4,下位,0
78,78,0,77,207,0,0,0,1041,1089,-332,3,下位,0
203,203,0,76,199,0,0,0,78,207,-246,2,下位,0
494,132,154,67,17,0,0,0,203,199,-364,2,下位,0
362,231,97,67,17,0,1,132,203,199,-364,2,下位,0
131,131,0,67,17,0,2,363,203,199,-364,2,下位,0
231,231,0,168,274,1,0,0,0,0,1,0,下位,0
1056,232,56,102,256,0,0,0,231,274,-85,5,下位,0
824,131,50,102,256,0,1,232,231,274,-85,5,下位,0
693,693,0,102,256,0,2,363,231,274,-85,5,下位,0
281,281,0,86,223,0,0,0,1056,256,-1418,4,下位,0
832,231,119,333,855,0,0,0,281,223,-1633,3,下位,0
601,188,62,333,855,0,1,231,281,223,-1633,3,下位,0
413,280,36,333,855,0,2,419,281,223,-1633,3,下位,0
133,133,0,333,855,0,3,699,281,223,-1633,3,下位,0
131,131,0,88,126,1,0,0,0,0,1,0,下位,0
231,231,0,126,201,0,0,0,131,126,-77,2,下位,0
1790,231,353,333,883,0,0,0,231,201,-236,3,下位,0
1559,131,279,333,883,0,1,231,231,201,-236,3,下位,0
1428,531,256,333,883,0,2,362,231,201,-236,3,下位,0
897,232,190,333,883,0,3,893,231,201,-236,3,下位,0
665,231,120,333,883,0,4,1125,231,201,-236,3,下位,0
434,231,50,333,883,0,5,1356,231,201,-236,3,下位,0
203,203,0,333,883,0,6,1587,231,201,-236,3,下位,0
464,131,109,66,51,0,0,0,1790,883,-1789,6,下位,0
333,231,70,66,51,0,1,131,1790,883,-1789,6,下位,0
102,102,0,66,51,0,2,362,1790,883,-1789,6,下位,0
231,231,0,186,391,0,0,0,464,51,-2352,2,下位,0
503,503,0,30,75,0,0,0,231,391,-2321,3,下位,0
131,131,0,87,123,0,0,0,503,75,-3029,2,下位,0
232,232,0,245,662,1,0,0,0,0,1,0,下位,0
532,532,0,99,151,0,0,0,232,662,301,3,下位,0
321,131,25,430,1072,0,0,0,532,151,-377,2,下位,0
190,190,0,430,1072,0,1,131,532,151,-377,2,下位,0
1254,131,110,578,1412,0,0,0,321,1072,220,3,下位,0
1123,231,78,578,1412,0,1,131,321,1072,220,3,下位,0
892,661,54,578,1412,0,2,362,321,1072,220,3,下位,0
231,231,0,578,1412,0,3,1023,321,1072,220,3,下位,0
232,232,0,176,362,0,0,0,1254,1412,-212,5,下位,0
363,232,63,178,336,0,0,0,232,362,-212,3,下位,0
131,131,0,178,336,0,1,232,232,362,-212,3,下位,0
362,231,29,426,1030,0,0,0,363,336,-379,4,下位,0
131,131,0,426,1030,0,1,231,363,336,-379,4,下位,0
131,131,0,105,160,0,0,0,362,1030,116,5,下位,0
231,231,0,161,296,1,0,0,0,0,1,0,下位,0
463,232,59,167,329,1,0,0,0,0,1,0,下位,0
231,231,0,167,329,1,1,232,0,0,1,0,下位,0
231,231,0,798,2019,0,0,0,463,329,-333,4,下位,0
1217,231,384,147,385,0,0,0,231,2019,1326,10,下位,0
986,131,341,147,385,0,1,231,231,2019,1326,10,下位,0
855,131,264,147,385,0,2,362,231,2019,1326,10,下位,0
724,231,217,147,385,0,3,493,231,2019,1326,10,下位,0
493,131,167,147,385,0,4,724,231,2019,1326,10,下位,0
362,131,57,147,385,0,5,855,231,2019,1326,10,下位,0
231,231,0,147,385,0,6,986,231,2019,1326,10,下位,0
131,131,0,211,466,0,0,0,1217,385,199,3,下位,0
131,131,0,110,137,0,0,0,131,466,461,6,下位,0
498,131,133,163,402,0,0,0,131,137,394,3,下位,0
367,131,61,163,402,0,1,131,131,137,394,3,下位,0
236,236,0,163,402,0,2,262,131,137,394,3,下位,0
131,131,0,254,693,0,0,0,498,402,153,5,下位,0
226,226,0,30,71,0,0,0,131,693,642,2,下位,0
824,232,93,150,272,0,0,0,226,71,361,2,下位,0
592,131,43,150,272,0,1,232,226,71,361,2,下位,0
461,461,0,150,272,0,2,363,226,71,361,2,下位,0
61,61,0,115,246,1,0,0,0,0,1,0,下位,0
362,131,17,1151,3030,0,0,0,61,246,152,4,下位,0
231,231,0,1151,3030,0,1,131,61,246,152,4,下位,0
493,131,82,1129,2939,0,0,0,362,3030,357,6,下位,0
362,231,41,1129,2939,0,1,131,362,3030,357,6,下位,0
131,131,0,1129,2939,0,2,362,362,3030,357,6,下位,0
381,131,39,133,243,0,0,0,493,2939,291,9,下位,0
250,250,0,133,243,0,1,131,493,2939,291,9,下位,0
231,231,0,224,448,0,0,0,381,243,-21,3,下位,0
1053,60,78,243,644,0,0,0,231,448,67,6,下位,0
993,531,55,243,644,0,1,60,231,448,67,6,下位,0
462,131,38,243,644,0,2,591,231,448,67,6,下位,0
331,331,0,243,644,0,3,722,231,448,67,6,下位,0
263,131,103,101,155,0,0,0,1053,644,-852,4,下位,0
132,132,0,101,155,0,1,131,1053,644,-852,4,下位,0
495,232,95,69,72,1,0,0,0,0,1,0,下位,0
263,132,34,69,72,1,1,232,0,0,1,0,下位,0
131,131,0,69,72,1,2,364,0,0,1,0,下位,0
893,231,98,83,213,0,0,0,495,72,-604,2,下位,0
662,131,46,83,213,0,1,231,495,72,-604,2,下位,0
531,531,0,83,213,0,2,362,495,72,-604,2,下位,0
40,40,0,168,424,0,0,0,893,213,-1684,2,下位,0
955,131,243,134,239,1,0,0,0,0,1,0,下位,0
824,131,180,134,239,1,1,131,0,0,1,0,下位,0
693,331,141,134,239,1,2,262,0,0,1,0,下位,0
362,231,65,134,239,1,3,593,0,0,1,0,下位,0
131,131,0,134,239,1,4,824,0,0,1,0,下位,0
131,131,0,125,216,0,0,0,955,239,-1005,3,下位,0
464,232,63,371,906,1,0,0,0,0,1,0,下位,0
232,232,0,371,906,1,1,232,0,0,1,0,下位,0
869,532,85,292,772,0,0,0,464,906,246,3,下位,0
337,337,0,292,772,0,1,532,464,906,246,3,下位,0
1088,131,315,261,592,0,0,0,869,772,-251,5,下位,0
957,132,263,261,592,0,1,131,869,772,-251,5,下位,0
825,132,187,261,592,0,2,263,869,772,-251,5,下位,0
693,231,99,261,592,0,3,395,869,772,-251,5,下位,0
462,231,65,261,592,0,4,626,869,772,-251,5,下位,0
231,231,0,261,592,0,5,857,869,772,-251,5,下位,0
393,131,140,113,196,1,0,0,0,0,1,0,下位,0
262,131,72,113,196,1,1,131,0,0,1,0,下位,0
131,131,0,113,196,1,2,262,0,0,1,0,下位,0
463,231,28,64,165,0,0,0,393,196,-275,2,下位,0
232,232,0,64,165,0,1,231,393,196,-275,2,下位,0
385,23,113,71,179,1,0,0,0,0,1,0,下位,0
362,131,83,71,179,1,1,23,0,0,1,0,下位,0
231,231,0,71,179,1,2,154,0,0,1,0,下位,0
186,186,0,72,189,0,0,0,385,179,-307,2,下位,0
102,102,0,483,1318,0,0,0,186,189,-408,2,下位,0
223,133,61,148,234,0,0,0,102,1318,751,3,下位,0
90,90,0,148,234,0,1,133,102,1318,751,3,下位,0
91,91,0,49,129,0,0,0,223,234,698,4,下位,0
362,231,50,186,390,0,0,0,91,129,685,2,下位,0
131,131,0,186,390,0,1,231,91,129,685,2,下位,0
495,233,102,85,224,0,0,0,362,390,561,3,下位,0
262,131,92,85,224,0,1,233,362,390,561,3,下位,0
131,131,0,85,224,0,2,364,362,390,561,3,下位,0
131,131,0,500,1244,0,0,0,495,224,116,2,下位,0
1093,231,102,110,182,0,0,0,131,1244,1156,5,下位,0
862,131,28,110,182,0,1,231,131,1244,1156,5,下位,0
731,731,0,110,182,0,2,362,131,1244,1156,5,下位,0
