REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
131,131,0,257,555,1,0,0,0,0,1,0,下位,0
232,232,0,23,65,0,0,0,131,555,352,6,下位,0
531,531,0,1508,4025,0,1,232,131,555,352,6,下位,0
312,312,0,327,889,0,0,0,763,4025,903,8,下位,0
76,76,0,15,41,0,0,0,312,889,1306,4,下位,0
131,131,0,22,61,0,1,76,312,889,1306,4,下位,0
81,81,0,35,99,0,2,207,312,889,1306,4,下位,0
297,297,0,50,132,0,3,288,312,889,1306,4,下位,0
231,231,0,23,65,0,0,0,585,132,726,2,下位,0
87,87,0,89,222,0,1,231,585,132,726,2,下位,0
231,231,0,29,81,0,0,0,318,222,517,3,下位,0
517,517,0,72,190,0,1,231,318,222,517,3,下位,0
531,531,0,5,15,0,0,0,748,190,-378,2,下位,0
476,476,0,101,150,0,1,531,748,190,-378,2,下位,0
131,131,0,12,35,0,0,0,1007,150,-1782,2,下位,0
232,232,0,543,1444,0,1,131,1007,150,-1782,2,下位,0
231,231,0,21,60,1,0,0,0,0,1,0,下位,0
233,233,0,22,63,1,1,231,0,0,1,0,下位,0
231,231,0,19,54,1,2,464,0,0,1,0,下位,0
131,131,0,35,98,1,3,695,0,0,1,0,下位,0
161,161,0,727,1931,1,4,826,0,0,1,0,下位,0
466,466,0,237,623,0,0,0,987,1931,669,6,下位,0
131,131,0,29,81,0,0,0,466,623,566,5,下位,0
231,231,0,16,46,0,1,131,466,623,566,5,下位,0
183,183,0,115,286,0,2,362,466,623,566,5,下位,0
231,231,0,19,54,0,0,0,545,286,130,4,下位,0
131,131,0,184,374,0,1,231,545,286,130,4,下位,0
231,231,0,22,61,0,0,0,362,374,-6,4,下位,0
131,131,0,26,72,0,1,231,362,374,-6,4,下位,0
531,531,0,26,74,0,2,362,362,374,-6,4,下位,0
148,148,0,395,1089,0,3,893,362,374,-6,4,下位,0
78,78,0,77,207,0,0,0,1041,1089,-332,3,下位,0
203,203,0,76,199,0,0,0,78,207,-246,2,下位,0
132,132,0,20,57,0,0,0,203,199,-364,2,下位,0
231,231,0,35,97,0,1,132,203,199,-364,2,下位,0
131,131,0,67,17,0,2,363,203,199,-364,2,下位,0
231,231,0,168,274,1,0,0,0,0,1,0,下位,0
232,232,0,2,6,0,0,0,231,274,-85,5,下位,0
131,131,0,18,50,0,1,232,231,274,-85,5,下位,0
693,693,0,102,256,0,2,363,231,274,-85,5,下位,0
281,281,0,86,223,0,0,0,1056,256,-1418,4,下位,0
231,231,0,20,57,0,0,0,281,223,-1633,3,下位,0
188,188,0,9,26,0,1,231,281,223,-1633,3,下位,0
280,280,0,13,36,0,2,419,281,223,-1633,3,下位,0
133,133,0,333,855,0,3,699,281,223,-1633,3,下位,0
131,131,0,88,126,1,0,0,0,0,1,0,下位,0
231,231,0,126,201,0,0,0,131,126,-77,2,下位,0
231,231,0,26,74,0,0,0,231,201,-236,3,下位,0
131,131,0,8,23,0,1,231,231,201,-236,3,下位,0
531,531,0,23,66,0,2,362,231,201,-236,3,下位,0
232,232,0,25,70,0,3,893,231,201,-236,3,下位,0
231,231,0,25,70,0,4,1125,231,201,-236,3,下位,0
231,231,0,18,50,0,5,1356,231,201,-236,3,下位,0
203,203,0,333,883,0,6,1587,231,201,-236,3,下位,0
131,131,0,14,39,0,0,0,1790,883,-1789,6,下位,0
231,231,0,25,70,0,1,131,1790,883,-1789,6,下位,0
102,102,0,66,51,0,2,362,1790,883,-1789,6,下位,0
231,231,0,186,391,0,0,0,464,51,-2352,2,下位,0
503,503,0,30,75,0,0,0,231,391,-2321,3,下位,0
131,131,0,87,123,0,0,0,503,75,-3029,2,下位,0
