REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
301,162,203,179,88,1,0,0,0,0,1,0,下位,0
139,139,0,179,88,1,1,162,0,0,1,0,下位,0
263,263,0,267,661,0,0,0,301,166,-100,1,下位,0
203,203,0,275,550,0,0,0,263,739,228,2,下位,0
723,145,162,442,891,0,0,0,203,628,539,4,下位,0
578,213,81,442,891,0,1,145,203,628,539,4,下位,0
365,365,0,442,891,0,2,358,203,628,539,4,下位,0
125,125,0,397,603,0,0,0,723,969,540,4,下位,0
793,463,213,254,619,0,0,0,125,681,1026,5,下位,0
330,330,0,254,619,0,1,463,125,681,1026,5,下位,0
682,221,83,278,568,0,0,0,793,697,697,3,下位,0
461,461,0,278,568,0,1,221,793,697,697,3,下位,0
548,418,203,153,248,0,0,0,682,646,361,3,下位,0
130,130,0,153,248,0,1,418,682,646,361,3,下位,0
175,175,0,190,187,0,0,0,548,326,34,2,下位,0
142,142,0,162,410,0,0,0,175,265,26,2,下位,0
149,149,0,178,94,0,0,0,142,488,292,1,下位,0
590,590,0,176,102,0,0,0,149,172,230,1,下位,0
137,137,0,1370,3386,0,0,0,590,180,-512,1,下位,0
211,211,0,95,53,1,0,0,0,0,1,0,下位,0
2556,646,773,284,635,0,0,0,211,131,-198,1,下位,0
1910,329,566,284,635,0,1,646,211,131,-198,1,下位,0
1581,575,493,284,635,0,2,975,211,131,-198,1,下位,0
1006,314,290,284,635,0,3,1550,211,131,-198,1,下位,0
692,433,209,284,635,0,4,1864,211,131,-198,1,下位,0
259,259,0,284,635,0,5,2297,211,131,-198,1,下位,0
939,797,205,199,239,0,0,0,2556,713,-2706,2,下位,0
142,142,0,199,239,0,1,797,2556,713,-2706,2,下位,0
947,309,154,190,-91,0,0,0,939,317,-3651,1,下位,0
638,230,75,190,-91,0,1,309,939,317,-3651,1,下位,0
408,408,0,190,-91,0,2,539,939,317,-3651,1,下位,0
577,443,79,1096,2080,1,0,0,0,0,1,0,下位,0
134,134,0,1096,2080,1,1,443,0,0,1,0,下位,0
800,800,0,200,61,0,0,0,577,2158,1337,11,下位,0
191,191,0,328,619,0,0,0,800,139,226,1,下位,0
864,583,73,625,1233,0,0,0,191,697,625,4,下位,0
281,281,0,625,1233,0,1,583,191,697,625,4,下位,0
631,378,73,374,607,0,0,0,864,1311,659,7,下位,0
253,253,0,374,607,0,1,378,864,1311,659,7,下位,0
144,144,0,139,163,1,0,0,0,0,1,0,下位,0
276,276,0,471,667,0,0,0,144,241,17,1,下位,0
520,520,0,137,80,0,0,0,276,745,331,4,下位,0
647,647,0,365,483,0,0,0,520,158,-323,2,下位,0
496,496,0,500,570,1,0,0,0,0,1,0,下位,0
319,319,0,177,400,0,0,0,496,648,-126,6,下位,0
229,229,0,151,75,0,0,0,319,478,-146,1,下位,0
1273,193,484,397,997,0,0,0,229,153,-351,2,下位,0
1080,181,411,397,997,0,1,193,229,153,-351,2,下位,0
899,598,205,397,997,0,2,374,229,153,-351,2,下位,0
301,301,0,397,997,0,3,972,229,153,-351,2,下位,0
222,222,0,703,1252,0,0,0,1273,1075,-781,6,下位,0
412,412,0,126,188,0,0,0,222,1330,202,7,下位,0
148,148,0,536,1155,0,0,0,412,266,-176,1,下位,0
31,31,0,360,783,1,0,0,0,0,1,0,下位,0
1140,494,79,133,326,0,0,0,31,861,814,3,下位,0
646,646,0,133,326,0,1,494,31,861,814,3,下位,0
641,641,0,273,162,0,0,0,1140,404,-484,1,下位,0
650,650,0,159,264,0,0,0,641,240,-1246,3,下位,0
782,782,0,280,640,0,0,0,650,342,-1920,1,下位,0
166,166,0,185,376,1,0,0,0,0,1,0,下位,0
826,168,73,360,917,0,0,0,166,454,196,1,下位,0
658,658,0,360,917,0,1,168,166,454,196,1,下位,0
172,172,0,280,742,0,0,0,826,995,-27,3,下位,0
564,564,0,560,1027,0,0,0,172,820,524,3,下位,0
528,297,79,175,245,0,0,0,564,1105,748,7,下位,0
231,231,0,175,245,0,1,297,564,1105,748,7,下位,0
657,657,0,338,653,0,0,0,528,323,325,1,下位,0
806,88,520,171,406,1,0,0,0,0,1,0,下位,0
718,225,209,171,406,1,1,88,0,0,1,0,下位,0
493,493,0,171,406,1,2,313,0,0,1,0,下位,0
775,775,0,357,222,0,0,0,806,484,-255,1,下位,0
289,289,0,273,484,0,0,0,775,300,-1166,2,下位,0
575,575,0,212,220,0,0,0,289,562,-1056,2,下位,0
151,151,0,215,137,1,0,0,0,0,1,0,下位,0
646,646,0,189,-93,0,0,0,151,215,-20,2,下位,0
551,120,309,1226,3151,0,0,0,646,-15,-1044,1,下位,0
431,431,0,1226,3151,0,1,120,646,-15,-1044,1,下位,0
1431,140,359,201,463,0,0,0,551,3229,1634,13,下位,0
1291,659,278,201,463,0,1,140,551,3229,1634,13,下位,0
632,340,73,201,463,0,2,799,551,3229,1634,13,下位,0
292,292,0,201,463,0,3,1139,551,3229,1634,13,下位,0
267,267,0,161,273,0,0,0,1431,541,298,2,下位,0
303,143,73,382,897,0,0,0,267,351,232,1,下位,0
160,160,0,382,897,0,1,143,267,351,232,1,下位,0
196,196,0,97,51,1,0,0,0,0,1,0,下位,0
930,643,207,122,177,0,0,0,196,129,-176,1,下位,0
287,287,0,122,177,0,1,643,196,129,-176,1,下位,0
766,329,73,193,335,0,0,0,930,255,-1167,1,下位,0
437,437,0,193,335,0,1,329,930,255,-1167,1,下位,0
568,568,0,387,756,0,0,0,766,413,-1878,2,下位,0
888,660,203,197,-113,0,0,0,568,834,-1932,3,下位,0
228,228,0,197,-113,0,1,660,568,834,-1932,3,下位,0
646,646,0,312,688,0,0,0,888,-35,-3151,1,下位,0
84,84,0,499,833,1,0,0,0,0,1,0,下位,0
272,272,0,526,776,0,0,0,84,911,781,4,下位,0
492,492,0,121,184,0,0,0,272,854,1210,4,下位,0
492,299,73,242,334,0,0,0,492,262,703,1,下位,0
193,193,0,242,334,0,1,299,492,262,703,1,下位,0
840,229,75,140,164,0,0,0,492,412,419,3,下位,0
611,611,0,140,164,0,1,229,492,412,419,3,下位,0
809,235,286,208,-14,0,0,0,840,242,-577,1,下位,0
574,329,81,208,-14,0,1,235,840,242,-577,1,下位,0
245,245,0,208,-14,0,2,564,840,242,-577,1,下位,0
591,147,209,404,732,0,0,0,809,64,-1491,2,下位,0
444,444,0,404,732,0,1,147,809,64,-1491,2,下位,0
71,71,0,327,510,1,0,0,0,0,1,0,下位,0
