REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
162,162,0,121,78,1,0,0,0,0,1,0,下位,0
139,139,0,209,41,1,1,162,0,0,1,0,下位,0
263,263,0,297,614,0,0,0,301,166,-100,1,下位,0
203,203,0,305,503,0,0,0,263,739,228,2,下位,0
145,145,0,96,-44,0,0,0,203,628,539,4,下位,0
213,213,0,96,-44,0,1,145,203,628,539,4,下位,0
365,365,0,472,844,0,2,358,203,628,539,4,下位,0
125,125,0,427,556,0,0,0,723,969,540,4,下位,0
463,463,0,123,88,0,0,0,125,681,1026,5,下位,0
330,330,0,284,572,0,1,463,125,681,1026,5,下位,0
221,221,0,97,-42,0,0,0,793,697,697,3,下位,0
461,461,0,308,521,0,1,221,793,697,697,3,下位,0
418,418,0,121,78,0,0,0,682,646,361,3,下位,0
130,130,0,183,201,0,1,418,682,646,361,3,下位,0
175,175,0,220,140,0,0,0,548,326,34,2,下位,0
142,142,0,192,363,0,0,0,175,265,26,2,下位,0
149,149,0,208,47,0,0,0,142,488,292,1,下位,0
590,590,0,206,55,0,0,0,149,172,230,1,下位,0
137,137,0,1400,3339,0,0,0,590,180,-512,1,下位,0
211,211,0,125,6,1,0,0,0,0,1,0,下位,0
646,646,0,121,82,0,0,0,211,131,-198,1,下位,0
329,329,0,95,-52,0,1,646,211,131,-198,1,下位,0
575,575,0,121,78,0,2,975,211,131,-198,1,下位,0
314,314,0,96,-44,0,3,1550,211,131,-198,1,下位,0
433,433,0,122,84,0,4,1864,211,131,-198,1,下位,0
259,259,0,314,588,0,5,2297,211,131,-198,1,下位,0
797,797,0,121,80,0,0,0,2556,713,-2706,2,下位,0
142,142,0,229,192,0,1,797,2556,713,-2706,2,下位,0
309,309,0,96,-46,0,0,0,939,317,-3651,1,下位,0
230,230,0,95,-50,0,1,309,939,317,-3651,1,下位,0
408,408,0,220,-138,0,2,539,939,317,-3651,1,下位,0
443,443,0,96,-46,1,0,0,0,0,1,0,下位,0
