REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
57,57,0,9,35,1,0,0,0,0,1,0,下位,0,0,0
488,488,0,43,152,1,1,57,0,0,1,0,下位,0,57,35
133,133,0,83,312,0,0,0,545,152,-697,1,下位,0,0,0
208,208,0,71,268,0,0,0,133,312,-601,1,下位,0,0,0
473,473,0,2,7,0,0,0,208,268,-671,1,下位,0,0,0
424,424,0,70,256,0,1,473,208,268,-671,1,下位,0,473,7
321,321,0,110,367,0,0,0,897,256,-1864,2,下位,0,0,0
457,457,0,2,10,0,0,0,321,367,-2018,2,下位,0,0,0
319,319,0,52,182,0,1,457,321,367,-2018,2,下位,0,457,10
497,497,0,8,33,0,0,0,776,182,-3086,1,下位,0,0,0
232,232,0,90,340,0,1,497,776,182,-3086,1,下位,0,497,33
184,184,0,58,182,0,0,0,729,340,-3897,2,下位,0,0,0
230,230,0,42,156,0,0,0,184,182,-4014,2,下位,0,0,0
510,510,0,2,6,0,0,0,230,156,-4231,1,下位,0,0,0
82,82,0,49,183,0,1,510,230,156,-4231,1,下位,0,510,6
77,77,0,7,28,0,0,0,592,183,-5003,1,下位,0,0,0
302,302,0,40,136,0,1,77,592,183,-5003,1,下位,0,77,28
405,405,0,106,363,0,0,0,379,136,-5454,1,下位,0,0,0
34,34,0,156,553,0,0,0,405,363,-5748,2,下位,0,0,0
54,54,0,12,50,0,0,0,34,553,-5250,2,下位,0,0,0
32,32,0,8,34,0,1,54,34,553,-5250,2,下位,0,54,50
44,44,0,12,48,0,2,86,34,553,-5250,2,下位,0,32,34
198,198,0,9,36,0,3,130,34,553,-5250,2,下位,0,44,48
529,529,0,49,182,0,4,328,34,553,-5250,2,下位,0,198,36
206,206,0,58,219,1,0,0,0,0,1,0,下位,0,0,0
95,95,0,8,32,0,0,0,206,219,-114,1,下位,0,0,0
403,403,0,11,44,0,1,95,206,219,-114,1,下位,0,95,32
493,493,0,4,17,0,2,498,206,219,-114,1,下位,0,403,44
75,75,0,152,536,0,3,991,206,219,-114,1,下位,0,493,17
275,275,0,4,15,0,0,0,1066,536,-1215,3,下位,0,0,0
621,621,0,5,21,0,1,275,1066,536,-1215,3,下位,0,275,15
309,309,0,296,1123,0,2,896,1066,536,-1215,3,下位,0,621,21
465,465,0,2,10,0,0,0,1205,1123,-2012,4,下位,0,0,0
134,134,0,47,176,0,1,465,1205,1123,-2012,4,下位,0,465,10
