REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
707,707,0,169,278,1,0,0,0,0,1,0,下位,0
116,116,0,508,1260,0,0,0,707,359,-780,2,下位,0
126,126,0,192,283,0,0,0,116,1341,374,7,下位,0
709,709,0,433,906,0,0,0,126,364,535,3,下位,0
122,122,0,411,852,0,0,0,709,987,378,7,下位,0
650,650,0,68,26,0,0,0,122,933,1114,7,下位,0
104,104,0,328,732,0,1,650,122,933,1114,7,下位,0
211,211,0,102,104,0,0,0,754,813,818,5,下位,0
469,469,0,160,405,0,0,0,211,185,663,1,下位,0
293,293,0,129,142,0,0,0,469,486,393,1,下位,0
633,633,0,366,423,0,0,0,293,223,143,2,下位,0
152,152,0,448,845,0,0,0,633,504,-374,8,下位,0
247,247,0,202,420,1,0,0,0,0,1,0,下位,0
437,437,0,99,111,0,0,0,247,501,104,3,下位,0
337,337,0,68,30,0,0,0,437,192,-409,1,下位,0
326,326,0,104,109,0,1,337,437,192,-409,1,下位,0
577,577,0,65,11,0,0,0,663,190,-1178,1,下位,0
133,133,0,239,234,0,1,577,663,190,-1178,1,下位,0
200,200,0,68,26,0,0,0,710,315,-1917,4,下位,0
524,524,0,588,1159,0,1,200,710,315,-1917,4,下位,0
208,208,0,69,32,0,0,0,724,1240,-1738,9,下位,0
390,390,0,278,457,0,1,208,724,1240,-1738,9,下位,0
144,144,0,154,315,0,0,0,598,538,-2051,3,下位,0
149,149,0,280,824,0,0,0,144,396,-1887,1,下位,0
713,713,0,66,13,0,0,0,149,905,-1222,3,下位,0
192,192,0,68,29,0,1,713,149,905,-1222,3,下位,0
110,110,0,200,371,0,2,905,149,905,-1222,3,下位,0
556,556,0,230,407,0,0,0,1015,452,-2203,3,下位,0
109,109,0,166,262,0,0,0,556,488,-2612,3,下位,0
127,127,0,163,235,0,0,0,109,343,-2445,2,下位,0
140,140,0,332,512,0,0,0,127,316,-2334,1,下位,0
581,581,0,756,1973,1,0,0,0,0,1,0,下位,0
227,227,0,206,420,0,0,0,581,2054,1118,13,下位,0
179,179,0,194,108,0,0,0,227,501,1253,3,下位,0
