REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
566,566,0,146,692,1,0,0,0,0,1,0,下位,0,0,0
217,217,0,35,168,0,0,0,566,692,-191,7,下位,0,0,0
584,584,0,124,580,0,0,0,217,168,-362,1,下位,0,0,0
142,142,0,192,910,0,0,0,584,580,-695,7,下位,0,0,0
46,46,0,12,54,0,0,0,142,910,-7,9,下位,0,0,0
193,193,0,41,184,0,0,0,46,54,-24,1,下位,0,0,0
128,128,0,58,260,0,0,0,193,184,-142,3,下位,0,0,0
463,463,0,32,144,0,0,0,128,260,-82,5,下位,0,0,0
278,278,0,14,66,0,0,0,463,144,-661,3,下位,0,0,0
504,504,0,241,1131,0,0,0,278,66,-1029,1,下位,0,0,0
91,91,0,49,228,0,0,0,504,1131,-686,12,下位,0,0,0
679,679,0,120,554,1,0,0,0,0,1,0,下位,0,0,0
21,21,0,87,406,0,0,0,679,554,-506,7,下位,0,0,0
431,431,0,70,326,0,0,0,21,406,-133,5,下位,0,0,0
752,752,0,66,300,0,0,0,431,326,-480,5,下位,0,0,0
704,704,0,68,308,0,0,0,752,300,-1355,5,下位,0,0,0
660,660,0,51,236,1,0,0,0,0,1,0,下位,0,0,0
476,476,0,13,58,0,0,0,660,236,-794,3,下位,0,0,0
66,66,0,221,1012,0,0,0,476,58,-1480,1,下位,0,0,0
279,279,0,96,452,0,0,0,66,1012,-571,14,下位,0,0,0
278,278,0,100,484,0,0,0,279,452,-555,5,下位,0,0,0
277,277,0,50,218,0,0,0,278,484,-505,3,下位,0,0,0
136,136,0,39,176,0,0,0,277,218,-720,5,下位,0,0,0
362,362,0,552,2598,0,0,0,136,176,-757,3,下位,0,0,0
296,296,0,171,794,0,0,0,362,2598,1275,27,下位,0,0,0
240,240,0,148,710,0,0,0,296,794,1607,11,下位,0,0,0
871,871,0,131,638,0,0,0,240,710,1942,5,下位,0,0,0
847,847,0,86,398,0,0,0,871,638,1219,3,下位,0,0,0
183,183,0,39,178,1,0,0,0,0,1,0,下位,0,0,0
19,19,0,187,864,0,0,0,183,178,-107,3,下位,0,0,0
156,156,0,231,1102,0,0,0,19,864,727,11,下位,0,0,0
824,824,0,10,44,0,0,0,156,1102,1585,9,下位,0,0,0
27,27,0,43,196,0,0,0,824,44,341,1,下位,0,0,0
467,467,0,391,1876,1,0,0,0,0,1,0,下位,0,0,0
391,391,0,13,58,0,0,0,467,1876,1147,13,下位,0,0,0
440,440,0,174,831,0,0,0,391,58,594,1,下位,0,0,0
201,201,0,270,1263,0,0,0,440,831,738,6,下位,0,0,0
494,494,0,80,370,0,0,0,201,1263,1687,14,下位,0,0,0
295,295,0,103,486,0,0,0,494,370,1285,5,下位,0,0,0
72,72,0,11,52,0,0,0,295,486,1310,5,下位,0,0,0
477,477,0,213,1006,0,0,0,72,52,1249,1,下位,0,0,0
193,193,0,93,448,0,0,0,477,1006,1510,11,下位,0,0,0
30,30,0,113,540,0,0,0,193,448,1656,3,下位,0,0,0
183,183,0,97,454,0,0,0,30,540,2149,5,下位,0,0,0
35,35,0,87,405,0,0,0,183,454,2317,5,下位,0,0,0
678,678,0,77,352,0,0,0,35,405,-26,4,上位,0,0,0
129,129,0,190,923,0,0,0,678,352,-733,5,下位,0,0,0
28,28,0,11,52,0,0,0,129,923,-12,6,下位,0,0,0
655,655,0,40,184,1,0,0,0,0,1,0,下位,0,0,0
38,38,0,148,698,0,0,0,655,184,-838,3,下位,0,0,0
163,163,0,89,416,0,0,0,38,698,-199,7,下位,0,0,0
265,265,0,14,64,0,0,0,163,416,-38,5,下位,0,0,0
678,678,0,12,54,0,0,0,265,64,-388,1,下位,0,0,0
142,142,0,60,280,0,0,0,678,54,-1393,1,下位,0,0,0
1029,1029,0,149,697,0,0,0,142,280,-1335,3,下位,0,0,0
280,280,0,134,630,0,0,0,1029,697,-2246,8,下位,0,0,0
