REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
330,330,0,285,561,1,0,0,0,0,1,0,下位,0
123,123,0,6,5,0,0,0,330,561,37,4,下位,0
435,298,58,77,141,0,0,0,123,5,-154,1,下位,0
137,137,0,77,141,0,1,298,123,5,-154,1,下位,0
347,77,37,19,26,0,0,0,435,141,-648,2,下位,0
270,270,0,19,26,0,1,77,435,141,-648,2,下位,0
451,143,64,38,68,0,0,0,347,26,-1138,1,下位,0
308,251,38,38,68,0,1,143,347,26,-1138,1,下位,0
57,57,0,38,68,0,2,394,347,26,-1138,1,下位,0
56,56,0,132,256,0,0,0,451,68,-1725,1,下位,0
180,180,0,113,219,0,0,0,56,256,-1558,2,下位,0
383,383,0,369,726,0,0,0,180,219,-1626,2,下位,0
165,165,0,811,1586,0,0,0,383,726,-1510,5,下位,0
449,287,47,173,337,0,0,0,165,1586,-187,12,下位,0
162,162,0,173,337,0,1,287,165,1586,-187,12,下位,0
1002,171,31,166,321,0,0,0,449,337,-518,3,下位,0
831,831,0,166,321,0,1,171,449,337,-518,3,下位,0
1003,133,74,328,650,0,0,0,1002,321,-1761,3,下位,0
870,834,46,328,650,0,1,133,1002,321,-1761,3,下位,0
36,36,0,328,650,0,2,967,1002,321,-1761,3,下位,0
40,40,0,231,454,0,0,0,1003,650,-2634,4,下位,0
139,139,0,836,1638,0,0,0,40,454,-2244,3,下位,0
42,42,0,158,309,0,0,0,139,1638,-827,12,下位,0
422,305,36,85,164,1,0,0,0,0,1,0,下位,0
117,117,0,85,164,1,1,305,0,0,1,0,下位,0
423,180,25,244,477,0,0,0,422,164,-471,2,下位,0
243,243,0,244,477,0,1,180,422,164,-471,2,下位,0
1004,318,73,260,507,0,0,0,423,477,-643,4,下位,0
686,146,50,260,507,0,1,318,423,477,-643,4,下位,0
540,540,0,260,507,0,2,464,423,477,-643,4,下位,0
336,179,37,120,213,0,0,0,1004,507,-1661,3,下位,0
157,157,0,120,213,0,1,179,1004,507,-1661,3,下位,0
597,597,0,166,324,0,0,0,336,88,-1946,2,上位,0
332,332,0,125,243,0,0,0,597,324,-2573,3,下位,0
329,329,0,604,1172,0,0,0,332,243,-2859,2,下位,0
599,47,39,36,66,0,0,0,329,1172,-2211,9,下位,0
552,552,0,36,66,0,1,47,329,1172,-2211,9,下位,0
484,177,45,82,151,0,0,0,599,66,-3060,1,下位,0
307,307,0,82,151,0,1,177,599,66,-3060,1,下位,0
297,297,0,387,766,0,0,0,484,151,-3635,2,下位,0
691,180,39,246,485,0,0,0,297,766,-3342,4,下位,0
511,511,0,246,485,0,1,180,297,766,-3342,4,下位,0
510,510,0,12,18,0,0,0,691,485,-3919,3,下位,0
184,142,32,28,48,0,0,0,510,18,-4713,1,下位,0
42,42,0,28,48,0,1,142,510,18,-4713,1,下位,0
291,93,40,246,484,1,0,0,0,0,1,0,下位,0
198,198,0,246,484,1,1,93,0,0,1,0,下位,0
328,328,0,778,1513,0,0,0,291,484,62,4,下位,0
39,39,0,597,1160,0,0,0,328,1513,1053,9,上位,0
481,481,0,32,56,0,0,0,39,1160,2151,8,下位,0
377,377,0,271,530,0,0,0,481,56,1441,1,下位,0
220,99,40,36,64,0,0,0,377,530,1371,3,下位,0
121,121,0,36,64,0,1,99,377,530,1371,3,下位,0
252,252,0,79,151,0,0,0,220,64,1124,1,下位,0
82,82,0,36,66,0,0,0,252,151,874,2,下位,0
597,597,0,84,162,0,0,0,82,66,809,1,下位,0
1003,331,32,107,205,0,0,0,597,162,20,2,下位,0
672,672,0,107,205,0,1,331,597,162,20,2,下位,0
179,179,0,411,814,0,0,0,1003,205,-1340,2,下位,0
452,452,0,38,70,0,0,0,179,814,-811,7,下位,0
599,493,28,313,617,0,0,0,452,70,-1461,1,下位,0
106,106,0,313,617,0,1,493,452,70,-1461,1,下位,0
200,143,38,633,1232,0,0,0,599,617,-1770,4,下位,0
57,57,0,633,1232,0,1,143,599,617,-1770,4,下位,0
330,330,0,95,182,1,0,0,0,0,1,0,下位,0
43,43,0,32,56,0,0,0,330,182,-342,2,下位,0
304,68,47,77,146,0,0,0,43,56,-354,1,下位,0
236,236,0,77,146,0,1,68,43,56,-354,1,下位,0
1004,103,63,283,552,0,0,0,304,146,-645,2,下位,0
901,365,35,283,552,0,1,103,304,146,-645,2,下位,0
