REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
528,528,0,239,578,1,0,0,0,0,1,0,下位,0
796,796,0,120,304,0,0,0,528,578,-223,6,下位,0
61,61,0,206,523,0,0,0,796,304,-1129,4,下位,0
332,91,-15,94,237,0,0,0,61,523,-699,5,下位,0
241,241,0,94,237,0,1,91,61,523,-699,5,下位,0
343,74,-30,54,142,0,0,0,332,237,-981,3,下位,0
269,135,-15,54,142,0,1,74,332,237,-981,3,下位,0
134,134,0,54,142,0,2,209,332,237,-981,3,下位,0
443,443,0,60,158,0,0,0,343,142,-1391,2,下位,0
422,422,0,411,1031,0,0,0,443,158,-1906,2,下位,0
255,255,0,146,377,1,0,0,0,0,1,0,下位,0
842,96,-60,369,851,0,0,0,255,377,-10,4,下位,0
746,262,-45,369,851,0,1,96,255,377,-10,4,下位,0
484,59,-30,369,851,0,2,358,255,377,-10,4,下位,0
425,339,-15,369,851,0,3,417,255,377,-10,4,下位,0
86,86,0,369,851,0,4,756,255,377,-10,4,下位,0
168,87,-15,95,241,0,0,0,842,851,-499,12,上位,0
81,81,0,95,241,0,1,87,842,851,-499,12,上位,0
803,330,-15,173,433,0,0,0,168,241,-528,3,下位,0
473,473,0,173,433,0,1,330,168,241,-528,3,下位,0
269,269,0,67,179,0,0,0,803,433,-1331,5,下位,0
707,68,-45,55,147,0,0,0,269,179,-1561,2,下位,0
639,69,-30,55,147,0,1,68,269,179,-1561,2,下位,0
570,76,-15,55,147,0,2,137,269,179,-1561,2,下位,0
494,494,0,55,147,0,3,213,269,179,-1561,2,下位,0
827,469,-15,64,155,0,0,0,707,147,-2535,2,下位,0
358,358,0,64,155,0,1,469,707,147,-2535,2,下位,0
40,40,0,306,727,0,0,0,827,155,-3652,3,下位,0
134,134,0,290,703,0,0,0,40,727,-2986,8,下位,0
750,750,0,59,158,0,0,0,134,703,-2487,8,下位,0
298,298,0,158,381,0,0,0,750,158,-3469,2,下位,0
959,95,-30,233,567,1,0,0,0,0,1,0,下位,0
864,254,-15,233,567,1,1,95,0,0,1,0,下位,0
610,610,0,233,567,1,2,349,0,0,1,0,下位,0
79,79,0,60,140,0,0,0,959,567,-920,6,下位,0
64,64,0,2358,6217,0,0,0,79,140,-900,3,下位,0
466,466,0,463,1115,0,0,0,64,6217,-4,28,上位,0
993,95,-15,388,911,0,0,0,466,1115,403,14,下位,0
898,898,0,388,911,0,1,95,466,1115,403,14,下位,0
556,140,-30,115,280,0,0,0,993,911,-211,11,上位,0
416,359,-15,115,280,0,1,140,993,911,-211,11,上位,0
57,57,0,115,280,0,2,499,993,911,-211,11,上位,0
96,96,0,197,497,0,0,0,556,280,-807,4,下位,0
862,534,-15,70,168,1,0,0,0,0,1,0,下位,0
328,328,0,70,168,1,1,534,0,0,1,0,下位,0
1174,288,-15,353,882,0,0,0,862,168,-1157,3,下位,0
886,886,0,353,882,0,1,288,862,168,-1157,3,下位,0
66,66,0,53,140,0,0,0,1174,882,-2075,9,下位,0
133,51,-15,2630,6962,0,0,0,66,140,-2036,2,下位,0
82,82,0,2630,6962,0,1,51,66,140,-2036,2,下位,0
1126,736,-30,106,287,0,0,0,133,6962,-5,33,上位,0
390,87,-15,106,287,0,1,736,133,6962,-5,33,上位,0
303,303,0,106,287,0,2,823,133,6962,-5,33,上位,0
182,182,0,214,486,1,0,0,0,0,1,0,下位,0
