REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
55,55,0,87,54,1,0,0,0,0,1,0,下位,0
620,620,0,32,64,0,0,0,55,104,26,1,下位,0
77,77,0,88,56,0,1,620,55,104,26,1,下位,0
170,170,0,34,69,0,0,0,697,106,-800,1,下位,0
161,161,0,89,58,0,1,170,697,106,-800,1,下位,0
182,182,0,358,421,0,0,0,331,108,-1096,1,下位,0
160,160,0,30,59,0,0,0,182,471,-885,4,下位,0
465,465,0,86,52,0,1,160,182,471,-885,4,下位,0
53,53,0,87,54,0,0,0,625,102,-1617,1,下位,0
329,329,0,255,268,0,0,0,53,104,-1589,1,下位,0
365,365,0,32,65,0,0,0,329,318,-1741,2,下位,0
211,211,0,39,78,0,1,365,329,318,-1741,2,下位,0
489,489,0,82,44,0,2,576,329,318,-1741,2,下位,0
75,75,0,1597,2126,0,0,0,1065,94,-3025,1,下位,0
576,576,0,270,321,0,0,0,75,2176,-956,15,下位,0
442,442,0,36,71,0,0,0,576,371,-1408,3,下位,0
141,141,0,35,70,0,1,442,576,371,-1408,3,下位,0
140,140,0,419,623,0,2,583,576,371,-1408,3,下位,0
224,224,0,34,67,1,0,0,0,0,1,0,下位,0
324,324,0,317,401,1,1,224,0,0,1,0,下位,0
135,135,0,205,173,0,0,0,548,451,-264,3,下位,0
274,274,0,36,71,0,0,0,135,223,-234,2,下位,0
262,262,0,36,71,0,1,274,135,223,-234,2,下位,0
110,110,0,88,56,0,2,536,135,223,-234,2,下位,0
164,164,0,88,56,0,0,0,646,106,-908,1,下位,0
82,82,0,39,78,0,0,0,164,106,-1036,1,下位,0
43,43,0,34,67,0,1,82,164,106,-1036,1,下位,0
172,172,0,603,786,0,2,125,164,106,-1036,1,下位,0
244,244,0,89,58,0,0,0,297,836,-479,6,下位,0
166,166,0,36,71,0,0,0,244,108,-720,1,下位,0
66,66,0,86,52,0,1,166,244,108,-720,1,下位,0
160,160,0,245,242,0,0,0,232,102,-878,1,下位,0
111,111,0,891,1220,0,0,0,160,292,-815,3,下位,0
517,517,0,34,69,0,0,0,111,1270,296,8,下位,0
44,44,0,32,65,0,1,517,111,1270,296,8,下位,0
219,219,0,87,54,0,2,561,111,1270,296,8,下位,0
162,162,0,263,323,0,0,0,780,104,-581,1,下位,0
65,65,0,273,352,0,0,0,162,373,-439,2,下位,0
43,43,0,491,685,0,0,0,65,402,-130,2,下位,0
122,122,0,344,383,0,0,0,43,735,544,4,下位,0
150,150,0,1001,1365,0,0,0,122,433,803,3,下位,0
567,567,0,277,363,0,0,0,150,1415,2004,8,下位,0
65,65,0,271,227,0,0,0,567,413,1607,3,下位,0
337,337,0,36,71,0,0,0,65,277,1791,3,下位,0
226,226,0,707,962,0,1,337,65,277,1791,3,下位,0
46,46,0,36,71,1,0,0,0,0,1,0,下位,0
307,307,0,273,297,1,1,46,0,0,1,0,下位,0
566,566,0,87,54,0,0,0,353,347,-86,3,下位,0
173,173,0,225,196,0,0,0,566,104,-791,1,下位,0
160,160,0,86,52,0,0,0,173,246,-792,2,下位,0
772,772,0,34,67,0,0,0,160,102,-919,1,下位,0
102,102,0,441,492,0,1,772,160,102,-919,1,下位,0
67,67,0,355,250,0,0,0,874,542,-1559,4,下位,0
116,116,0,34,69,0,0,0,67,300,-1355,4,下位,0
255,255,0,34,67,0,1,116,67,300,-1355,4,下位,0
293,293,0,188,184,0,2,371,67,300,-1355,4,下位,0
165,165,0,158,124,0,0,0,664,234,-1934,2,下位,0
168,168,0,32,65,0,0,0,165,174,-1996,2,下位,0
46,46,0,579,605,0,1,168,165,174,-1996,2,下位,0
167,167,0,32,65,0,0,0,214,655,-1582,6,下位,0
99,99,0,137,73,0,1,167,214,655,-1582,6,下位,0
349,349,0,40,80,0,0,0,266,123,-1774,1,下位,0
278,278,0,32,63,0,1,349,266,123,-1774,1,下位,0
93,93,0,278,354,0,2,627,266,123,-1774,1,下位,0
343,343,0,187,132,0,0,0,720,404,-2256,2,下位,0
196,196,0,34,69,1,0,0,0,0,1,0,下位,0
471,471,0,89,58,1,1,196,0,0,1,0,下位,0
73,73,0,34,69,0,0,0,667,108,-775,1,下位,0
