REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
408,257,69,85,50,1,0,0,0,0,1,0,下位,0
151,151,0,85,50,1,1,257,0,0,1,0,下位,0
182,182,0,683,872,0,0,0,408,100,-413,1,下位,0
400,400,0,581,834,0,0,0,182,922,249,6,下位,0
163,163,0,725,889,0,0,0,400,884,562,3,下位,0
1077,919,69,429,507,0,0,0,163,939,1268,6,下位,0
158,158,0,429,507,0,1,919,163,939,1268,6,下位,0
388,388,0,85,49,0,0,0,1077,557,355,4,下位,0
309,309,0,347,369,0,0,0,388,99,-100,1,下位,0
190,190,0,613,674,0,0,0,309,419,-122,4,下位,0
674,231,76,183,216,0,0,0,190,724,331,5,下位,0
443,443,0,183,216,0,1,231,190,724,331,5,下位,0
529,529,0,757,1304,0,0,0,674,266,-290,2,下位,0
358,358,0,84,48,0,0,0,529,1354,308,2,下位,0
169,169,0,283,291,0,0,0,358,98,-105,1,下位,0
201,106,67,459,637,1,0,0,0,0,1,0,下位,0
95,95,0,459,637,1,1,106,0,0,1,0,下位,0
129,129,0,87,54,0,0,0,201,687,468,4,下位,0
333,333,0,348,453,0,0,0,129,104,388,1,下位,0
560,560,0,194,195,0,0,0,333,503,415,3,下位,0
573,573,0,88,56,0,0,0,560,245,-140,2,下位,0
59,59,0,789,1077,0,0,0,573,106,-853,1,下位,0
315,315,0,491,529,0,0,0,59,1127,190,5,下位,0
434,273,69,623,686,0,0,0,315,579,319,5,下位,0
161,161,0,623,686,0,1,273,315,579,319,5,下位,0
886,886,0,87,54,0,0,0,434,736,504,6,下位,0
380,380,0,385,490,0,0,0,886,104,-658,1,下位,0
394,394,0,431,553,0,0,0,380,540,-661,3,下位,0
783,783,0,163,117,0,0,0,394,603,-621,2,下位,0
484,263,67,396,552,0,0,0,783,167,-1573,1,下位,0
221,221,0,396,552,0,1,263,783,167,-1573,1,下位,0
146,146,0,86,52,1,0,0,0,0,1,0,下位,0
379,379,0,543,797,0,0,0,146,102,-106,1,下位,0
484,484,0,165,154,0,0,0,379,847,200,5,下位,0
888,558,71,1063,1713,0,0,0,484,204,-287,2,下位,0
330,330,0,1063,1713,0,1,558,484,204,-287,2,下位,0
169,169,0,224,246,0,0,0,888,1763,279,4,下位,0
313,313,0,562,694,0,0,0,169,296,334,2,下位,0
510,278,67,280,297,0,0,0,313,744,631,5,下位,0
232,232,0,280,297,0,1,278,313,744,631,5,下位,0
168,168,0,340,368,0,0,0,510,347,317,3,下位,0
886,168,71,331,443,0,0,0,168,418,495,3,下位,0
718,718,0,331,443,0,1,168,168,418,495,3,下位,0
988,501,69,87,54,0,0,0,886,493,-207,2,下位,0
487,487,0,87,54,0,1,501,886,493,-207,2,下位,0
268,268,0,1235,1669,0,0,0,988,104,-1446,1,下位,0
167,167,0,185,144,0,0,0,268,1719,-110,11,下位,0
275,275,0,439,493,0,0,0,167,194,-155,2,下位,0
459,459,0,86,52,0,0,0,275,543,-5,4,下位,0
48,48,0,195,226,0,0,0,459,102,-559,1,下位,0
477,325,65,368,518,1,0,0,0,0,1,0,下位,0
152,152,0,368,518,1,1,325,0,0,1,0,下位,0
679,171,205,85,50,0,0,0,477,568,-47,3,下位,0
508,207,136,85,50,0,1,171,477,568,-47,3,下位,0
301,199,69,85,50,0,2,378,477,568,-47,3,下位,0
102,102,0,85,50,0,3,577,477,568,-47,3,下位,0
481,481,0,567,649,0,0,0,679,100,-712,1,下位,0
59,59,0,380,439,0,0,0,481,699,-700,5,下位,0
780,161,142,165,168,0,0,0,59,489,-295,4,下位,0
619,511,71,165,168,0,1,161,59,489,-295,4,下位,0
108,108,0,165,168,0,2,672,59,489,-295,4,下位,0
