REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
201,201,0,73,154,1,0,0,0,0,1,0,下位,0,0,0
314,314,0,43,5,1,1,201,0,0,1,0,下位,0,201,206
104,104,0,45,14,1,2,515,0,0,1,0,下位,0,314,57
545,545,0,361,1291,1,3,619,0,0,1,0,下位,0,104,66
353,353,0,73,154,0,0,0,1164,1343,-204,3,下位,0,0,0
657,657,0,73,154,0,1,353,1164,1343,-204,3,下位,0,353,206
94,94,0,310,576,0,2,1010,1164,1343,-204,3,下位,0,657,206
381,381,0,73,154,1,0,0,0,0,1,0,下位,0,0,0
338,338,0,73,154,1,1,381,0,0,1,0,下位,0,381,206
311,311,0,331,814,1,2,719,0,0,1,0,下位,0,338,206
108,108,0,163,182,0,0,0,1030,866,-383,6,下位,0,0,0
126,126,0,317,963,0,0,0,108,234,-323,2,下位,0,0,0
200,200,0,200,493,0,0,0,126,1015,489,5,下位,0,0,0
286,286,0,45,14,0,0,0,200,545,711,2,下位,0,0,0
183,183,0,104,191,0,1,286,200,545,711,2,下位,0,286,66
286,286,0,291,1103,0,0,0,469,243,264,1,下位,0,0,0
277,277,0,45,14,0,0,0,286,1155,958,4,下位,0,0,0
138,138,0,704,2767,0,1,277,286,1155,958,4,下位,0,277,66
100,100,0,615,1470,0,0,0,415,2819,917,11,下位,0,0,0
332,332,0,318,1147,1,0,0,0,0,1,0,下位,0,0,0
155,155,0,45,15,1,0,0,0,0,1,0,下位,0,0,0
119,119,0,73,154,1,1,155,0,0,1,0,下位,0,155,67
264,264,0,45,15,1,2,274,0,0,1,0,下位,0,119,206
242,242,0,155,282,1,3,538,0,0,1,0,下位,0,264,67
112,112,0,73,154,0,0,0,780,334,-583,3,下位,0,0,0
51,51,0,73,154,0,1,112,780,334,-583,3,下位,0,112,206
691,691,0,126,243,0,2,163,780,334,-583,3,下位,0,51,206
35,35,0,73,154,0,0,0,854,295,-1254,2,下位,0,0,0
95,95,0,45,14,0,1,35,854,295,-1254,2,下位,0,35,206
188,188,0,307,582,0,2,130,854,295,-1254,2,下位,0,95,66
200,200,0,410,1259,0,0,0,318,634,-860,5,下位,0,0,0
103,103,0,464,1211,0,0,0,200,1311,128,8,下位,0,0,0
83,83,0,177,432,0,0,0,103,1263,1225,6,下位,0,0,0
80,80,0,90,28,0,0,0,83,484,1575,3,下位,0,0,0
136,136,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
628,628,0,45,14,1,1,136,0,0,1,0,下位,0,136,66
737,737,0,334,994,1,2,764,0,0,1,0,下位,0,628,66
245,245,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
65,65,0,170,541,1,1,245,0,0,1,0,下位,0,245,66
400,400,0,45,14,0,0,0,310,593,160,2,下位,0,0,0
468,468,0,118,165,0,1,400,310,593,160,2,下位,0,400,66
96,96,0,418,1257,0,0,0,868,217,-957,1,下位,0,0,0
201,201,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
94,94,0,45,14,1,1,201,0,0,1,0,下位,0,201,66
257,257,0,195,403,1,2,295,0,0,1,0,下位,0,94,66
278,278,0,73,154,0,0,0,552,455,-303,3,下位,0,0,0
225,225,0,45,14,0,1,278,552,455,-303,3,下位,0,278,206
449,449,0,115,358,0,2,503,552,455,-303,3,下位,0,225,66
60,60,0,1265,3480,0,0,0,952,410,-1156,1,下位,0,0,0
68,68,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
884,884,0,45,14,1,1,68,0,0,1,0,下位,0,68,66
534,534,0,168,261,1,2,952,0,0,1,0,下位,0,884,66
60,60,0,73,154,0,0,0,1486,313,-1951,3,下位,0,0,0
234,234,0,73,154,0,1,60,1486,313,-1951,3,下位,0,60,206
342,342,0,73,154,0,2,294,1486,313,-1951,3,下位,0,234,206
256,256,0,347,705,0,3,636,1486,313,-1951,3,下位,0,342,206
317,317,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
564,564,0,45,14,1,1,317,0,0,1,0,下位,0,317,66
458,458,0,73,154,1,2,881,0,0,1,0,下位,0,564,66
279,279,0,97,202,1,3,1339,0,0,1,0,下位,0,458,206
733,733,0,45,14,0,0,0,1618,254,-2017,1,下位,0,0,0
346,346,0,45,14,0,1,733,1618,254,-2017,1,下位,0,733,66
109,109,0,177,656,0,2,1079,1618,254,-2017,1,下位,0,346,66
162,162,0,115,358,0,0,0,1188,708,-3093,1,下位,0,0,0
177,177,0,229,747,0,0,0,162,410,-2944,1,下位,0,0,0
209,209,0,895,2950,0,0,0,177,799,-2430,3,下位,0,0,0
91,91,0,293,827,0,0,0,209,3002,235,15,下位,0,0,0
400,400,0,45,14,0,0,0,91,879,967,3,下位,0,0,0
393,393,0,357,686,0,1,400,91,879,967,3,下位,0,400,66
214,214,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
648,648,0,73,154,1,1,214,0,0,1,0,下位,0,214,66
349,349,0,648,2223,1,2,862,0,0,1,0,下位,0,648,206
410,410,0,65,56,0,0,0,1211,2275,595,15,下位,0,0,0
183,183,0,73,154,0,0,0,410,108,42,1,下位,0,0,0
353,353,0,45,14,0,1,183,410,108,42,1,下位,0,183,206
189,189,0,267,684,0,2,536,410,108,42,1,下位,0,353,66
76,76,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
470,470,0,45,14,1,1,76,0,0,1,0,下位,0,76,66
158,158,0,179,653,1,2,546,0,0,1,0,下位,0,470,66
336,336,0,221,660,0,0,0,704,705,-298,1,下位,0,0,0
883,883,0,45,14,1,0,0,0,0,1,0,下位,0,0,0
201,201,0,178,469,1,1,883,0,0,1,0,下位,0,883,66
354,354,0,45,14,0,0,0,1084,521,-1160,1,下位,0,0,0
258,258,0,45,14,0,1,354,1084,521,-1160,1,下位,0,354,66
450,450,0,118,168,0,2,612,1084,521,-1160,1,下位,0,258,66
901,901,0,73,154,0,0,0,1062,220,-2521,1,下位,0,0,0
195,195,0,552,1795,0,1,901,1062,220,-2521,1,下位,0,901,206
79,79,0,73,154,1,0,0,0,0,1,0,下位,0,0,0
99,99,0,123,247,1,1,79,0,0,1,0,下位,0,79,206
71,71,0,45,14,0,0,0,178,299,219,2,下位,0,0,0
231,231,0,73,154,0,1,71,178,299,219,2,下位,0,71,66
