REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
614,614,0,406,1114,1,0,0,0,0,1,0,下位,0,0,0
486,486,0,677,1101,0,0,0,614,1244,248,2,下位,0,0,0
257,257,0,604,877,0,0,0,486,1231,690,9,下位,0,0,0
204,204,0,262,165,0,0,0,257,1007,1280,7,下位,0,0,0
112,112,0,164,123,0,0,0,204,295,1244,2,下位,0,0,0
223,223,0,333,563,0,0,0,112,253,1315,1,下位,0,0,0
118,118,0,163,-12,0,0,0,223,693,1646,4,下位,0,0,0
277,277,0,193,134,1,0,0,0,0,1,0,下位,0,0,0
126,126,0,217,341,0,0,0,277,264,-185,1,下位,0,0,0
553,553,0,192,329,0,0,0,126,471,81,2,下位,0,0,0
227,227,0,338,566,0,0,0,553,459,-358,2,下位,0,0,0
58,58,0,442,598,1,0,0,0,0,1,0,下位,0,0,0
327,327,0,192,23,0,0,0,58,728,635,6,下位,0,0,0
110,110,0,166,105,0,0,0,327,153,257,1,下位,0,0,0
135,135,0,279,314,0,0,0,110,235,313,2,下位,0,0,0
352,352,0,194,272,0,0,0,135,444,538,4,下位,0,0,0
127,127,0,372,467,0,0,0,352,402,369,2,下位,0,0,0
405,405,0,97,-14,0,0,0,127,597,760,5,下位,0,0,0
151,151,0,91,-55,0,1,405,127,597,760,5,下位,0,405,116
334,334,0,128,189,0,2,556,127,597,760,5,下位,0,151,75
113,113,0,270,250,0,0,0,890,319,-174,1,下位,0,0,0
199,199,0,99,-1,0,0,0,113,380,23,3,下位,0,0,0
525,525,0,268,216,0,1,199,113,380,23,3,下位,0,199,129
184,184,0,374,486,1,0,0,0,0,1,0,下位,0,0,0
343,343,0,749,2486,1,0,0,0,0,1,0,下位,0,0,0
334,334,0,624,1323,0,0,0,343,2616,2060,10,下位,0,0,0
205,205,0,426,522,0,0,0,334,1453,691,8,下位,0,0,0
493,493,0,258,360,0,0,0,205,652,1010,5,下位,0,0,0
695,695,0,331,347,0,0,0,493,490,700,3,下位,0,0,0
184,184,0,211,-39,0,0,0,695,477,49,5,下位,0,0,0
328,328,0,97,-15,0,0,0,184,91,-159,1,下位,0,0,0
87,87,0,94,-39,1,0,0,0,0,1,0,下位,0,0,0
342,342,0,274,233,1,1,87,0,0,1,0,下位,0,87,91
444,444,0,226,115,0,0,0,429,363,-241,2,下位,0,0,0
166,166,0,95,-29,0,0,0,444,245,-717,3,下位,0,0,0
313,313,0,174,286,0,1,166,444,245,-717,3,下位,0,166,101
402,402,0,164,-61,0,0,0,479,416,-977,2,下位,0,0,0
327,327,0,255,280,0,0,0,402,69,-1561,1,下位,0,0,0
642,642,0,211,260,0,0,0,327,410,-1682,3,下位,0,0,0
279,279,0,172,263,0,0,0,642,390,-2334,3,下位,0,0,0
400,400,0,462,1101,1,0,0,0,0,1,0,下位,0,0,0
158,158,0,97,-15,0,0,0,400,1231,583,6,下位,0,0,0
344,344,0,577,1012,0,1,158,400,1231,583,6,下位,0,158,115
480,480,0,395,803,0,0,0,502,1142,1026,7,下位,0,0,0
649,649,0,280,344,0,0,0,480,933,1180,6,下位,0,0,0
473,473,0,479,621,0,0,0,649,474,600,4,下位,0,0,0
330,330,0,206,247,0,0,0,473,751,583,7,下位,0,0,0
115,115,0,104,30,0,0,0,330,377,424,2,下位,0,0,0
332,332,0,110,68,0,0,0,115,160,397,1,下位,0,0,0
113,113,0,191,226,0,0,0,332,198,56,1,下位,0,0,0
170,170,0,357,578,0,0,0,113,356,229,2,下位,0,0,0
184,184,0,93,-41,1,0,0,0,0,1,0,下位,0,0,0
475,475,0,97,-17,1,1,184,0,0,1,0,下位,0,184,89
210,210,0,95,-29,1,2,659,0,0,1,0,下位,0,475,113
505,505,0,106,41,1,3,869,0,0,1,0,下位,0,210,101
337,337,0,509,819,0,0,0,1374,171,-1756,1,下位,0,0,0
234,234,0,346,727,1,0,0,0,0,1,0,下位,0,0,0
176,176,0,97,-17,0,0,0,234,857,478,5,下位,0,0,0
426,426,0,183,252,1,0,0,0,0,1,0,下位,0,0,0
181,181,0,90,-65,0,0,0,426,382,-309,2,下位,0,0,0
118,118,0,99,-1,0,1,181,426,382,-309,2,下位,0,181,65
332,332,0,99,-1,0,2,299,426,382,-309,2,下位,0,118,129
206,206,0,471,615,1,0,0,0,0,1,0,下位,0,0,0
131,131,0,99,-1,0,0,0,206,745,412,6,下位,0,0,0
419,419,0,125,0,0,1,131,206,745,412,6,下位,0,131,129
106,106,0,328,63,1,0,0,0,0,1,0,下位,0,0,0
507,507,0,95,-29,0,0,0,106,193,22,4,下位,0,0,0
249,249,0,89,-69,0,1,507,106,193,22,4,下位,0,507,101
184,184,0,290,580,0,2,756,106,193,22,4,下位,0,249,61
375,375,0,199,10,1,0,0,0,0,1,0,下位,0,0,0
753,753,0,362,622,0,0,0,375,140,-468,1,下位,0,0,0
515,515,0,93,-41,0,0,0,753,752,-938,6,下位,0,0,0
339,339,0,372,704,1,0,0,0,0,1,0,下位,0,0,0
336,336,0,303,176,0,0,0,339,834,285,5,下位,0,0,0
346,346,0,87,-81,0,0,0,336,306,46,3,下位,0,0,0
462,462,0,172,268,0,1,346,336,306,46,3,下位,0,346,49
108,108,0,111,75,0,0,0,808,398,-819,2,下位,0,0,0
183,183,0,439,661,0,0,0,108,205,-789,1,下位,0,0,0
258,258,0,304,169,1,0,0,0,0,1,0,下位,0,0,0
45,45,0,277,352,1,0,0,0,0,1,0,下位,0,0,0
619,619,0,267,193,0,0,0,45,482,410,4,下位,0,0,0
329,329,0,96,-25,0,0,0,619,323,-272,2,下位,0,0,0
383,383,0,476,445,0,1,329,619,323,-272,2,下位,0,329,105
122,122,0,170,59,0,0,0,712,575,-748,5,下位,0,0,0
303,303,0,89,-69,1,0,0,0,0,1,0,下位,0,0,0
388,388,0,545,545,1,1,303,0,0,1,0,下位,0,303,61
599,599,0,301,635,0,0,0,691,675,-385,6,下位,0,0,0
144,144,0,114,99,0,0,0,599,765,-592,5,下位,0,0,0
92,92,0,122,151,1,0,0,0,0,1,0,下位,0,0,0
162,162,0,226,366,0,0,0,92,281,133,1,下位,0,0,0
330,330,0,979,3855,0,0,0,162,496,366,3,下位,0,0,0
204,204,0,192,339,0,0,0,330,3985,1556,12,下位,0,0,0
228,228,0,436,835,0,0,0,204,469,1694,2,下位,0,0,0
287,287,0,93,-43,0,0,0,228,965,2289,6,下位,0,0,0
334,334,0,96,-25,0,1,287,228,965,2289,6,下位,0,287,87
808,808,0,101,11,0,2,621,228,965,2289,6,下位,0,334,105
179,179,0,465,683,0,3,1429,228,965,2289,6,下位,0,808,141
126,126,0,435,461,1,0,0,0,0,1,0,下位,0,0,0
341,341,0,192,396,0,0,0,126,591,387,6,下位,0,0,0
105,105,0,177,160,0,0,0,341,526,359,2,下位,0,0,0
340,340,0,116,113,0,0,0,105,290,479,2,下位,0,0,0
334,334,0,91,-55,0,0,0,340,243,170,1,下位,0,0,0
338,338,0,400,457,0,1,334,340,243,170,1,下位,0,334,75
433,433,0,101,11,0,0,0,672,587,-259,5,下位,0,0,0
146,146,0,504,609,0,1,433,672,587,-259,5,下位,0,433,141
337,337,0,460,505,0,0,0,579,739,-319,6,下位,0,0,0
415,415,0,95,-29,0,0,0,337,635,-231,6,下位,0,0,0
104,104,0,414,393,0,1,415,337,635,-231,6,下位,0,415,101
265,265,0,221,100,1,0,0,0,0,1,0,下位,0,0,0
124,124,0,657,1025,0,0,0,265,230,-199,1,下位,0,0,0
181,181,0,181,112,0,0,0,124,1155,755,11,下位,0,0,0
100,100,0,229,206,0,0,0,181,242,703,1,下位,0,0,0
196,196,0,324,241,0,0,0,100,336,877,2,下位,0,0,0
638,638,0,418,768,0,0,0,196,371,930,4,下位,0,0,0
271,271,0,108,57,0,0,0,638,898,792,6,下位,0,0,0
100,100,0,114,97,0,0,0,271,187,539,1,下位,0,0,0
189,189,0,93,-41,1,0,0,0,0,1,0,下位,0,0,0
355,355,0,91,-59,1,1,189,0,0,1,0,下位,0,189,89
305,305,0,414,665,1,2,544,0,0,1,0,下位,0,355,71
380,380,0,99,-3,1,0,0,0,0,1,0,下位,0,0,0
147,147,0,286,400,1,1,380,0,0,1,0,下位,0,380,127
137,137,0,200,-116,0,0,0,527,530,-198,4,下位,0,0,0
327,327,0,99,-3,0,0,0,137,14,-406,1,下位,0,0,0
476,476,0,151,249,0,1,327,137,14,-406,1,下位,0,327,127
164,164,0,214,186,0,0,0,803,379,-1204,2,下位,0,0,0
83,83,0,326,409,1,0,0,0,0,1,0,下位,0,0,0
109,109,0,647,2129,0,0,0,83,539,405,2,下位,0,0,0
126,126,0,99,-3,0,0,0,109,2259,266,7,下位,0,0,0
362,362,0,334,261,0,1,126,109,2259,266,7,下位,0,126,127
570,570,0,455,344,0,0,0,488,391,-9,5,下位,0,0,0
331,331,0,544,838,0,0,0,570,474,-460,4,下位,0,0,0
187,187,0,624,464,0,0,0,331,968,-29,10,下位,0,0,0
107,107,0,201,61,0,0,0,187,594,261,7,下位,0,0,0
427,427,0,761,3190,0,0,0,107,191,278,1,下位,0,0,0
919,919,0,285,517,0,0,0,427,3320,204,8,下位,0,0,0
150,150,0,256,344,1,0,0,0,0,1,0,下位,0,0,0
126,126,0,222,271,0,0,0,150,474,231,4,下位,0,0,0
230,230,0,87,-83,0,0,0,126,401,427,2,下位,0,0,0
346,346,0,109,65,0,1,230,126,401,427,2,下位,0,230,47
124,124,0,739,1130,0,0,0,576,195,-266,1,下位,0,0,0
765,765,0,200,224,0,0,0,124,1260,793,11,下位,0,0,0
110,110,0,354,518,0,0,0,765,354,-95,2,下位,0,0,0
339,339,0,91,-55,0,0,0,110,648,374,5,下位,0,0,0
215,215,0,114,101,0,1,339,110,648,374,5,下位,0,339,75
197,197,0,93,-43,0,0,0,554,231,-219,1,下位,0,0,0
484,484,0,116,45,0,1,197,554,231,-219,1,下位,0,197,87
329,329,0,533,754,0,0,0,681,175,-1063,1,下位,0,0,0
348,348,0,512,876,0,0,0,329,884,-713,7,下位,0,0,0
118,118,0,128,193,0,0,0,348,1006,-272,8,下位,0,0,0
106,106,0,587,980,1,0,0,0,0,1,0,下位,0,0,0
850,850,0,193,149,0,0,0,106,1110,939,7,下位,0,0,0
140,140,0,137,158,0,0,0,850,279,-162,2,下位,0,0,0
144,144,0,92,-51,0,0,0,140,288,-101,2,下位,0,0,0
479,479,0,100,1,0,1,144,140,288,-101,2,下位,0,144,79
211,211,0,100,1,0,2,623,140,288,-101,2,下位,0,479,131
486,486,0,91,-57,0,3,834,140,288,-101,2,下位,0,211,131
319,319,0,91,-59,1,0,0,0,0,1,0,下位,0,0,0
208,208,0,262,414,1,1,319,0,0,1,0,下位,0,319,71
505,505,0,107,53,0,0,0,527,544,-240,4,下位,0,0,0
916,916,0,117,121,0,0,0,505,183,-877,1,下位,0,0,0
114,114,0,263,300,0,0,0,916,251,-2113,1,下位,0,0,0
314,314,0,128,191,1,0,0,0,0,1,0,下位,0,0,0
289,289,0,456,752,0,0,0,314,321,-188,1,下位,0,0,0
269,269,0,396,341,0,0,0,289,882,225,7,下位,0,0,0
213,213,0,93,-41,0,0,0,269,471,259,4,下位,0,0,0
341,341,0,228,144,0,1,213,269,471,259,4,下位,0,213,89
338,338,0,199,-23,0,0,0,554,274,-278,2,下位,0,0,0
162,162,0,499,566,1,0,0,0,0,1,0,下位,0,0,0
614,614,0,97,-15,1,0,0,0,0,1,0,下位,0,0,0
474,474,0,434,525,1,1,614,0,0,1,0,下位,0,614,115
490,490,0,406,493,0,0,0,1088,655,-995,5,下位,0,0,0
181,181,0,377,478,0,0,0,490,623,-1167,5,下位,0,0,0
406,406,0,93,-41,0,0,0,181,608,-853,5,下位,0,0,0
468,468,0,93,-43,0,1,406,181,608,-853,5,下位,0,406,89
289,289,0,374,589,0,2,874,181,608,-853,5,下位,0,468,87
195,195,0,123,70,0,0,0,1163,719,-1846,4,下位,0,0,0
192,192,0,764,931,0,0,0,195,200,-1963,1,下位,0,0,0
618,618,0,106,41,1,0,0,0,0,1,0,下位,0,0,0
135,135,0,118,123,0,0,0,618,171,-831,1,下位,0,0,0
144,144,0,179,244,0,0,0,135,253,-797,1,下位,0,0,0
270,270,0,671,1198,0,0,0,144,374,-657,1,下位,0,0,0
170,170,0,159,52,0,0,0,270,1328,233,10,下位,0,0,0
625,625,0,111,79,0,0,0,170,182,139,1,下位,0,0,0
109,109,0,296,220,0,0,0,625,209,-667,1,下位,0,0,0
438,438,0,165,50,1,0,0,0,0,1,0,下位,0,0,0
317,317,0,102,15,0,0,0,438,180,-530,1,下位,0,0,0
109,109,0,98,-11,0,1,317,438,180,-530,1,下位,0,317,145
334,334,0,97,-13,0,2,426,438,180,-530,1,下位,0,109,119
402,402,0,106,41,0,3,760,438,180,-530,1,下位,0,334,117
