REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
448,448,0,79,297,1,0,0,0,0,1,0,下位,0
561,561,0,80,301,0,0,0,448,346,-380,1,下位,0
592,592,0,184,1022,0,0,0,561,350,-941,4,下位,0
871,871,0,66,203,0,0,0,592,1071,-831,5,下位,0
242,242,0,75,264,0,0,0,871,252,-1993,1,下位,0
851,851,0,74,262,0,0,0,242,313,-2073,1,下位,0
1286,1286,0,73,250,0,0,0,851,311,-3143,1,下位,0
378,378,0,147,501,0,0,0,1286,299,-4932,1,下位,0
110,110,0,81,309,0,0,0,378,550,-4996,2,下位,0
800,800,0,76,275,0,0,0,110,358,-4817,1,下位,0
117,117,0,90,372,0,0,0,800,324,-5792,1,下位,0
205,205,0,82,315,0,0,0,117,421,-5561,1,下位,0
1361,1361,0,92,383,0,0,0,205,364,-5530,1,下位,0
682,682,0,144,697,0,0,0,1361,432,-7307,1,下位,0
912,912,0,195,1041,1,0,0,0,0,1,0,下位,0
335,335,0,1178,6550,0,0,0,912,1090,-390,3,下位,0
225,225,0,88,358,0,0,0,335,6599,2123,19,下位,0
1349,1349,0,142,704,0,0,0,225,407,2165,1,下位,0
1288,1288,0,204,1067,0,0,0,1349,753,728,2,下位,0
1228,1228,0,85,339,0,0,0,1288,1116,-247,3,下位,0
267,267,0,83,319,0,0,0,1228,388,-1853,1,下位,0
512,512,0,86,343,0,0,0,267,368,-1918,1,下位,0
695,695,0,147,716,0,0,0,512,392,-2357,1,下位,0
504,504,0,91,378,1,0,0,0,0,1,0,下位,0
529,529,0,260,1409,0,0,0,504,427,-390,1,下位,0
990,990,0,82,313,0,0,0,529,1458,209,4,下位,0
234,234,0,75,263,0,0,0,990,362,-1036,1,下位,0
220,220,0,83,322,0,0,0,234,312,-1104,1,下位,0
1088,1088,0,69,226,0,0,0,220,371,-1090,1,下位,0
619,619,0,88,357,0,0,0,1088,275,-2581,1,下位,0
1091,1091,0,89,363,0,0,0,619,406,-3180,1,下位,0
790,790,0,73,250,0,0,0,1091,412,-4539,1,下位,0
231,231,0,76,270,0,0,0,790,299,-5522,1,下位,0
314,314,0,82,318,0,0,0,231,319,-5578,1,下位,0
406,406,0,95,408,0,0,0,314,367,-5721,1,下位,0
599,599,0,72,246,1,0,0,0,0,1,0,下位,0
1494,1494,0,243,1332,0,0,0,599,295,-676,1,下位,0
778,778,0,77,281,0,0,0,1494,1381,-1720,4,下位,0
1497,1497,0,456,2362,0,0,0,778,330,-2653,1,下位,0
1227,1227,0,79,294,0,0,0,1497,2411,-2672,7,下位,0
941,941,0,144,695,0,0,0,1227,343,-4321,1,下位,0
1342,1342,0,197,1131,0,0,0,941,744,-5105,2,下位,0
177,177,0,294,1742,1,0,0,0,0,1,0,下位,0
170,170,0,79,295,0,0,0,177,1791,1505,21,下位,0
501,501,0,630,3673,0,0,0,170,344,1573,1,下位,0
694,694,0,85,334,0,0,0,501,3722,1020,11,下位,0
50,50,0,74,257,0,0,0,694,383,276,1,下位,0
167,167,0,82,313,0,0,0,50,306,501,1,下位,0
129,129,0,82,315,0,0,0,167,362,592,1,下位,0
284,284,0,88,355,0,0,0,129,364,747,1,下位,0
974,974,0,85,336,0,0,0,284,404,690,1,下位,0
240,240,0,142,714,0,0,0,974,385,-506,1,下位,0
295,295,0,81,311,0,0,0,240,763,-133,2,下位,0
264,264,0,83,323,0,0,0,295,360,-252,1,下位,0
