REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
498,498,0,124,296,1,0,0,0,0,1,0,下位,0
116,116,0,319,787,0,0,0,498,296,-481,4,下位,0
116,116,0,46,111,0,0,0,116,787,125,5,下位,0
794,794,0,42,102,0,0,0,116,111,55,2,下位,0
199,199,0,179,441,0,0,0,794,102,-1084,2,下位,0
184,184,0,106,257,0,0,0,199,441,-954,5,下位,0
121,121,0,239,592,0,0,0,184,257,-984,3,下位,0
567,567,0,75,183,0,0,0,121,592,-581,2,下位,0
705,705,0,699,1593,0,0,0,567,183,-1284,3,下位,0
230,230,0,270,665,0,0,0,705,1593,-793,14,下位,0
631,631,0,96,236,0,0,0,230,665,-487,5,下位,0
20,20,0,31,74,0,0,0,631,236,-1237,3,下位,0
681,681,0,70,170,0,0,0,20,74,-1194,2,下位,0
99,99,0,107,257,0,0,0,681,170,-2088,2,下位,0
396,396,0,245,588,0,0,0,99,257,-1986,3,下位,0
121,121,0,100,239,0,0,0,396,588,-2017,6,下位,0
405,405,0,10,25,0,0,0,121,239,-1967,3,下位,0
18,18,0,86,207,1,0,0,0,0,1,0,下位,0
19,19,0,95,229,0,0,0,18,207,180,3,下位,0
114,114,0,250,532,0,0,0,19,229,379,3,下位,0
273,273,0,118,287,0,0,0,114,532,165,4,上位,0
726,726,0,218,532,0,0,0,273,287,25,3,下位,0
386,386,0,161,389,0,0,0,726,532,-577,4,下位,0
100,100,0,135,324,0,0,0,386,389,-791,4,下位,0
378,378,0,55,132,0,0,0,100,324,-623,4,下位,0
307,307,0,49,113,0,0,0,378,132,-1082,2,下位,0
372,372,0,68,166,0,0,0,307,113,-1449,3,下位,0
642,642,0,98,241,0,0,0,372,166,-1864,2,下位,0
343,343,0,85,206,0,0,0,642,241,-2626,3,下位,0
514,514,0,158,380,0,0,0,343,206,-2956,3,下位,0
83,83,0,326,797,0,0,0,514,380,-3379,4,下位,0
213,213,0,43,102,0,0,0,83,797,-2712,5,下位,0
130,130,0,44,106,0,0,0,213,102,-2943,2,下位,0
131,131,0,35,83,0,0,0,130,106,-3040,2,下位,0
797,797,0,109,268,0,0,0,131,83,-3162,2,下位,0
75,75,0,157,380,0,0,0,797,268,-4139,3,下位,0
