REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
1454,508,480,345,807,1,0,0,0,0,1,0,下位,0
946,350,420,345,807,1,1,508,0,0,1,0,下位,0
596,54,362,345,807,1,2,858,0,0,1,0,下位,0
542,91,304,345,807,1,3,912,0,0,1,0,下位,0
451,52,244,345,807,1,4,1003,0,0,1,0,下位,0
399,129,184,345,807,1,5,1055,0,0,1,0,下位,0
270,60,124,345,807,1,6,1184,0,0,1,0,下位,0
210,105,63,345,807,1,7,1244,0,0,1,0,下位,0
105,105,0,345,807,1,8,1349,0,0,1,0,下位,0
318,281,60,358,772,0,0,0,1454,863,-675,4,下位,0
37,37,0,358,772,0,1,281,1454,863,-675,4,下位,0
328,328,0,695,1728,0,0,0,318,828,-228,4,下位,0
694,128,337,319,730,1,0,0,0,0,1,0,下位,0
566,78,283,319,730,1,1,128,0,0,1,0,下位,0
488,98,232,319,730,1,2,206,0,0,1,0,下位,0
390,74,171,319,730,1,3,304,0,0,1,0,下位,0
316,107,111,319,730,1,4,378,0,0,1,0,下位,0
209,44,60,319,730,1,5,485,0,0,1,0,下位,0
165,165,0,319,730,1,6,529,0,0,1,0,下位,0
141,141,0,323,612,0,0,0,694,786,160,3,下位,0
424,125,61,248,548,0,0,0,141,668,632,4,下位,0
299,299,0,248,548,0,1,125,141,668,632,4,下位,0
549,252,116,268,595,0,0,0,424,604,708,2,下位,0
297,49,56,268,595,0,1,252,424,604,708,2,下位,0
248,248,0,268,595,0,2,301,424,604,708,2,下位,0
328,36,284,470,1187,0,0,0,549,651,713,3,下位,0
292,39,226,470,1187,0,1,36,549,651,713,3,下位,0
253,41,172,470,1187,0,2,75,549,651,713,3,下位,0
212,65,112,470,1187,0,3,116,549,651,713,3,下位,0
147,67,54,470,1187,0,4,181,549,651,713,3,下位,0
80,80,0,470,1187,0,5,248,549,651,713,3,下位,0
288,80,122,383,922,0,0,0,328,1243,1785,6,下位,0
208,57,61,383,922,0,1,80,328,1243,1785,6,下位,0
151,151,0,383,922,0,2,137,328,1243,1785,6,下位,0
955,220,119,247,543,0,0,0,288,978,196,4,下位,0
735,336,63,247,543,0,1,220,288,978,196,4,下位,0
399,399,0,247,543,0,2,556,288,978,196,4,下位,0
528,376,58,242,533,0,0,0,955,599,-413,2,下位,0
152,152,0,242,533,0,1,376,955,599,-413,2,下位,0
53,13,54,246,542,1,0,0,0,0,1,0,下位,0
40,40,0,246,542,1,1,13,0,0,1,0,下位,0
710,160,179,469,1185,0,0,0,53,598,579,2,下位,0
550,205,119,469,1185,0,1,160,53,598,579,2,下位,0
345,61,58,469,1185,0,2,365,53,598,579,2,下位,0
284,284,0,469,1185,0,3,426,53,598,579,2,下位,0
598,449,121,269,596,0,0,0,710,1241,1013,6,下位,0
149,39,60,269,596,0,1,449,710,1241,1013,6,下位,0
110,110,0,269,596,0,2,488,710,1241,1013,6,下位,0
611,88,179,246,542,0,0,0,598,652,955,3,下位,0
523,186,116,246,542,0,1,88,598,652,955,3,下位,0
337,205,60,246,542,0,2,274,598,652,955,3,下位,0
132,132,0,246,542,0,3,479,598,652,955,3,下位,0
2357,44,541,313,736,0,0,0,611,598,884,2,下位,0
2313,486,485,313,736,0,1,44,611,598,884,2,下位,0
1827,176,422,313,736,0,2,530,611,598,884,2,下位,0
1651,133,362,313,736,0,3,706,611,598,884,2,下位,0
1518,147,301,313,736,0,4,839,611,598,884,2,下位,0
1371,330,243,313,736,0,5,986,611,598,884,2,下位,0
1041,299,183,313,736,0,6,1316,611,598,884,2,下位,0
742,352,117,313,736,0,7,1615,611,598,884,2,下位,0
390,255,61,313,736,0,8,1967,611,598,884,2,下位,0
135,135,0,313,736,0,9,2222,611,598,884,2,下位,0
715,481,62,242,530,1,0,0,0,0,1,0,下位,0
234,234,0,242,530,1,1,481,0,0,1,0,下位,0
343,53,120,253,561,0,0,0,715,586,-344,2,下位,0
290,35,60,253,561,0,1,53,715,586,-344,2,下位,0
255,255,0,253,561,0,2,88,715,586,-344,2,下位,0
128,128,0,248,546,0,0,0,343,617,-84,2,下位,0
460,115,118,311,727,1,0,0,0,0,1,0,下位,0
345,258,58,311,727,1,1,115,0,0,1,0,下位,0
