REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
508,508,0,61,4,1,0,0,0,0,1,0,下位,0,0,0
350,350,0,60,2,1,1,508,0,0,1,0,下位,0,508,60
54,54,0,60,2,1,2,858,0,0,1,0,下位,0,350,58
91,91,0,61,4,1,3,912,0,0,1,0,下位,0,54,58
52,52,0,61,4,1,4,1003,0,0,1,0,下位,0,91,60
129,129,0,61,4,1,5,1055,0,0,1,0,下位,0,52,60
60,60,0,61,5,1,6,1184,0,0,1,0,下位,0,129,60
105,105,0,62,7,1,7,1244,0,0,1,0,下位,0,60,61
105,105,0,345,807,1,8,1349,0,0,1,0,下位,0,105,63
281,281,0,61,4,0,0,0,1454,863,-675,4,下位,0,0,0
37,37,0,358,772,0,1,281,1454,863,-675,4,下位,0,281,60
328,328,0,695,1728,0,0,0,318,828,-228,4,下位,0,0,0
128,128,0,59,-2,1,0,0,0,0,1,0,下位,0,0,0
78,78,0,58,-5,1,1,128,0,0,1,0,下位,0,128,54
98,98,0,61,5,1,2,206,0,0,1,0,下位,0,78,51
74,74,0,61,4,1,3,304,0,0,1,0,下位,0,98,61
107,107,0,58,-5,1,4,378,0,0,1,0,下位,0,74,60
44,44,0,61,4,1,5,485,0,0,1,0,下位,0,107,51
165,165,0,319,730,1,6,529,0,0,1,0,下位,0,44,60
141,141,0,323,612,0,0,0,694,786,160,3,下位,0,0,0
125,125,0,61,5,0,0,0,141,668,632,4,下位,0,0,0
299,299,0,248,548,0,1,125,141,668,632,4,下位,0,125,61
252,252,0,61,4,0,0,0,424,604,708,2,下位,0,0,0
49,49,0,59,0,0,1,252,424,604,708,2,下位,0,252,60
248,248,0,268,595,0,2,301,424,604,708,2,下位,0,49,56
36,36,0,60,2,0,0,0,549,651,713,3,下位,0,0,0
39,39,0,59,-2,0,1,36,549,651,713,3,下位,0,36,58
41,41,0,61,4,0,2,75,549,651,713,3,下位,0,39,54
65,65,0,60,2,0,3,116,549,651,713,3,下位,0,41,60
67,67,0,59,-2,0,4,181,549,651,713,3,下位,0,65,58
80,80,0,470,1187,0,5,248,549,651,713,3,下位,0,67,54
80,80,0,61,5,0,0,0,328,1243,1785,6,下位,0,0,0
57,57,0,61,5,0,1,80,328,1243,1785,6,下位,0,80,61
151,151,0,383,922,0,2,137,328,1243,1785,6,下位,0,57,61
220,220,0,59,0,0,0,0,288,978,196,4,下位,0,0,0
336,336,0,62,7,0,1,220,288,978,196,4,下位,0,220,56
399,399,0,247,543,0,2,556,288,978,196,4,下位,0,336,63
376,376,0,60,2,0,0,0,955,599,-413,2,下位,0,0,0
152,152,0,242,533,0,1,376,955,599,-413,2,下位,0,376,58
13,13,0,59,-2,1,0,0,0,0,1,0,下位,0,0,0
40,40,0,246,542,1,1,13,0,0,1,0,下位,0,13,54
160,160,0,61,4,0,0,0,53,598,579,2,下位,0,0,0
205,205,0,61,5,0,1,160,53,598,579,2,下位,0,160,60
61,61,0,60,2,0,2,365,53,598,579,2,下位,0,205,61
284,284,0,469,1185,0,3,426,53,598,579,2,下位,0,61,58
449,449,0,61,5,0,0,0,710,1241,1013,6,下位,0,0,0
39,39,0,61,4,0,1,449,710,1241,1013,6,下位,0,449,61
110,110,0,269,596,0,2,488,710,1241,1013,6,下位,0,39,60
88,88,0,62,7,0,0,0,598,652,955,3,下位,0,0,0
186,186,0,59,0,0,1,88,598,652,955,3,下位,0,88,63
205,205,0,61,4,0,2,274,598,652,955,3,下位,0,186,56
132,132,0,246,542,0,3,479,598,652,955,3,下位,0,205,60
44,44,0,59,0,0,0,0,611,598,884,2,下位,0,0,0
486,486,0,62,7,0,1,44,611,598,884,2,下位,0,44,56
176,176,0,61,4,0,2,530,611,598,884,2,下位,0,486,63
133,133,0,61,5,0,3,706,611,598,884,2,下位,0,176,60
147,147,0,60,2,0,4,839,611,598,884,2,下位,0,133,61
330,330,0,61,4,0,5,986,611,598,884,2,下位,0,147,58
299,299,0,63,10,0,6,1316,611,598,884,2,下位,0,330,60
352,352,0,59,0,0,7,1615,611,598,884,2,下位,0,299,66
255,255,0,61,5,0,8,1967,611,598,884,2,下位,0,352,56
135,135,0,313,736,0,9,2222,611,598,884,2,下位,0,255,61
