REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
1438,496,389,350,778,1,0,0,0,0,1,0,下位,0,0,0
942,203,173,350,778,1,1,496,0,0,1,0,下位,0,496,216
739,185,83,350,778,1,2,699,0,0,1,0,下位,0,203,90
554,554,0,350,778,1,3,884,0,0,1,0,下位,0,185,83
3076,213,1050,453,1054,0,0,0,1438,839,-950,3,下位,0,0,0
2863,526,837,453,1054,0,1,213,1438,839,-950,3,下位,0,213,213
2337,808,624,453,1054,0,2,739,1438,839,-950,3,下位,0,526,213
1529,399,537,453,1054,0,3,1547,1438,839,-950,3,下位,0,808,87
1130,281,446,453,1054,0,4,1946,1438,839,-950,3,下位,0,399,91
849,163,238,453,1054,0,5,2227,1438,839,-950,3,下位,0,281,208
686,104,167,453,1054,0,6,2390,1438,839,-950,3,下位,0,163,71
582,419,83,453,1054,0,7,2494,1438,839,-950,3,下位,0,104,84
163,163,0,453,1054,0,8,2913,1438,839,-950,3,下位,0,419,83
403,36,83,402,764,1,0,0,0,0,1,0,下位,0,0,0
367,367,0,402,764,1,1,36,0,0,1,0,下位,0,36,83
1675,47,672,370,682,0,0,0,403,825,298,5,下位,0,0,0
1628,808,586,370,682,0,1,47,403,825,298,5,下位,0,47,86
820,220,500,370,682,0,2,855,403,825,298,5,下位,0,808,86
600,358,414,370,682,0,3,1075,403,825,298,5,下位,0,220,86
242,132,209,370,682,0,4,1433,403,825,298,5,下位,0,358,205
110,110,0,370,682,0,5,1565,403,825,298,5,下位,0,132,209
993,476,214,421,796,1,0,0,0,0,1,0,下位,0,0,0
517,517,0,421,796,1,1,476,0,0,1,0,下位,0,476,214
276,276,0,809,1769,0,0,0,993,857,-432,4,下位,0,0,0
162,162,0,277,555,0,0,0,276,1830,980,10,下位,0,0,0
240,168,85,190,363,0,0,0,162,616,1351,2,下位,0,0,0
72,72,0,190,363,0,1,168,162,616,1351,2,下位,0,168,85
713,200,517,462,861,1,0,0,0,0,1,0,下位,0,0,0
513,62,304,462,861,1,1,200,0,0,1,0,下位,0,200,213
451,177,217,462,861,1,2,262,0,0,1,0,下位,0,62,87
274,274,0,462,861,1,3,439,0,0,1,0,下位,0,177,217
1491,509,478,263,380,0,0,0,713,922,360,5,下位,0,0,0
982,320,391,263,380,0,1,509,713,922,360,5,下位,0,509,87
