REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
500,500,0,2324,5617,1,0,0,0,0,1,0,下位,0,0,0
510,510,0,523,888,0,0,0,500,5678,263,29,下位,0,0,0
234,234,0,112,156,1,0,0,0,0,1,0,下位,0,0,0
200,200,0,726,1306,1,1,234,0,0,1,0,下位,0,234,217
106,106,0,68,24,1,0,0,0,0,1,0,下位,0,0,0
267,267,0,270,490,1,1,106,0,0,1,0,下位,0,106,85
325,325,0,68,23,0,0,0,373,551,71,3,下位,0,0,0
363,363,0,70,29,0,1,325,373,551,71,3,下位,0,325,84
370,370,0,113,159,0,2,688,373,551,71,3,下位,0,363,90
228,228,0,112,156,0,3,1058,373,551,71,3,下位,0,370,220
100,100,0,114,162,0,4,1286,373,551,71,3,下位,0,228,217
185,185,0,490,1010,0,5,1386,373,551,71,3,下位,0,100,223
191,191,0,251,402,0,0,0,1571,1071,-404,5,下位,0,0,0
33,33,0,112,156,1,0,0,0,0,1,0,下位,0,0,0
624,624,0,68,22,1,1,33,0,0,1,0,下位,0,33,217
69,69,0,113,159,1,2,657,0,0,1,0,下位,0,624,83
808,808,0,111,152,1,3,726,0,0,1,0,下位,0,69,220
535,535,0,68,23,1,4,1534,0,0,1,0,下位,0,808,213
215,215,0,476,958,1,5,2069,0,0,1,0,下位,0,535,84
49,49,0,112,156,1,0,0,0,0,1,0,下位,0,0,0
760,760,0,113,157,1,1,49,0,0,1,0,下位,0,49,217
118,118,0,112,155,1,2,809,0,0,1,0,下位,0,760,218
115,115,0,70,29,1,3,927,0,0,1,0,下位,0,118,216
64,64,0,112,154,1,4,1042,0,0,1,0,下位,0,115,90
70,70,0,112,154,1,5,1106,0,0,1,0,下位,0,64,215
99,99,0,192,353,1,6,1176,0,0,1,0,下位,0,70,215
70,70,0,268,509,1,0,0,0,0,1,0,下位,0,0,0
356,356,0,113,159,0,0,0,70,570,465,3,下位,0,0,0
107,107,0,432,903,0,1,356,70,570,465,3,下位,0,356,220
95,95,0,187,364,1,0,0,0,0,1,0,下位,0,0,0
67,67,0,181,176,0,0,0,95,425,282,1,下位,0,0,0
69,69,0,838,1876,1,0,0,0,0,1,0,下位,0,0,0
25,25,0,69,26,1,0,0,0,0,1,0,下位,0,0,0
231,231,0,109,145,1,1,25,0,0,1,0,下位,0,25,87
192,192,0,716,1494,1,2,256,0,0,1,0,下位,0,231,206
445,445,0,224,436,0,0,0,448,1555,1170,10,下位,0,0,0
153,153,0,111,151,0,0,0,445,497,993,2,下位,0,0,0
291,291,0,68,24,0,1,153,445,497,993,2,下位,0,153,212
89,89,0,68,24,0,2,444,445,497,993,2,下位,0,291,85
187,187,0,68,24,0,3,533,445,497,993,2,下位,0,89,85
303,303,0,68,24,0,4,720,445,497,993,2,下位,0,187,85
209,209,0,111,152,0,5,1023,445,497,993,2,下位,0,303,85
664,664,0,111,152,0,6,1232,445,497,993,2,下位,0,209,213
416,416,0,145,229,0,7,1896,445,497,993,2,下位,0,664,213
29,29,0,305,608,1,0,0,0,0,1,0,下位,0,0,0
63,63,0,68,24,0,0,0,29,669,626,3,下位,0,0,0
149,149,0,69,26,0,1,63,29,669,626,3,下位,0,63,85
92,92,0,553,1120,0,2,212,29,669,626,3,下位,0,149,87
363,363,0,69,27,0,0,0,304,1181,1519,7,下位,0,0,0
81,81,0,112,155,0,1,363,304,1181,1519,7,下位,0,363,88
511,511,0,304,574,0,2,444,304,1181,1519,7,下位,0,81,216
124,124,0,112,156,1,0,0,0,0,1,0,下位,0,0,0
575,575,0,424,781,1,1,124,0,0,1,0,下位,0,124,217
362,362,0,111,152,0,0,0,699,842,1,4,下位,0,0,0
737,737,0,111,152,0,1,362,699,842,1,4,下位,0,362,213
64,64,0,355,691,0,2,1099,699,842,1,4,下位,0,737,213
501,501,0,112,155,1,0,0,0,0,1,0,下位,0,0,0
70,70,0,1835,3858,1,1,501,0,0,1,0,下位,0,501,216
172,172,0,68,24,0,0,0,571,3919,952,23,下位,0,0,0
159,159,0,112,154,0,1,172,571,3919,952,23,下位,0,172,85
413,413,0,112,155,0,2,331,571,3919,952,23,下位,0,159,215
381,381,0,68,22,0,3,744,571,3919,952,23,下位,0,413,216
390,390,0,68,24,0,4,1125,571,3919,952,23,下位,0,381,83
410,410,0,114,160,0,5,1515,571,3919,952,23,下位,0,390,85
279,279,0,69,26,0,6,1925,571,3919,952,23,下位,0,410,221
106,106,0,303,450,0,7,2204,571,3919,952,23,下位,0,279,87
36,36,0,111,153,1,0,0,0,0,1,0,下位,0,0,0
44,44,0,111,152,1,1,36,0,0,1,0,下位,0,36,214
57,57,0,112,154,1,2,80,0,0,1,0,下位,0,44,213
495,495,0,111,153,1,3,137,0,0,1,0,下位,0,57,215
90,90,0,486,880,1,4,632,0,0,1,0,下位,0,495,214
423,423,0,70,30,0,0,0,722,941,704,7,下位,0,0,0
84,84,0,1828,4172,0,1,423,722,941,704,7,下位,0,423,91
509,509,0,68,22,0,0,0,507,4233,1881,24,下位,0,0,0
322,322,0,657,1285,0,1,509,507,4233,1881,24,下位,0,509,83
240,240,0,69,25,1,0,0,0,0,1,0,下位,0,0,0
248,248,0,112,155,1,1,240,0,0,1,0,下位,0,240,86
679,679,0,69,26,1,2,488,0,0,1,0,下位,0,248,216
537,537,0,363,683,1,3,1167,0,0,1,0,下位,0,679,87
47,47,0,111,152,1,0,0,0,0,1,0,下位,0,0,0
287,287,0,113,157,1,1,47,0,0,1,0,下位,0,47,213
430,430,0,114,160,1,2,334,0,0,1,0,下位,0,287,218
488,488,0,630,1182,1,3,764,0,0,1,0,下位,0,430,221
258,258,0,958,1997,0,0,0,1252,1243,-1,8,下位,0,0,0
500,500,0,110,149,1,0,0,0,0,1,0,下位,0,0,0
391,391,0,109,145,1,1,500,0,0,1,0,下位,0,500,210
348,348,0,68,23,1,2,891,0,0,1,0,下位,0,391,206
141,141,0,110,149,1,3,1239,0,0,1,0,下位,0,348,84
83,83,0,108,144,1,4,1380,0,0,1,0,下位,0,141,210
202,202,0,113,157,1,5,1463,0,0,1,0,下位,0,83,205
118,118,0,1241,2659,1,6,1665,0,0,1,0,下位,0,202,218
142,142,0,70,30,0,0,0,1783,2720,1152,17,下位,0,0,0
80,80,0,443,845,0,1,142,1783,2720,1152,17,下位,0,142,91
65,65,0,110,149,0,0,0,222,906,1813,5,下位,0,0,0
194,194,0,811,1739,0,1,65,222,906,1813,5,下位,0,65,210
286,286,0,111,151,0,0,0,259,1800,1220,9,下位,0,0,0
513,513,0,109,147,0,1,286,259,1800,1220,9,下位,0,286,212
308,308,0,68,22,0,2,799,259,1800,1220,9,下位,0,513,208
595,595,0,107,140,0,3,1107,259,1800,1220,9,下位,0,308,83
474,474,0,68,23,0,4,1702,259,1800,1220,9,下位,0,595,201
67,67,0,514,1237,0,5,2176,259,1800,1220,9,下位,0,474,84
377,377,0,111,152,1,0,0,0,0,1,0,下位,0,0,0
274,274,0,108,142,1,1,377,0,0,1,0,下位,0,377,213
454,454,0,111,152,1,2,651,0,0,1,0,下位,0,274,203
403,403,0,107,139,1,3,1105,0,0,1,0,下位,0,454,213
139,139,0,109,146,1,4,1508,0,0,1,0,下位,0,403,200
45,45,0,429,845,1,5,1647,0,0,1,0,下位,0,139,207
133,133,0,68,23,0,0,0,1692,906,-621,5,下位,0,0,0
397,397,0,107,140,0,1,133,1692,906,-621,5,下位,0,133,84
67,67,0,107,141,0,2,530,1692,906,-621,5,下位,0,397,201
139,139,0,143,221,0,3,597,1692,906,-621,5,下位,0,67,202
179,179,0,108,144,1,0,0,0,0,1,0,下位,0,0,0
