REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
66,66,0,295,201,1,0,0,0,0,1,0,下位,0
124,124,0,111,-61,0,0,0,66,361,257,2,下位,0
233,233,0,142,213,0,1,124,66,361,257,2,下位,0
151,151,0,142,211,0,2,357,66,361,257,2,下位,0
263,263,0,111,-61,0,3,508,66,361,257,2,下位,0
342,342,0,305,827,0,4,771,66,361,257,2,下位,0
777,777,0,1020,3389,0,0,0,1113,987,409,2,下位,0
449,449,0,142,211,0,0,0,777,3549,463,12,下位,0
219,219,0,111,-61,0,1,449,777,3549,463,12,下位,0
149,149,0,142,209,0,2,668,777,3549,463,12,下位,0
331,331,0,111,-61,0,3,817,777,3549,463,12,下位,0
121,121,0,229,937,0,4,1148,777,3549,463,12,下位,0
373,373,0,142,211,0,0,0,1269,1097,471,2,下位,0
542,542,0,346,757,0,1,373,1269,1097,471,2,下位,0
153,153,0,141,205,0,0,0,915,917,297,2,下位,0
560,560,0,143,215,0,1,153,915,917,297,2,下位,0
521,521,0,141,205,0,2,713,915,917,297,2,下位,0
617,617,0,111,-61,0,3,1234,915,917,297,2,下位,0
325,325,0,185,571,1,0,0,0,0,1,0,下位,0
453,453,0,186,577,0,0,0,325,731,213,1,下位,0
396,396,0,111,-61,0,0,0,453,737,226,1,下位,0
146,146,0,186,577,0,1,396,453,737,226,1,下位,0
576,576,0,111,-61,0,0,0,542,737,196,1,下位,0
779,779,0,189,253,0,1,576,542,737,196,1,下位,0
149,149,0,111,-61,0,0,0,1355,413,-1456,1,下位,0
159,159,0,213,541,0,1,149,1355,413,-1456,1,下位,0
175,175,0,228,188,0,0,0,308,701,-1148,1,下位,0
148,148,0,143,215,0,0,0,175,348,-1080,1,下位,0
778,778,0,141,203,0,1,148,175,348,-1080,1,下位,0
356,356,0,141,203,0,2,926,175,348,-1080,1,下位,0
103,103,0,111,-61,0,3,1282,175,348,-1080,1,下位,0
414,414,0,142,207,0,4,1385,175,348,-1080,1,下位,0
594,594,0,236,729,0,5,1799,175,348,-1080,1,下位,0
111,111,0,233,184,0,0,0,2393,889,-2447,3,下位,0
615,615,0,142,209,0,0,0,111,344,-2280,1,下位,0
366,366,0,236,-35,0,1,615,111,344,-2280,1,下位,0
123,123,0,142,211,0,0,0,981,125,-3353,2,下位,0
26,26,0,239,492,1,0,0,0,0,1,0,下位,0
288,288,0,142,213,0,0,0,26,652,611,1,下位,0
125,125,0,216,630,0,1,288,26,652,611,1,下位,0
142,142,0,142,213,0,0,0,413,790,1114,2,下位,0
672,672,0,260,459,0,1,142,413,790,1114,2,下位,0
353,353,0,206,554,0,0,0,814,619,806,1,下位,0
105,105,0,141,205,0,0,0,353,714,956,1,下位,0
424,424,0,142,209,0,1,105,353,714,956,1,下位,0
469,469,0,111,-63,0,2,529,353,714,956,1,下位,0
255,255,0,142,213,0,3,998,353,714,956,1,下位,0
360,360,0,175,-47,0,4,1253,353,714,956,1,下位,0
