REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
498,498,0,111,-63,1,0,0,0,0,1,0,下位,0
119,119,0,142,213,1,1,498,0,0,1,0,下位,0
690,690,0,142,213,1,2,617,0,0,1,0,下位,0
170,170,0,142,209,1,3,1307,0,0,1,0,下位,0
351,351,0,246,487,1,4,1477,0,0,1,0,下位,0
159,159,0,195,241,0,0,0,1828,647,-1061,1,下位,0
331,331,0,142,213,0,0,0,159,401,-914,1,下位,0
780,780,0,629,3388,0,1,331,159,401,-914,1,下位,0
236,236,0,142,211,0,0,0,1111,3548,1232,7,下位,0
163,163,0,185,569,0,1,236,1111,3548,1232,7,下位,0
219,219,0,994,2477,0,0,0,399,729,1695,1,下位,0
179,179,0,111,-63,0,0,0,219,2637,1787,12,下位,0
105,105,0,111,-61,1,0,0,0,0,1,0,下位,0
131,131,0,111,-67,1,1,105,0,0,1,0,下位,0
183,183,0,225,183,1,2,236,0,0,1,0,下位,0
253,253,0,141,203,0,0,0,419,343,-133,1,下位,0
366,366,0,185,567,0,1,253,419,343,-133,1,下位,0
126,126,0,237,172,0,0,0,619,727,-32,1,下位,0
229,229,0,142,211,0,0,0,126,332,99,1,下位,0
776,776,0,142,209,0,1,229,126,332,99,1,下位,0
143,143,0,111,-61,0,2,1005,126,332,99,1,下位,0
551,551,0,142,211,0,3,1148,126,332,99,1,下位,0
150,150,0,195,576,0,4,1699,126,332,99,1,下位,0
145,145,0,223,506,0,0,0,1849,736,-909,1,下位,0
479,479,0,282,421,1,0,0,0,0,1,0,下位,0
557,557,0,142,209,0,0,0,479,581,-183,1,下位,0
140,140,0,111,-63,0,1,557,479,581,-183,1,下位,0
137,137,0,111,-67,0,2,697,479,581,-183,1,下位,0
590,590,0,293,951,0,3,834,479,581,-183,1,下位,0
378,378,0,111,-61,0,0,0,1424,1111,-788,3,下位,0
221,221,0,111,-63,0,1,378,1424,1111,-788,3,下位,0
488,488,0,142,213,0,2,599,1424,1111,-788,3,下位,0
335,335,0,142,207,1,0,0,0,0,1,0,下位,0
126,126,0,111,-60,1,1,335,0,0,1,0,下位,0
120,120,0,142,213,1,2,461,0,0,1,0,下位,0
370,370,0,221,195,1,3,581,0,0,1,0,下位,0
582,582,0,272,879,0,0,0,951,355,-323,1,下位,0
145,145,0,111,-65,0,0,0,582,1039,-214,2,下位,0
233,233,0,143,215,0,1,145,582,1039,-214,2,下位,0
357,357,0,142,213,0,2,378,582,1039,-214,2,下位,0
