REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
50,50,0,137,340,1,0,0,0,0,1,0,下位,0
322,322,0,186,339,0,0,0,50,407,309,1,下位,0
1550,427,291,282,623,0,0,0,322,406,79,3,下位,0
1123,323,88,282,623,0,1,427,322,406,79,3,下位,0
800,800,0,282,623,0,2,750,322,406,79,3,下位,0
1922,584,674,1695,4898,1,0,0,0,0,1,0,下位,0
1338,188,465,1695,4898,1,1,584,0,0,1,0,下位,0
1150,259,254,1695,4898,1,2,772,0,0,1,0,下位,0
891,506,171,1695,4898,1,3,1031,0,0,1,0,下位,0
385,246,86,1695,4898,1,4,1537,0,0,1,0,下位,0
139,139,0,1695,4898,1,5,1783,0,0,1,0,下位,0
1095,183,669,528,1564,1,0,0,0,0,1,0,下位,0
912,35,584,528,1564,1,1,183,0,0,1,0,下位,0
877,74,376,528,1564,1,2,218,0,0,1,0,下位,0
803,326,289,528,1564,1,3,292,0,0,1,0,下位,0
477,328,85,528,1564,1,4,618,0,0,1,0,下位,0
149,149,0,528,1564,1,5,946,0,0,1,0,下位,0
1124,62,179,594,2049,0,0,0,1095,1631,138,8,下位,0
1062,262,89,594,2049,0,1,62,1095,1631,138,8,下位,0
800,800,0,594,2049,0,2,324,1095,1631,138,8,下位,0
535,335,87,138,340,0,0,0,1124,2116,211,10,下位,0
200,200,0,138,340,0,1,335,1124,2116,211,10,下位,0
442,114,209,285,616,1,0,0,0,0,1,0,下位,0
328,328,0,285,616,1,1,114,0,0,1,0,下位,0
196,196,0,385,797,0,0,0,442,683,20,4,下位,0
2288,22,340,185,524,1,0,0,0,0,1,0,下位,0
2266,801,256,185,524,1,1,22,0,0,1,0,下位,0
1465,352,173,185,524,1,2,823,0,0,1,0,下位,0
1113,313,83,185,524,1,3,1175,0,0,1,0,下位,0
800,800,0,185,524,1,4,1488,0,0,1,0,下位,0
800,800,0,1801,5536,0,0,0,2288,591,-3590,2,下位,0
185,185,0,984,2375,1,0,0,0,0,1,0,下位,0
325,277,207,281,633,1,0,0,0,0,1,0,下位,0
48,48,0,281,633,1,1,277,0,0,1,0,下位,0
434,302,89,308,757,0,0,0,325,700,266,4,下位,0
132,132,0,308,757,0,1,302,325,700,266,4,下位,0
1788,72,977,845,1933,1,0,0,0,0,1,0,下位,0
1716,266,783,845,1933,1,1,72,0,0,1,0,下位,0
1450,150,579,845,1933,1,2,338,0,0,1,0,下位,0
1300,477,372,845,1933,1,3,488,0,0,1,0,下位,0
823,343,289,845,1933,1,4,965,0,0,1,0,下位,0
480,122,83,845,1933,1,5,1308,0,0,1,0,下位,0
358,358,0,845,1933,1,6,1430,0,0,1,0,下位,0
350,89,202,152,330,1,0,0,0,0,1,0,下位,0
261,261,0,152,330,1,1,89,0,0,1,0,下位,0
313,313,0,269,514,0,0,0,350,397,-92,1,下位,0
356,356,0,585,1770,1,0,0,0,0,1,0,下位,0
607,1,621,715,1909,1,0,0,0,0,1,0,下位,0
606,353,413,715,1909,1,1,1,0,0,1,0,下位,0
253,56,208,715,1909,1,2,354,0,0,1,0,下位,0
197,197,0,715,1909,1,3,410,0,0,1,0,下位,0
1799,22,848,454,1089,1,0,0,0,0,1,0,下位,0
1777,106,759,454,1089,1,1,22,0,0,1,0,下位,0
1671,337,671,454,1089,1,2,128,0,0,1,0,下位,0
1334,356,584,454,1089,1,3,465,0,0,1,0,下位,0
978,375,495,454,1089,1,4,821,0,0,1,0,下位,0
603,225,411,454,1089,1,5,1196,0,0,1,0,下位,0
378,222,204,454,1089,1,6,1421,0,0,1,0,下位,0
156,156,0,454,1089,1,7,1643,0,0,1,0,下位,0
326,326,0,271,537,0,0,0,1799,1156,-1550,6,下位,0
832,136,177,334,652,0,0,0,326,604,-1590,3,下位,0
696,347,87,334,652,0,1,136,326,604,-1590,3,下位,0
349,349,0,334,652,0,2,483,326,604,-1590,3,下位,0
