REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
50,50,0,137,340,1,0,0,0,0,1,0,下位,0
322,322,0,186,339,0,0,0,50,407,309,1,下位,0
427,427,0,85,136,0,0,0,322,406,79,3,下位,0
323,323,0,56,21,0,1,427,322,406,79,3,下位,0
800,800,0,282,623,0,2,750,322,406,79,3,下位,0
584,584,0,86,142,1,0,0,0,0,1,0,下位,0
188,188,0,87,144,1,1,584,0,0,1,0,下位,0
259,259,0,55,16,1,2,772,0,0,1,0,下位,0
506,506,0,55,18,1,3,1031,0,0,1,0,下位,0
246,246,0,56,19,1,4,1537,0,0,1,0,下位,0
139,139,0,1695,4898,1,5,1783,0,0,1,0,下位,0
183,183,0,55,18,1,0,0,0,0,1,0,下位,0
35,35,0,86,141,1,1,183,0,0,1,0,下位,0
74,74,0,56,20,1,2,218,0,0,1,0,下位,0
326,326,0,85,137,1,3,292,0,0,1,0,下位,0
328,328,0,55,18,1,4,618,0,0,1,0,下位,0
149,149,0,528,1564,1,5,946,0,0,1,0,下位,0
62,62,0,56,23,0,0,0,1095,1631,138,8,下位,0
262,262,0,56,22,0,1,62,1095,1631,138,8,下位,0
800,800,0,594,2049,0,2,324,1095,1631,138,8,下位,0
335,335,0,56,20,0,0,0,1124,2116,211,10,下位,0
200,200,0,138,340,0,1,335,1124,2116,211,10,下位,0
114,114,0,86,142,1,0,0,0,0,1,0,下位,0
328,328,0,285,616,1,1,114,0,0,1,0,下位,0
196,196,0,385,797,0,0,0,442,683,20,4,下位,0
22,22,0,55,17,1,0,0,0,0,1,0,下位,0
801,801,0,55,16,1,1,22,0,0,1,0,下位,0
352,352,0,56,23,1,2,823,0,0,1,0,下位,0
313,313,0,55,16,1,3,1175,0,0,1,0,下位,0
800,800,0,185,524,1,4,1488,0,0,1,0,下位,0
800,800,0,1801,5536,0,0,0,2288,591,-3590,2,下位,0
185,185,0,984,2375,1,0,0,0,0,1,0,下位,0
277,277,0,86,140,1,0,0,0,0,1,0,下位,0
48,48,0,281,633,1,1,277,0,0,1,0,下位,0
302,302,0,56,22,0,0,0,325,700,266,4,下位,0
132,132,0,308,757,0,1,302,325,700,266,4,下位,0
72,72,0,82,127,1,0,0,0,0,1,0,下位,0
266,266,0,85,137,1,1,72,0,0,1,0,下位,0
150,150,0,86,140,1,2,338,0,0,1,0,下位,0
477,477,0,55,16,1,3,488,0,0,1,0,下位,0
343,343,0,86,139,1,4,965,0,0,1,0,下位,0
122,122,0,55,16,1,5,1308,0,0,1,0,下位,0
358,358,0,845,1933,1,6,1430,0,0,1,0,下位,0
89,89,0,84,135,1,0,0,0,0,1,0,下位,0
261,261,0,152,330,1,1,89,0,0,1,0,下位,0
313,313,0,269,514,0,0,0,350,397,-92,1,下位,0
356,356,0,585,1770,1,0,0,0,0,1,0,下位,0
1,1,0,86,141,1,0,0,0,0,1,0,下位,0
353,353,0,85,138,1,1,1,0,0,1,0,下位,0
56,56,0,86,141,1,2,354,0,0,1,0,下位,0
197,197,0,715,1909,1,3,410,0,0,1,0,下位,0
22,22,0,56,22,1,0,0,0,0,1,0,下位,0
106,106,0,56,21,1,1,22,0,0,1,0,下位,0
337,337,0,56,20,1,2,128,0,0,1,0,下位,0
356,356,0,56,22,1,3,465,0,0,1,0,下位,0
375,375,0,55,17,1,4,821,0,0,1,0,下位,0
225,225,0,86,140,1,5,1196,0,0,1,0,下位,0
222,222,0,85,137,1,6,1421,0,0,1,0,下位,0
156,156,0,454,1089,1,7,1643,0,0,1,0,下位,0
326,326,0,271,537,0,0,0,1799,1156,-1550,6,下位,0
136,136,0,56,23,0,0,0,326,604,-1590,3,下位,0
347,347,0,56,20,0,1,136,326,604,-1590,3,下位,0
349,349,0,334,652,0,2,483,326,604,-1590,3,下位,0
3,3,0,55,18,1,0,0,0,0,1,0,下位,0
