REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
142,142,0,44,133,1,0,0,0,0,1,0,下位,0
557,557,0,223,614,0,0,0,142,133,-81,1,下位,0
475,475,0,18,53,1,0,0,0,0,1,0,下位,0
581,581,0,316,898,0,0,0,475,53,-666,1,下位,0
575,575,0,532,1520,0,0,0,581,898,-648,9,下位,0
128,128,0,229,637,1,0,0,0,0,1,0,下位,0
413,413,0,81,238,0,0,0,128,637,444,9,下位,0
115,115,0,131,378,1,0,0,0,0,1,0,下位,0
669,669,0,30,89,0,0,0,115,378,205,4,下位,0
169,169,0,118,341,0,0,0,669,89,-720,1,下位,0
176,176,0,50,151,0,0,0,169,341,-635,4,下位,0
685,685,0,433,1183,0,0,0,176,151,-751,1,下位,0
132,132,0,95,275,0,0,0,685,1183,-606,18,下位,0
399,399,0,71,210,1,0,0,0,0,1,0,下位,0
527,527,0,98,290,0,0,0,399,210,-394,2,下位,0
310,310,0,62,182,0,0,0,527,290,-902,2,下位,0
190,190,0,40,121,0,0,0,310,182,-1190,2,下位,0
261,261,0,1364,3730,0,0,0,190,121,-1357,1,下位,0
64,64,0,163,459,1,0,0,0,0,1,0,下位,0
166,166,0,312,855,0,0,0,64,459,363,5,下位,0
852,852,0,181,523,0,0,0,166,855,966,13,下位,0
165,165,0,56,169,0,0,0,852,523,198,5,下位,0
213,213,0,105,302,0,0,0,165,169,117,1,下位,0
283,283,0,155,446,1,0,0,0,0,1,0,下位,0
107,107,0,126,369,0,0,0,283,446,18,4,下位,0
171,171,0,34,101,0,0,0,107,369,225,3,下位,0
101,101,0,125,370,0,0,0,171,101,67,1,下位,0
139,139,0,62,187,0,0,0,101,370,284,2,下位,0
338,338,0,89,252,0,0,0,139,187,260,1,下位,0
135,135,0,108,315,0,0,0,338,252,1,3,下位,0
200,200,0,124,359,0,0,0,135,315,111,3,下位,0
365,365,0,63,176,0,0,0,200,359,167,3,下位,0
82,82,0,190,524,1,0,0,0,0,1,0,下位,0
97,97,0,255,725,0,0,0,82,524,401,8,下位,0
365,365,0,212,603,0,0,0,97,725,979,7,下位,0
