REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
77,77,0,49,147,1,0,0,0,0,1,0,下位,0
116,116,0,30,90,0,0,0,77,147,27,1,下位,0
570,570,0,50,149,0,0,0,116,90,-65,1,下位,0
29,29,0,165,481,0,0,0,570,149,-812,1,下位,0
341,341,0,198,586,0,0,0,29,481,-377,3,下位,0
204,204,0,312,924,0,0,0,341,586,-327,3,下位,0
203,203,0,54,162,0,0,0,204,924,276,3,下位,0
1021,1021,0,185,525,0,0,0,203,162,119,1,下位,0
535,535,0,55,145,0,0,0,1021,525,-961,3,下位,0
131,131,0,51,154,0,0,0,535,145,-1657,3,下位,0
315,315,0,87,242,0,0,0,131,154,-1709,1,下位,0
199,199,0,90,263,1,0,0,0,0,1,0,下位,0
544,544,0,326,931,0,0,0,199,263,-49,2,下位,0
280,280,0,42,125,0,0,0,544,931,27,7,下位,0
130,130,0,73,219,0,0,0,280,125,-288,1,下位,0
66,66,0,59,176,0,0,0,130,219,-273,1,下位,0
130,130,0,90,269,0,0,0,66,176,-201,1,下位,0
51,51,0,31,94,0,0,0,130,269,-136,1,下位,0
228,228,0,44,132,0,0,0,51,94,-122,1,下位,0
39,39,0,53,160,0,0,0,228,132,-348,1,下位,0
322,322,0,195,564,0,0,0,39,160,-249,1,下位,0
142,142,0,42,125,0,0,0,322,564,-191,4,下位,0
336,336,0,57,155,0,0,0,142,125,-289,1,下位,0
134,134,0,254,719,0,0,0,336,155,-662,3,下位,0
130,130,0,250,735,0,0,0,134,719,-154,3,下位,0
721,721,0,83,250,0,0,0,130,735,377,3,下位,0
112,112,0,268,774,0,0,0,721,250,-507,1,下位,0
700,700,0,49,147,1,0,0,0,0,1,0,下位,0
547,547,0,498,1469,0,0,0,700,147,-953,1,下位,0
126,126,0,2544,7392,0,0,0,547,1469,-344,5,上位,0
553,553,0,36,109,0,0,0,126,7392,1729,26,上位,0
1007,1007,0,36,107,0,0,0,553,109,969,1,下位,0
337,337,0,37,112,0,0,0,1007,107,-507,1,下位,0
339,339,0,101,282,0,0,0,337,112,-925,1,下位,0
137,137,0,278,820,0,0,0,339,282,-1176,3,下位,0
419,419,0,43,130,1,0,0,0,0,1,0,下位,0
191,191,0,278,819,0,0,0,419,130,-528,1,下位,0
737,737,0,69,207,0,0,0,191,819,-9,3,下位,0
132,132,0,703,2050,0,0,0,737,207,-961,1,下位,0
188,188,0,42,126,0,0,0,132,2050,828,7,上位,0
713,713,0,54,163,0,0,0,188,126,658,1,下位,0
321,321,0,57,172,0,0,0,713,163,-300,1,下位,0
319,319,0,485,1441,0,0,0,321,172,-633,1,下位,0
531,531,0,176,480,0,0,0,319,1441,306,5,下位,0
223,223,0,698,2054,0,0,0,531,480,-49,4,下位,0
332,332,0,35,105,0,0,0,223,2054,440,5,上位,0
320,320,0,239,671,0,0,0,332,105,23,1,下位,0
99,99,0,192,528,1,0,0,0,0,1,0,下位,0
121,121,0,173,508,0,0,0,99,528,373,5,下位,0
127,127,0,82,245,0,0,0,121,508,691,3,下位,0
499,499,0,43,130,0,0,0,127,245,736,1,下位,0
520,520,0,285,830,0,0,0,499,130,81,1,下位,0
939,939,0,47,140,0,0,0,520,830,93,4,下位,0
337,337,0,54,162,0,0,0,939,140,-1243,1,下位,0
322,322,0,42,125,0,0,0,337,162,-1611,1,下位,0
48,48,0,224,651,0,0,0,322,125,-1992,1,下位,0
328,328,0,333,975,0,0,0,48,651,-1416,4,下位,0
63,63,0,168,491,0,0,0,328,975,-957,5,下位,0
290,290,0,48,144,1,0,0,0,0,1,0,下位,0
620,620,0,315,910,0,0,0,290,144,-311,1,下位,0
1024,1024,0,222,617,0,0,0,620,910,-376,5,下位,0
226,226,0,71,203,0,0,0,1024,617,-1369,5,下位,0
127,127,0,38,114,0,0,0,226,203,-1521,3,下位,0
290,290,0,45,134,0,0,0,127,114,-1607,1,下位,0
330,330,0,132,395,0,0,0,290,134,-1929,1,下位,0
320,320,0,53,160,0,0,0,330,395,-2053,1,下位,0
489,489,0,41,122,0,0,0,320,160,-2396,1,下位,0
130,130,0,617,1802,0,0,0,489,122,-3043,1,下位,0
534,534,0,36,109,0,0,0,130,1802,-1445,5,上位,0
429,429,0,38,114,0,0,0,534,109,-2176,1,下位,0
147,147,0,97,290,0,0,0,429,114,-2737,1,下位,0
129,129,0,47,142,0,0,0,147,290,-2678,1,下位,0
246,246,0,45,136,0,0,0,129,142,-2739,1,下位,0
121,121,0,239,696,0,0,0,246,136,-2990,1,下位,0
128,128,0,73,218,1,0,0,0,0,1,0,下位,0
325,325,0,59,178,0,0,0,128,218,18,1,下位,0
135,135,0,650,1910,0,0,0,325,178,-315,1,下位,0
135,135,0,214,633,0,0,0,135,1910,533,5,上位,0
280,280,0,76,228,0,0,0,135,633,954,3,下位,0
