REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
182,182,0,98,382,1,0,0,0,0,1,0,下位,0,0,0
8,8,0,-6,-32,0,0,0,182,382,94,3,下位,0,0,0
96,96,0,3,14,0,1,8,182,382,94,3,下位,0,8,0
423,423,0,216,825,0,0,0,104,14,-88,1,下位,0,0,0
262,262,0,2,10,0,0,0,423,825,66,6,上位,0,0,0
90,90,0,150,631,0,0,0,262,10,-340,1,下位,0,0,0
136,136,0,48,132,0,0,0,90,631,148,3,下位,0,0,0
341,341,0,392,1782,0,0,0,136,132,64,3,下位,0,0,0
243,243,0,-6,-32,0,0,0,341,1782,1305,4,下位,0,0,0
164,164,0,-6,-32,0,1,243,341,1782,1305,4,下位,0,243,0
460,460,0,263,995,0,2,407,341,1782,1305,4,下位,0,164,0
554,554,0,25,72,0,0,0,867,995,861,6,下位,0,0,0
39,39,0,-6,-32,0,0,0,554,72,54,2,下位,0,0,0
251,251,0,50,197,0,1,39,554,72,54,2,下位,0,39,0
270,270,0,-6,-32,0,0,0,290,197,-241,2,下位,0,0,0
21,21,0,53,155,0,1,270,290,197,-241,2,下位,0,270,0
261,261,0,-6,-32,0,0,0,291,155,-579,3,下位,0,0,0
172,172,0,-6,-32,0,1,261,291,155,-579,3,下位,0,261,0
7,7,0,-6,-32,0,2,433,291,155,-579,3,下位,0,172,0
139,139,0,609,2604,0,3,440,291,155,-579,3,下位,0,7,0
43,43,0,8,38,0,0,0,579,2604,1011,9,上位,0,0,0
39,39,0,103,459,0,0,0,43,38,981,1,下位,0,0,0
41,41,0,116,406,0,0,0,39,459,1378,2,下位,0,0,0
41,41,0,30,82,0,0,0,41,406,1719,4,下位,0,0,0
465,465,0,129,472,1,0,0,0,0,1,0,下位,0,0,0
7,7,0,-6,-32,0,0,0,465,472,-265,4,下位,0,0,0
161,161,0,3,12,0,1,7,465,472,-265,4,下位,0,7,0
595,595,0,-6,-32,0,0,0,168,12,-551,1,下位,0,0,0
103,103,0,2036,8771,0,1,595,168,12,-551,1,下位,0,595,0
298,298,0,-6,-32,0,0,0,698,8771,7081,21,上位,0,0,0
100,100,0,-6,-32,0,1,298,698,8771,7081,21,上位,0,298,0
166,166,0,102,387,0,2,398,698,8771,7081,21,上位,0,100,0
46,46,0,102,454,0,0,0,564,387,420,3,下位,0,0,0
164,164,0,-6,-32,0,0,0,46,454,801,2,下位,0,0,0
14,14,0,-6,-32,0,1,164,46,454,801,2,下位,0,164,0
330,330,0,3,12,0,2,178,46,454,801,2,下位,0,14,0
145,145,0,-6,-32,0,0,0,508,12,-57,1,下位,0,0,0
224,224,0,29,89,0,1,145,508,12,-57,1,下位,0,145,0
431,431,0,-6,-32,0,0,0,369,89,-585,2,下位,0,0,0
80,80,0,239,995,1,0,0,0,0,1,0,下位,0,0,0
174,174,0,91,397,0,0,0,80,995,869,4,下位,0,0,0
270,270,0,32,88,0,0,0,174,397,990,2,下位,0,0,0
39,39,0,3,11,0,0,0,270,88,650,2,下位,0,0,0
119,119,0,3,12,0,0,0,39,11,599,1,下位,0,0,0
304,304,0,3,14,0,0,0,119,12,422,1,下位,0,0,0
74,74,0,-6,-32,0,0,0,304,14,-46,1,下位,0,0,0
