REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
399,399,0,28,139,1,0,0,0,0,1,0,下位,0,0,0
548,548,0,34,169,0,0,0,399,139,-504,1,下位,0,0,0
135,135,0,73,321,0,0,0,548,169,-1219,1,下位,0,0,0
272,272,0,26,130,0,0,0,135,321,-1116,2,下位,0,0,0
507,507,0,62,278,0,0,0,272,130,-1425,1,下位,0,0,0
66,66,0,127,581,0,0,0,507,278,-1965,2,下位,0,0,0
414,414,0,35,176,0,0,0,66,581,-1490,4,下位,0,0,0
35,35,0,125,567,0,0,0,414,176,-1982,1,下位,0,0,0
168,168,0,252,1125,0,0,0,35,567,-1471,4,下位,0,0,0
291,291,0,14,71,0,0,0,168,1125,-617,8,下位,0,0,0
136,136,0,210,904,0,0,0,291,71,-1015,1,下位,0,0,0
36,36,0,35,174,0,0,0,136,904,-330,6,下位,0,0,0
71,71,0,135,634,0,0,0,36,174,-214,1,下位,0,0,0
69,69,0,693,2949,0,0,0,71,634,305,3,下位,0,0,0
46,46,0,95,467,0,0,0,69,2949,702,16,下位,0,0,0
541,541,0,139,585,0,0,0,46,467,1095,2,下位,0,0,0
48,48,0,29,144,0,0,0,541,585,807,4,下位,0,0,0
226,226,0,14,69,0,0,0,48,144,874,1,下位,0,0,0
532,532,0,99,455,0,0,0,226,69,578,1,下位,0,0,0
123,123,0,14,71,0,0,0,532,455,175,3,下位,0,0,0
90,90,0,239,1017,1,0,0,0,0,1,0,下位,0,0,0
215,215,0,63,292,0,0,0,90,1017,873,7,下位,0,0,0
404,404,0,106,464,0,0,0,215,292,818,2,下位,0,0,0
150,150,0,196,911,0,0,0,404,464,630,3,下位,0,0,0
660,660,0,62,275,0,0,0,150,911,1299,5,下位,0,0,0
474,474,0,14,71,0,0,0,660,275,509,2,下位,0,0,0
34,34,0,190,903,0,0,0,474,71,-185,1,下位,0,0,0
543,543,0,212,963,0,0,0,34,903,663,4,下位,0,0,0
137,137,0,23,116,0,0,0,543,963,750,4,下位,0,0,0
330,330,0,143,640,0,0,0,137,116,645,1,下位,0,0,0
109,109,0,14,71,0,0,0,330,640,753,4,下位,0,0,0
34,34,0,106,467,0,0,0,109,71,648,1,下位,0,0,0
67,67,0,30,150,0,0,0,34,467,1060,3,下位,0,0,0
34,34,0,32,160,0,0,0,67,150,1102,1,下位,0,0,0
71,71,0,130,458,0,0,0,34,160,1207,1,下位,0,0,0
647,647,0,14,71,0,0,0,71,458,1550,3,下位,0,0,0
801,801,0,107,482,0,0,0,647,71,577,1,下位,0,0,0
141,141,0,391,1677,1,0,0,0,0,1,0,下位,0,0,0
71,71,0,174,795,0,0,0,141,1677,1451,11,下位,0,0,0
42,42,0,176,689,0,0,0,71,795,2131,4,下位,0,0,0
69,69,0,1123,4758,0,0,0,42,689,314,4,下位,0,0,0
459,459,0,14,71,0,0,0,69,4758,134,26,下位,0,0,0
376,376,0,12,62,0,0,0,459,71,-535,1,下位,0,0,0
166,166,0,279,1181,0,0,0,376,62,-1079,1,下位,0,0,0
59,59,0,29,144,0,0,0,166,1181,-166,4,下位,0,0,0
998,998,0,70,317,0,0,0,59,144,-117,1,下位,0,0,0
52,52,0,73,345,0,0,0,998,317,-1410,2,下位,0,0,0
537,537,0,27,135,0,0,0,52,345,-1149,2,下位,0,0,0
266,266,0,63,267,1,0,0,0,0,1,0,下位,0,0,0
273,273,0,27,136,0,0,0,266,267,-161,2,下位,0,0,0
32,32,0,31,155,0,0,0,273,136,-465,1,下位,0,0,0
34,34,0,113,487,0,0,0,32,155,-362,1,下位,0,0,0
97,97,0,14,71,0,0,0,34,487,70,3,下位,0,0,0
144,144,0,382,1735,0,0,0,97,71,-15,1,下位,0,0,0
37,37,0,67,313,0,0,0,144,1735,1488,9,下位,0,0,0
143,143,0,38,190,0,0,0,37,313,1741,2,下位,0,0,0
38,38,0,34,169,0,0,0,143,190,1700,1,下位,0,0,0
69,69,0,32,162,0,0,0,38,169,1808,1,下位,0,0,0
341,341,0,128,560,0,0,0,69,162,1859,1,下位,0,0,0
391,391,0,1428,5910,0,0,0,341,560,1869,4,下位,0,0,0
148,148,0,63,299,0,0,0,391,5910,2267,37,下位,0,0,0
235,235,0,703,2961,0,0,0,148,299,2327,2,下位,0,0,0
545,545,0,102,458,0,0,0,235,2961,358,19,下位,0,0,0
228,228,0,211,902,0,0,0,545,458,-63,3,下位,0,0,0
124,124,0,32,160,1,0,0,0,0,1,0,下位,0,0,0
358,358,0,15,73,0,0,0,124,160,-39,1,下位,0,0,0
37,37,0,73,342,0,0,0,358,73,-543,1,下位,0,0,0
548,548,0,14,69,0,0,0,37,342,-261,2,下位,0,0,0
120,120,0,15,73,0,0,0,548,69,-1076,1,下位,0,0,0
326,326,0,93,381,0,0,0,120,73,-1197,1,下位,0,0,0
114,114,0,29,146,0,0,0,326,381,-1342,3,下位,0,0,0
333,333,0,173,788,1,0,0,0,0,1,0,下位,0,0,0
279,279,0,15,73,0,0,0,333,788,252,5,下位,0,0,0
181,181,0,15,73,0,0,0,279,73,-125,1,下位,0,0,0
108,108,0,65,301,0,0,0,181,73,-344,1,下位,0,0,0
545,545,0,89,407,0,0,0,108,301,-217,2,下位,0,0,0
125,125,0,14,71,0,0,0,545,407,-689,3,下位,0,0,0
377,377,0,100,419,0,0,0,125,71,-820,1,下位,0,0,0
372,372,0,138,684,0,0,0,377,419,-1009,3,下位,0,0,0
112,112,0,32,160,0,0,0,372,684,-925,2,下位,0,0,0
45,45,0,24,121,0,0,0,112,160,-946,1,下位,0,0,0
199,199,0,36,178,0,0,0,45,121,-898,1,下位,0,0,0
162,162,0,62,287,1,0,0,0,0,1,0,下位,0,0,0
40,40,0,237,975,0,0,0,162,287,27,2,下位,0,0,0
34,34,0,32,162,0,0,0,40,975,937,7,下位,0,0,0
252,252,0,31,155,0,0,0,34,162,1044,1,下位,0,0,0
111,111,0,35,176,0,0,0,252,155,793,1,下位,0,0,0
147,147,0,36,178,0,0,0,111,176,790,1,下位,0,0,0
531,531,0,134,594,0,0,0,147,178,731,1,下位,0,0,0
67,67,0,149,645,0,0,0,531,594,469,4,下位,0,0,0
553,553,0,14,69,0,0,0,67,645,1006,4,下位,0,0,0
560,560,0,57,253,0,0,0,553,69,183,1,下位,0,0,0
746,746,0,127,576,0,0,0,560,253,-467,2,下位,0,0,0
171,171,0,15,73,0,0,0,746,576,-1094,4,下位,0,0,0
46,46,0,63,294,0,0,0,171,73,-1297,1,下位,0,0,0
131,131,0,14,71,0,0,0,46,294,-1077,2,下位,0,0,0
135,135,0,15,73,0,0,0,131,71,-1217,1,下位,0,0,0
36,36,0,107,508,0,0,0,135,73,-1362,1,下位,0,0,0
541,541,0,123,530,0,0,0,36,508,-912,3,下位,0,0,0
343,343,0,194,918,0,0,0,541,530,-1255,4,下位,0,0,0
120,120,0,15,73,0,0,0,343,918,-890,4,下位,0,0,0
101,101,0,249,1081,0,0,0,120,73,-1011,1,下位,0,0,0
358,358,0,72,340,1,0,0,0,0,1,0,下位,0,0,0
460,460,0,35,176,0,0,0,358,340,-236,2,下位,0,0,0
69,69,0,162,720,0,0,0,460,176,-802,1,下位,0,0,0
187,187,0,35,176,0,0,0,69,720,-193,5,下位,0,0,0
143,143,0,31,153,0,0,0,187,176,-319,1,下位,0,0,0
443,443,0,149,699,0,0,0,143,153,-397,1,下位,0,0,0
182,182,0,279,1136,0,0,0,443,699,-413,4,下位,0,0,0
355,355,0,15,73,0,0,0,182,1136,429,8,下位,0,0,0
137,137,0,35,176,0,0,0,355,73,-71,1,下位,0,0,0
33,33,0,26,130,0,0,0,137,176,-116,1,下位,0,0,0
40,40,0,33,167,0,0,0,33,130,-39,1,下位,0,0,0
387,387,0,15,73,0,0,0,40,167,63,1,下位,0,0,0
542,542,0,686,2918,0,0,0,387,73,-488,1,下位,0,0,0
541,541,0,95,305,0,0,0,542,2918,1556,20,下位,0,0,0
141,141,0,98,423,1,0,0,0,0,1,0,下位,0,0,0
1010,1010,0,61,276,0,0,0,141,423,197,3,下位,0,0,0
545,545,0,15,73,0,0,0,1010,276,-1156,2,下位,0,0,0
541,541,0,14,71,0,0,0,545,73,-1962,1,下位,0,0,0
101,101,0,147,480,0,0,0,541,71,-2764,1,下位,0,0,0
429,429,0,12,62,0,0,0,101,480,-2447,4,下位,0,0,0
121,121,0,14,69,1,0,0,0,0,1,0,下位,0,0,0
67,67,0,127,576,0,0,0,121,69,-125,1,下位,0,0,0
62,62,0,528,2301,0,0,0,67,576,343,4,下位,0,0,0
313,313,0,30,151,0,0,0,62,2301,143,11,下位,0,0,0
247,247,0,71,319,0,0,0,313,151,-211,1,下位,0,0,0
271,271,0,14,71,0,0,0,247,319,-290,2,下位,0,0,0
656,656,0,58,274,0,0,0,271,71,-656,1,下位,0,0,0
38,38,0,104,472,0,0,0,656,274,-1440,2,下位,0,0,0
530,530,0,33,167,0,0,0,38,472,-1029,3,下位,0,0,0
38,38,0,98,442,0,0,0,530,167,-1717,1,下位,0,0,0
31,31,0,28,139,0,0,0,38,442,-1336,3,下位,0,0,0
307,307,0,14,69,0,0,0,31,139,-1247,1,下位,0,0,0
200,200,0,79,279,0,0,0,307,69,-1673,1,下位,0,0,0
125,125,0,105,471,0,0,0,200,279,-1717,2,下位,0,0,0
335,335,0,40,199,0,0,0,125,471,-1448,3,下位,0,0,0
661,661,0,71,335,0,0,0,335,199,-1789,1,下位,0,0,0
33,33,0,31,155,0,0,0,661,335,-2520,2,下位,0,0,0
126,126,0,33,163,1,0,0,0,0,1,0,下位,0,0,0
263,263,0,232,1000,0,0,0,126,163,-39,1,下位,0,0,0
133,133,0,35,176,0,0,0,263,1000,537,7,下位,0,0,0
69,69,0,147,691,0,0,0,133,176,498,1,下位,0,0,0
542,542,0,99,417,0,0,0,69,691,1078,3,下位,0,0,0
440,440,0,34,169,0,0,0,542,417,621,3,下位,0,0,0
411,411,0,14,71,0,0,0,440,169,80,1,下位,0,0,0
134,134,0,90,411,0,0,0,411,71,-512,1,下位,0,0,0
545,545,0,96,441,0,0,0,134,411,-317,3,下位,0,0,0
301,301,0,194,870,0,0,0,545,441,-755,3,下位,0,0,0
376,376,0,271,1183,0,0,0,301,870,-370,6,下位,0,0,0
484,484,0,37,185,1,0,0,0,0,1,0,下位,0,0,0
357,357,0,27,135,0,0,0,484,185,-595,1,下位,0,0,0
493,493,0,106,477,0,0,0,357,135,-1036,1,下位,0,0,0
537,537,0,30,149,0,0,0,493,477,-1354,3,下位,0,0,0
75,75,0,76,344,0,0,0,537,149,-2071,1,下位,0,0,0
145,145,0,70,326,0,0,0,75,344,-1848,2,下位,0,0,0
136,136,0,15,73,0,0,0,145,326,-1756,2,下位,0,0,0
541,541,0,59,278,0,0,0,136,73,-1902,1,下位,0,0,0
115,115,0,37,185,0,0,0,541,278,-2497,2,下位,0,0,0
443,443,0,278,1186,0,0,0,115,185,-2497,1,下位,0,0,0
148,148,0,14,69,0,0,0,443,1186,-2026,8,下位,0,0,0
541,541,0,14,71,0,0,0,148,69,-2196,1,下位,0,0,0
683,683,0,15,73,0,0,0,541,71,-2998,1,下位,0,0,0
139,139,0,230,986,0,0,0,683,73,-4027,1,下位,0,0,0
167,167,0,15,73,0,0,0,139,986,-3265,7,下位,0,0,0
140,140,0,14,71,0,0,0,167,73,-3461,1,下位,0,0,0
136,136,0,394,1602,1,0,0,0,0,1,0,下位,0,0,0
66,66,0,446,1878,0,0,0,136,1602,1384,11,下位,0,0,0
261,261,0,14,71,0,0,0,66,1878,755,11,下位,0,0,0
528,528,0,15,73,0,0,0,261,71,405,1,下位,0,0,0
524,524,0,79,339,0,0,0,528,73,-374,1,下位,0,0,0
137,137,0,92,407,0,0,0,524,339,-880,3,下位,0,0,0
161,161,0,35,176,0,0,0,137,407,-694,3,下位,0,0,0
206,206,0,101,461,0,0,0,161,176,-778,1,下位,0,0,0
127,127,0,34,171,0,0,0,206,461,-649,3,下位,0,0,0
124,124,0,31,153,0,0,0,127,171,-683,1,下位,0,0,0
1004,1004,0,38,190,0,0,0,124,153,-730,1,下位,0,0,0
