REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
360,360,0,85,256,1,0,0,0,0,1,0,下位,0,0,0
82,82,0,40,120,0,0,0,360,256,-277,1,下位,0,0,0
391,391,0,109,283,0,0,0,82,120,-279,1,下位,0,0,0
166,166,0,226,635,0,0,0,391,283,-576,2,下位,0,0,0
906,906,0,76,227,0,0,0,166,635,-187,2,下位,0,0,0
939,939,0,184,462,0,0,0,906,227,-1304,1,下位,0,0,0
307,307,0,72,217,0,0,0,939,462,-2235,3,下位,0,0,0
239,239,0,103,262,0,0,0,307,217,-2473,1,下位,0,0,0
494,494,0,267,621,0,0,0,239,262,-2566,2,下位,0,0,0
1008,1008,0,49,146,0,0,0,494,621,-2678,5,下位,0,0,0
416,416,0,137,321,1,0,0,0,0,1,0,下位,0,0,0
25,25,0,288,731,0,0,0,416,321,-295,3,下位,0,0,0
160,160,0,574,1442,0,0,0,25,731,399,4,下位,0,0,0
146,146,0,42,126,0,0,0,160,1442,394,7,上位,0,0,0
76,76,0,100,301,0,0,0,146,126,303,1,下位,0,0,0
126,126,0,38,114,0,0,0,76,301,491,1,下位,0,0,0
861,861,0,1054,3073,0,0,0,126,114,418,1,下位,0,0,0
429,429,0,128,340,0,0,0,861,3073,2214,3,下位,0,0,0
324,324,0,108,278,0,0,0,429,340,1918,2,下位,0,0,0
105,105,0,523,1378,0,0,0,324,278,1715,2,下位,0,0,0
136,136,0,36,107,0,0,0,105,1378,535,5,下位,0,0,0
73,73,0,84,209,1,0,0,0,0,1,0,下位,0,0,0
556,556,0,35,106,0,0,0,73,209,102,2,下位,0,0,0
779,779,0,115,299,0,0,0,556,106,-617,1,下位,0,0,0
285,285,0,57,172,0,0,0,779,299,-1474,2,下位,0,0,0
739,739,0,745,2012,0,0,0,285,172,-1725,1,下位,0,0,0
165,165,0,326,888,0,0,0,739,2012,-809,6,下位,0,0,0
153,153,0,315,765,0,0,0,165,888,-166,3,下位,0,0,0
486,486,0,264,700,0,0,0,153,765,372,5,下位,0,0,0
185,185,0,71,212,0,0,0,486,700,351,3,下位,0,0,0
100,100,0,107,277,0,0,0,185,212,289,1,下位,0,0,0
163,163,0,106,274,0,0,0,100,277,418,2,下位,0,0,0
414,414,0,57,172,0,0,0,163,274,450,2,下位,0,0,0
394,394,0,220,571,0,0,0,414,172,8,1,下位,0,0,0
130,130,0,37,111,0,0,0,394,571,-6,3,下位,0,0,0
193,193,0,365,870,0,0,0,130,111,-88,1,下位,0,0,0
126,126,0,73,219,0,0,0,193,870,496,6,下位,0,0,0
377,377,0,51,154,0,0,0,126,219,528,1,下位,0,0,0
338,338,0,45,134,1,0,0,0,0,1,0,下位,0,0,0
410,410,0,381,963,0,0,0,338,134,-366,1,下位,0,0,0
695,695,0,236,663,0,0,0,410,963,-11,5,下位,0,0,0
349,349,0,248,656,0,0,0,695,663,-379,2,下位,0,0,0
62,62,0,227,547,0,0,0,349,656,-241,3,下位,0,0,0
113,113,0,270,632,0,0,0,62,547,214,4,下位,0,0,0
112,112,0,191,437,0,0,0,113,632,678,5,下位,0,0,0
786,786,0,45,136,0,0,0,112,437,949,4,下位,0,0,0
27,27,0,37,111,0,0,0,786,136,-81,1,下位,0,0,0
123,123,0,215,600,0,0,0,27,111,-10,1,下位,0,0,0
367,367,0,81,244,0,0,0,123,600,408,2,下位,0,0,0
519,519,0,88,265,0,0,0,367,244,107,1,下位,0,0,0
372,372,0,155,376,0,0,0,519,265,-398,1,下位,0,0,0
425,425,0,200,555,0,0,0,372,376,-574,3,下位,0,0,0
655,655,0,45,136,0,0,0,425,555,-650,2,下位,0,0,0
131,131,0,600,1524,0,0,0,655,136,-1486,1,下位,0,0,0
102,102,0,243,596,1,0,0,0,0,1,0,下位,0,0,0
111,111,0,42,127,0,0,0,102,596,446,4,下位,0,0,0
368,368,0,115,300,0,0,0,111,127,408,1,下位,0,0,0
65,65,0,1398,3851,0,0,0,368,300,162,2,下位,0,0,0
