REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
687,687,0,59,158,1,0,0,0,0,1,0,下位,0
116,116,0,58,153,0,0,0,687,158,-949,1,下位,0
35,35,0,82,221,0,0,0,116,153,-983,2,下位,0
189,189,0,55,143,0,0,0,35,221,-818,1,下位,0
171,171,0,39,106,0,0,0,189,143,-980,2,下位,0
94,94,0,437,1148,0,0,0,171,106,-1150,1,下位,0
187,187,0,41,111,0,0,0,94,1148,-154,7,下位,0
176,176,0,49,128,0,0,0,187,111,-345,1,下位,0
421,421,0,56,151,0,0,0,176,128,-501,2,下位,0
138,138,0,51,137,0,0,0,421,151,-1029,1,下位,0
127,127,0,170,392,0,0,0,138,137,-1115,1,下位,0
48,48,0,279,691,0,0,0,127,392,-928,8,下位,0
413,413,0,65,172,0,0,0,48,691,-314,5,下位,0
296,296,0,972,2481,0,0,0,413,172,-808,2,下位,0
838,838,0,67,174,0,0,0,296,2481,1196,19,下位,0
194,194,0,64,170,0,0,0,838,174,18,2,下位,0
1038,1038,0,124,288,0,0,0,194,170,-125,2,下位,0
156,156,0,52,140,0,0,0,1038,288,-1511,5,下位,0
777,777,0,72,195,0,0,0,156,140,-1623,1,下位,0
143,143,0,71,187,0,0,0,777,195,-2681,1,下位,0
241,241,0,404,1069,1,0,0,0,0,1,0,下位,0
85,85,0,61,161,0,0,0,241,1069,681,5,下位,0
136,136,0,72,189,0,0,0,85,161,705,2,下位,0
1045,1045,0,134,346,0,0,0,136,189,675,2,下位,0
783,783,0,96,260,0,0,0,1045,346,-664,4,下位,0
152,152,0,62,168,0,0,0,783,260,-1667,1,下位,0
194,194,0,60,161,0,0,0,152,168,-1744,1,下位,0
480,480,0,448,1128,0,0,0,194,161,-1896,1,下位,0
586,586,0,907,2335,0,0,0,480,1128,-1542,12,下位,0
304,304,0,127,329,0,0,0,586,2335,-152,16,下位,0
931,931,0,44,119,0,0,0,304,329,-313,4,下位,0
582,582,0,225,509,1,0,0,0,0,1,0,下位,0
868,868,0,936,2430,0,0,0,582,509,-429,9,下位,0
89,89,0,189,502,0,0,0,868,2430,601,15,下位,0
166,166,0,82,205,0,0,0,89,502,959,3,下位,0
92,92,0,42,113,0,0,0,166,205,896,4,下位,0
430,430,0,676,1687,0,0,0,92,113,861,1,下位,0
335,335,0,208,512,0,0,0,430,1687,1854,14,下位,0
81,81,0,37,94,0,0,0,335,512,1826,4,下位,0
317,317,0,73,194,0,0,0,81,94,1789,2,下位,0
448,448,0,43,116,0,0,0,317,194,1472,2,下位,0
298,298,0,182,469,0,0,0,448,116,865,1,下位,0
203,203,0,49,132,0,0,0,298,469,853,5,下位,0
130,130,0,1376,3558,0,0,0,203,132,658,1,下位,0
481,481,0,148,376,0,0,0,130,3558,1725,18,上位,0
290,290,0,40,102,0,0,0,481,376,1325,5,下位,0
76,76,0,339,881,0,0,0,290,102,959,2,下位,0
411,411,0,284,739,1,0,0,0,0,1,0,下位,0
206,206,0,67,177,0,0,0,411,739,77,5,下位,0
927,927,0,64,173,0,0,0,206,177,-78,2,下位,0
650,650,0,71,187,0,0,0,927,173,-1400,1,下位,0
510,510,0,224,597,0,0,0,650,187,-2261,2,下位,0
538,538,0,55,144,0,0,0,510,597,-2487,3,下位,0
1034,1034,0,55,144,0,0,0,538,144,-3211,2,下位,0
155,155,0,48,126,0,0,0,1034,144,-4735,2,下位,0
287,287,0,49,132,0,0,0,155,126,-4859,2,下位,0
436,436,0,84,226,0,0,0,287,132,-5190,1,下位,0
314,314,0,57,154,0,0,0,436,226,-5667,1,下位,0
212,212,0,34,92,1,0,0,0,0,1,0,下位,0
134,134,0,236,618,0,0,0,212,92,-249,1,下位,0
117,117,0,52,136,0,0,0,134,618,153,6,下位,0
134,134,0,254,633,0,0,0,117,136,100,2,下位,0
101,101,0,47,110,0,0,0,134,633,517,5,下位,0
139,139,0,146,376,0,0,0,101,110,464,4,下位,0
421,421,0,61,159,0,0,0,139,376,616,5,下位,0
802,802,0,63,164,0,0,0,421,159,96,2,下位,0
413,413,0,210,519,0,0,0,802,164,-1034,2,下位,0
127,127,0,36,93,0,0,0,413,519,-1181,4,下位,0
212,212,0,68,181,0,0,0,127,93,-1293,2,下位,0
681,681,0,625,1630,0,0,0,212,181,-1454,2,下位,0
114,114,0,431,1105,0,0,0,681,1630,-922,9,下位,0
165,165,0,75,182,0,0,0,114,1105,-1,10,下位,0
879,879,0,46,125,0,0,0,165,182,-85,4,下位,0
337,337,0,501,1293,0,0,0,879,125,-1378,1,下位,0
516,516,0,35,88,1,0,0,0,0,1,0,下位,0
