REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
119,119,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
176,176,0,-6,-23,1,1,119,0,0,1,0,下位,0,119,0
68,68,0,132,385,1,2,295,0,0,1,0,下位,0,176,0
189,189,0,54,186,0,0,0,363,385,-228,2,下位,0,0,0
223,223,0,-6,-23,0,0,0,189,186,-338,1,下位,0,0,0
274,274,0,62,216,0,1,223,189,186,-338,1,下位,0,223,0
206,206,0,50,186,0,0,0,497,216,-923,1,下位,0,0,0
272,272,0,-6,-23,0,0,0,206,186,-1059,1,下位,0,0,0
134,134,0,-6,-23,0,1,272,206,186,-1059,1,下位,0,272,0
97,97,0,35,123,0,2,406,206,186,-1059,1,下位,0,134,0
267,267,0,-6,-23,0,0,0,503,123,-1769,1,下位,0,0,0
265,265,0,111,324,0,1,267,503,123,-1769,1,下位,0,267,0
96,96,0,-6,-23,0,0,0,532,324,-2301,2,下位,0,0,0
50,50,0,127,370,0,1,96,532,324,-2301,2,下位,0,96,0
647,647,0,110,309,0,0,0,146,370,-2183,2,下位,0,0,0
249,249,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
135,135,0,120,322,1,1,249,0,0,1,0,下位,0,249,0
298,298,0,-6,-23,0,0,0,384,322,-301,2,下位,0,0,0
509,509,0,104,283,0,1,298,384,322,-301,2,下位,0,298,0
196,196,0,48,177,0,0,0,807,283,-1303,2,下位,0,0,0
332,332,0,424,844,0,0,0,196,177,-1433,1,下位,0,0,0
348,348,0,-6,-23,0,0,0,332,844,-1108,6,下位,0,0,0
738,738,0,-6,-23,0,1,348,332,844,-1108,6,下位,0,348,0
423,423,0,-6,-23,0,2,1086,332,844,-1108,6,下位,0,738,0
255,255,0,22,72,0,3,1509,332,844,-1108,6,下位,0,423,0
300,300,0,181,370,0,0,0,1764,72,-3863,1,下位,0,0,0
83,83,0,75,272,0,0,0,300,370,-3962,3,下位,0,0,0
75,75,0,-6,-23,0,0,0,83,272,-3820,1,下位,0,0,0
144,144,0,132,403,0,1,75,83,272,-3820,1,下位,0,75,0
448,448,0,267,629,1,0,0,0,0,1,0,下位,0,0,0
699,699,0,-6,-23,0,0,0,448,629,-70,4,下位,0,0,0
275,275,0,-6,-23,0,1,699,448,629,-70,4,下位,0,699,0
380,380,0,208,553,0,2,974,448,629,-70,4,下位,0,275,0
240,240,0,35,86,0,0,0,1354,553,-1680,3,下位,0,0,0
180,180,0,226,550,1,0,0,0,0,1,0,下位,0,0,0
179,179,0,141,369,0,0,0,180,550,269,4,下位,0,0,0
354,354,0,-6,-23,0,0,0,179,369,358,2,下位,0,0,0
527,527,0,186,399,0,1,354,179,369,358,2,下位,0,354,0
451,451,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
308,308,0,-6,-23,1,1,451,0,0,1,0,下位,0,451,0
137,137,0,-6,-23,1,2,759,0,0,1,0,下位,0,308,0
69,69,0,45,143,1,3,896,0,0,1,0,下位,0,137,0
85,85,0,391,834,0,0,0,965,143,-1435,1,下位,0,0,0
535,535,0,79,300,0,0,0,85,834,-734,5,下位,0,0,0
179,179,0,-6,-23,0,0,0,535,300,-1270,1,下位,0,0,0
170,170,0,-6,-23,0,1,179,535,300,-1270,1,下位,0,179,0
110,110,0,110,310,0,2,349,535,300,-1270,1,下位,0,170,0
373,373,0,42,145,0,0,0,459,310,-1724,2,下位,0,0,0
65,65,0,236,522,0,0,0,373,145,-2162,1,下位,0,0,0
61,61,0,38,123,0,0,0,65,522,-1742,4,下位,0,0,0
220,220,0,224,614,0,0,0,61,123,-1715,1,下位,0,0,0
374,374,0,55,198,0,0,0,220,614,-1444,3,下位,0,0,0
492,492,0,45,143,0,0,0,374,198,-1831,1,下位,0,0,0
317,317,0,-6,-23,0,0,0,492,143,-2457,1,下位,0,0,0
218,218,0,113,269,0,1,317,492,143,-2457,1,下位,0,317,0
541,541,0,369,838,0,0,0,535,269,-3048,2,下位,0,0,0
219,219,0,165,513,1,0,0,0,0,1,0,下位,0,0,0
87,87,0,36,121,0,0,0,219,513,171,2,下位,0,0,0
252,252,0,209,534,0,0,0,87,121,156,1,下位,0,0,0
294,294,0,60,220,0,0,0,252,534,296,3,下位,0,0,0
180,180,0,123,395,0,0,0,294,220,56,1,下位,0,0,0
598,598,0,-6,-23,0,0,0,180,395,169,2,下位,0,0,0
432,432,0,78,289,0,1,598,180,395,169,2,下位,0,598,0
189,189,0,-6,-23,0,0,0,1030,289,-1175,1,下位,0,0,0
380,380,0,62,229,0,1,189,1030,289,-1175,1,下位,0,189,0
259,259,0,102,285,0,0,0,569,229,-1859,1,下位,0,0,0
186,186,0,54,193,0,0,0,259,285,-1979,2,下位,0,0,0
323,323,0,-6,-23,0,0,0,186,193,-2077,1,下位,0,0,0
527,527,0,-6,-23,0,1,323,186,193,-2077,1,下位,0,323,0
302,302,0,38,129,0,2,850,186,193,-2077,1,下位,0,527,0
199,199,0,313,833,0,0,0,1152,129,-3795,1,下位,0,0,0
476,476,0,27,80,0,0,0,199,833,-3273,4,下位,0,0,0
459,459,0,76,283,1,0,0,0,0,1,0,下位,0,0,0
188,188,0,-6,-23,0,0,0,459,283,-434,1,下位,0,0,0
423,423,0,-6,-23,0,1,188,459,283,-434,1,下位,0,188,0
166,166,0,-6,-23,0,2,611,459,283,-434,1,下位,0,423,0
283,283,0,383,793,0,3,777,459,283,-434,1,下位,0,166,0
328,328,0,-6,-23,0,0,0,1060,793,-1367,5,下位,0,0,0
114,114,0,-6,-23,0,1,328,1060,793,-1367,5,下位,0,328,0
86,86,0,66,245,0,2,442,1060,793,-1367,5,下位,0,114,0
516,516,0,37,132,0,0,0,528,245,-1995,1,下位,0,0,0
297,297,0,743,1812,0,0,0,516,132,-2670,1,下位,0,0,0
200,200,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
546,546,0,163,498,1,1,200,0,0,1,0,下位,0,200,0
236,236,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
120,120,0,-6,-23,1,1,236,0,0,1,0,下位,0,236,0
405,405,0,37,127,1,2,356,0,0,1,0,下位,0,120,0
477,477,0,35,120,0,0,0,761,127,-1108,1,下位,0,0,0
141,141,0,-6,-23,0,0,0,477,120,-1734,1,下位,0,0,0
168,168,0,1278,3202,0,1,141,477,120,-1734,1,下位,0,141,0
81,81,0,40,141,0,0,0,309,3202,960,14,下位,0,0,0
64,64,0,-6,-23,0,0,0,81,141,974,1,下位,0,0,0
205,205,0,124,355,0,1,64,81,141,974,1,下位,0,64,0
258,258,0,1571,4264,0,0,0,269,355,885,2,下位,0,0,0
267,267,0,38,129,0,0,0,258,4264,-2,21,上位,0,0,0
360,360,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
358,358,0,123,372,1,1,360,0,0,1,0,下位,0,360,0
451,451,0,-6,-23,0,0,0,718,372,-773,2,下位,0,0,0
439,439,0,-6,-23,0,1,451,718,372,-773,2,下位,0,451,0
94,94,0,212,536,0,2,890,718,372,-773,2,下位,0,439,0
291,291,0,57,212,0,0,0,984,536,-1821,3,下位,0,0,0
206,206,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
55,55,0,318,929,1,1,206,0,0,1,0,下位,0,206,0
71,71,0,-6,-23,0,0,0,261,929,499,4,下位,0,0,0
113,113,0,374,736,0,1,71,261,929,499,4,下位,0,71,0
623,623,0,107,286,0,0,0,184,736,924,5,下位,0,0,0
169,169,0,41,132,0,0,0,623,286,236,2,下位,0,0,0
194,194,0,-6,-23,0,0,0,169,132,103,1,下位,0,0,0
125,125,0,-6,-23,0,1,194,169,132,103,1,下位,0,194,0
273,273,0,58,211,0,2,319,169,132,103,1,下位,0,125,0
211,211,0,90,338,0,0,0,592,211,-659,1,下位,0,0,0
64,64,0,54,189,0,0,0,211,338,-651,1,下位,0,0,0
126,126,0,489,1169,0,0,0,64,189,-562,1,下位,0,0,0
458,458,0,-6,-23,1,0,0,0,0,1,0,下位,0,0,0
98,98,0,142,375,1,1,458,0,0,1,0,下位,0,458,0
142,142,0,94,248,0,0,0,556,375,-517,2,下位,0,0,0
375,375,0,-6,-23,0,0,0,142,248,-491,2,下位,0,0,0
226,226,0,280,619,0,1,375,142,248,-491,2,下位,0,375,0
