REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
692,692,0,127,356,1,0,0,0,0,1,0,下位,0,0,0
1204,1204,0,180,498,0,0,0,692,356,-759,1,下位,0,0,0
41,41,0,108,303,0,0,0,1204,498,-2203,2,下位,0,0,0
26,26,0,97,271,0,0,0,41,303,-1966,1,下位,0,0,0
41,41,0,526,1448,0,0,0,26,271,-1737,1,下位,0,0,0
299,299,0,108,301,0,0,0,41,1448,-355,5,下位,0,0,0
1207,1207,0,105,295,0,0,0,299,301,-536,1,下位,0,0,0
266,266,0,148,413,0,0,0,1207,295,-2188,1,下位,0,0,0
263,263,0,243,664,0,0,0,266,413,-2204,1,下位,0,0,0
603,603,0,85,238,1,0,0,0,0,1,0,下位,0,0,0
116,116,0,136,381,0,0,0,603,238,-734,1,下位,0,0,0
20,20,0,137,380,0,0,0,116,381,-540,1,下位,0,0,0
332,332,0,79,221,0,0,0,20,380,-192,2,下位,0,0,0
514,514,0,256,711,0,0,0,332,221,-506,1,下位,0,0,0
131,131,0,399,1102,0,0,0,514,711,-624,2,下位,0,0,0
631,631,0,231,642,0,0,0,131,1102,267,4,下位,0,0,0
135,135,0,577,1591,1,0,0,0,0,1,0,下位,0,0,0
632,632,0,108,302,0,0,0,135,1591,1374,6,下位,0,0,0
168,168,0,97,272,0,0,0,632,302,657,1,下位,0,0,0
266,266,0,125,349,0,0,0,168,272,658,1,下位,0,0,0
131,131,0,300,831,0,0,0,266,349,578,1,下位,0,0,0
154,154,0,786,2128,0,0,0,131,831,1198,3,下位,0,0,0
35,35,0,232,643,0,0,0,154,2128,644,6,下位,0,0,0
328,328,0,275,758,0,0,0,35,643,1231,2,下位,0,0,0
1202,1202,0,652,1802,0,0,0,328,758,1460,3,下位,0,0,0
902,902,0,114,319,1,0,0,0,0,1,0,下位,0,0,0
42,42,0,135,379,0,0,0,902,319,-1135,1,下位,0,0,0
59,59,0,90,253,0,0,0,42,379,-824,1,下位,0,0,0
49,49,0,240,666,0,0,0,59,253,-666,1,下位,0,0,0
299,299,0,101,282,0,0,0,49,666,-79,2,下位,0,0,0
301,301,0,212,589,0,0,0,299,282,-279,1,下位,0,0,0
131,131,0,222,616,0,0,0,301,589,-175,2,下位,0,0,0
189,189,0,50,139,0,0,0,131,616,230,2,下位,0,0,0
738,738,0,91,256,1,0,0,0,0,1,0,下位,0,0,0
168,168,0,96,270,0,0,0,738,256,-933,1,下位,0,0,0
84,84,0,102,285,0,0,0,168,270,-934,1,下位,0,0,0
89,89,0,129,360,0,0,0,84,285,-784,1,下位,0,0,0
386,386,0,115,322,0,0,0,89,360,-568,1,下位,0,0,0
872,872,0,197,547,0,0,0,386,322,-869,1,下位,0,0,0
535,535,0,112,313,0,0,0,872,547,-1728,2,下位,0,0,0
631,631,0,84,235,0,0,0,535,313,-2278,1,下位,0,0,0
131,131,0,194,539,1,0,0,0,0,1,0,下位,0,0,0
239,239,0,59,166,0,0,0,131,539,329,2,下位,0,0,0
137,137,0,107,299,0,0,0,239,166,110,1,下位,0,0,0
25,25,0,297,821,1,0,0,0,0,1,0,下位,0,0,0
883,883,0,206,572,0,0,0,25,821,782,3,下位,0,0,0
327,327,0,109,305,0,0,0,883,572,-70,2,下位,0,0,0
33,33,0,251,693,0,0,0,327,305,-292,1,下位,0,0,0
768,768,0,426,1179,0,0,0,33,693,348,3,下位,0,0,0
210,210,0,402,1113,1,0,0,0,0,1,0,下位,0,0,0
115,115,0,187,520,1,0,0,0,0,1,0,下位,0,0,0
86,86,0,1108,3012,1,0,0,0,0,1,0,下位,0,0,0
305,305,0,122,342,0,0,0,86,3012,467,10,下位,0,0,0
332,332,0,308,851,0,0,0,305,342,317,1,下位,0,0,0
489,489,0,105,294,0,0,0,332,851,633,3,下位,0,0,0
631,631,0,225,624,1,0,0,0,0,1,0,下位,0,0,0
308,308,0,348,966,0,0,0,631,624,-393,2,下位,0,0,0
77,77,0,1438,3875,0,0,0,308,966,76,3,下位,0,0,0
403,403,0,177,489,1,0,0,0,0,1,0,下位,0,0,0
226,226,0,74,207,0,0,0,403,489,-160,2,下位,0,0,0
