REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
86,86,0,127,127,1,0,0,0,0,1,0,下位,0
244,244,0,580,458,1,1,86,0,0,1,0,下位,0
115,115,0,139,139,0,0,0,330,458,64,8,下位,0
423,423,0,170,167,0,1,115,330,458,64,8,下位,0
593,593,0,109,109,0,0,0,538,167,-481,1,下位,0
920,920,0,527,524,0,1,593,538,167,-481,1,下位,0
561,561,0,115,115,0,0,0,1513,524,-2242,4,下位,0
417,417,0,61,61,0,1,561,1513,524,-2242,4,下位,0
107,107,0,316,316,0,2,978,1513,524,-2242,4,下位,0
787,787,0,89,89,0,0,0,1085,316,-3467,3,下位,0
197,197,0,94,94,0,1,787,1085,316,-3467,3,下位,0
90,90,0,88,47,0,2,984,1085,316,-3467,3,下位,0
504,504,0,219,219,0,0,0,1074,47,-4936,1,下位,0
100,100,0,174,171,1,0,0,0,0,1,0,下位,0
107,107,0,197,156,0,0,0,100,171,14,1,下位,0
218,218,0,116,116,0,0,0,107,156,1,1,下位,0
322,322,0,65,65,0,1,218,107,156,1,1,下位,0
206,206,0,109,109,0,2,540,107,156,1,1,下位,0
311,311,0,1027,884,0,3,746,107,156,1,1,下位,0
71,71,0,99,99,0,0,0,1057,884,-497,11,下位,0
50,50,0,154,151,0,1,71,1057,884,-497,11,下位,0
106,106,0,58,58,0,0,0,121,151,-438,3,下位,0
77,77,0,231,166,0,1,106,121,151,-438,3,下位,0
96,96,0,498,425,0,0,0,183,166,-504,3,下位,0
79,79,0,94,94,0,0,0,96,425,-231,5,下位,0
300,300,0,50,50,0,1,79,96,425,-231,5,下位,0
400,400,0,91,91,0,2,379,96,425,-231,5,下位,0
94,94,0,660,580,0,3,779,96,425,-231,5,下位,0
204,204,0,99,99,0,0,0,873,580,-798,7,下位,0
134,134,0,122,119,0,1,204,873,580,-798,7,下位,0
62,62,0,162,162,1,0,0,0,0,1,0,下位,0
43,43,0,157,154,0,0,0,62,162,65,1,下位,0
107,107,0,99,99,0,0,0,43,154,151,3,下位,0
96,96,0,1282,1050,0,1,107,43,154,151,3,下位,0
867,867,0,95,59,0,0,0,203,1050,979,17,下位,0
322,322,0,124,124,0,0,0,867,59,-334,1,下位,0
225,225,0,95,95,0,1,322,867,59,-334,1,下位,0
228,228,0,410,343,0,2,547,867,59,-334,1,下位,0
191,191,0,108,108,0,0,0,775,343,-998,5,下位,0
49,49,0,6969,5991,0,1,191,775,343,-998,5,下位,0
132,132,0,691,566,0,0,0,240,5991,4721,97,下位,0
100,100,0,435,382,0,0,0,132,566,5078,9,下位,0
60,60,0,703,593,1,0,0,0,0,1,0,下位,0
214,214,0,248,158,0,0,0,60,593,499,7,下位,0
217,217,0,109,109,0,0,0,214,158,318,3,下位,0
108,108,0,93,93,0,1,217,214,158,318,3,下位,0
213,213,0,109,109,0,2,325,214,158,318,3,下位,0
325,325,0,220,220,0,3,538,214,158,318,3,下位,0
96,96,0,114,114,0,0,0,863,220,-516,1,下位,0
916,916,0,782,662,0,1,96,863,220,-516,1,下位,0
304,304,0,106,106,0,0,0,1012,662,-1341,10,下位,0
74,74,0,381,344,0,1,304,1012,662,-1341,10,下位,0
332,332,0,400,400,0,0,0,378,344,-1489,6,下位,0
233,233,0,101,101,0,0,0,332,400,-1614,3,下位,0
543,543,0,114,114,0,1,233,332,400,-1614,3,下位,0
138,138,0,209,209,0,0,0,776,114,-2627,1,下位,0
36,36,0,116,116,0,0,0,138,209,-2636,1,下位,0
53,53,0,272,235,0,1,36,138,209,-2636,1,下位,0
94,94,0,99,99,0,0,0,89,235,-2426,5,下位,0
147,147,0,278,272,0,1,94,89,235,-2426,5,下位,0
396,396,0,79,79,0,0,0,241,272,-2437,5,下位,0
107,107,0,131,131,0,1,396,241,272,-2437,5,下位,0
115,115,0,89,89,0,2,503,241,272,-2437,5,下位,0
343,343,0,163,119,0,3,618,241,272,-2437,5,下位,0
81,81,0,173,170,1,0,0,0,0,1,0,下位,0
119,119,0,139,139,0,0,0,81,170,43,1,下位,0
745,745,0,843,674,0,1,119,81,170,43,1,下位,0
106,106,0,104,104,0,0,0,864,674,-511,11,下位,0
238,238,0,67,67,0,1,106,864,674,-511,11,下位,0
210,210,0,316,285,0,2,344,864,674,-511,11,下位,0
210,210,0,110,110,0,0,0,554,285,-932,4,下位,0
119,119,0,77,77,0,1,210,554,285,-932,4,下位,0
229,229,0,120,120,0,2,329,554,285,-932,4,下位,0
122,122,0,157,157,0,3,558,554,285,-932,4,下位,0
102,102,0,9272,8180,0,4,680,554,285,-932,4,下位,0
206,206,0,1020,865,0,0,0,782,8180,6476,97,下位,0
491,491,0,464,422,1,0,0,0,0,1,0,下位,0
104,104,0,107,107,0,0,0,491,422,-354,5,下位,0
36,36,0,128,125,0,1,104,491,422,-354,5,下位,0
145,145,0,107,107,0,0,0,140,125,-344,3,下位,0
412,412,0,48,48,0,1,145,140,125,-344,3,下位,0
90,90,0,148,145,0,2,557,140,125,-344,3,下位,0
88,88,0,78,78,0,0,0,647,145,-1067,3,下位,0
80,80,0,99,99,0,1,88,647,145,-1067,3,下位,0
494,494,0,104,104,0,2,168,647,145,-1067,3,下位,0
193,193,0,329,292,0,3,662,647,145,-1067,3,下位,0
222,222,0,116,116,0,0,0,855,292,-1847,4,下位,0
279,279,0,185,143,0,1,222,855,292,-1847,4,下位,0
115,115,0,4559,4097,0,0,0,501,143,-2380,3,下位,0
111,111,0,115,115,0,0,0,115,4097,1535,33,下位,0
402,402,0,111,111,0,1,111,115,4097,1535,33,下位,0
75,75,0,106,106,0,2,513,115,4097,1535,33,下位,0
352,352,0,1006,889,0,3,588,115,4097,1535,33,下位,0
124,124,0,358,358,0,0,0,940,889,1268,14,下位,0
210,210,0,450,413,0,0,0,124,358,1430,2,下位,0
567,567,0,273,270,1,0,0,0,0,1,0,下位,0
221,221,0,188,185,0,0,0,567,270,-626,1,下位,0
123,123,0,120,120,0,0,0,221,185,-791,1,下位,0
124,124,0,132,91,0,1,123,221,185,-791,1,下位,0
210,210,0,176,173,0,0,0,247,91,-971,1,下位,0
185,185,0,100,100,0,0,0,210,173,-1130,1,下位,0
201,201,0,276,270,0,1,185,210,173,-1130,1,下位,0
