REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
304,210,0,51,132,1,0,0,0,0,1,0,下位,0
94,94,0,51,132,1,1,210,0,0,1,0,下位,0
28,22,104,2013,5018,0,0,0,304,132,-301,1,下位,0
6,6,0,2013,5018,0,1,22,304,132,-301,1,下位,0
37,37,0,1439,3227,0,0,0,28,5018,4781,7,下位,0
34,34,0,125,286,0,0,0,37,3227,7955,7,下位,0
145,41,312,59,126,0,0,0,34,286,8192,1,下位,0
104,63,209,59,126,0,1,41,34,286,8192,1,下位,0
41,15,101,59,126,0,2,104,34,286,8192,1,下位,0
26,26,0,59,126,0,3,119,34,286,8192,1,下位,0
660,124,99,72,160,0,0,0,145,126,8423,1,下位,0
536,308,99,72,160,0,1,124,145,126,8423,1,下位,0
228,19,0,72,160,0,2,432,145,126,8423,1,下位,0
209,209,0,72,160,0,3,451,145,126,8423,1,下位,0
81,81,0,106,261,0,0,0,660,160,7739,1,下位,0
414,131,0,65,140,0,0,0,81,261,7884,1,下位,0
283,283,0,65,140,0,1,131,81,261,7884,1,下位,0
432,432,0,117,268,0,0,0,414,140,7433,1,下位,0
230,230,0,66,160,0,0,0,432,268,7084,1,下位,0
125,125,0,74,163,0,0,0,230,160,6915,1,下位,0
8,8,0,136,341,0,0,0,125,163,6899,1,下位,0
104,104,0,80,197,1,0,0,0,0,1,0,下位,0
116,116,0,66,159,0,0,0,104,197,49,1,下位,0
102,101,119,190,492,0,0,0,116,159,42,1,下位,0
1,1,0,190,492,0,1,101,116,159,42,1,下位,0
501,40,0,49,128,0,0,0,102,492,508,1,下位,0
461,52,0,49,128,0,1,40,102,492,508,1,下位,0
409,409,0,49,128,0,2,92,102,492,508,1,下位,0
492,125,30,883,2292,0,0,0,501,128,-79,1,下位,0
367,367,30,883,2292,0,1,125,501,128,-79,1,下位,0
0,0,0,883,2292,0,2,492,501,128,-79,1,下位,0
126,126,0,81,182,0,0,0,492,2292,1540,1,下位,0
133,133,0,229,556,0,0,0,126,182,1542,1,下位,0
510,400,107,72,172,0,0,0,133,556,1908,3,下位,0
110,110,0,72,172,0,1,400,133,556,1908,3,下位,0
582,320,187,2138,5461,1,0,0,0,0,1,0,下位,0
262,83,187,2138,5461,1,1,320,0,0,1,0,下位,0
179,175,85,2138,5461,1,2,403,0,0,1,0,下位,0
4,4,0,2138,5461,1,3,578,0,0,1,0,下位,0
168,168,0,54,140,1,0,0,0,0,1,0,下位,0
96,96,0,65,141,0,0,0,168,140,-99,1,下位,0
134,134,0,125,301,0,0,0,96,141,-95,1,下位,0
524,339,0,63,135,0,0,0,134,301,15,1,下位,0
185,185,0,63,135,0,1,339,134,301,15,1,下位,0
110,110,0,66,146,0,0,0,524,135,-598,1,下位,0
112,86,87,66,151,0,0,0,110,146,-609,1,下位,0
26,26,0,66,151,0,1,86,110,146,-609,1,下位,0
541,372,96,253,638,0,0,0,112,151,-531,1,下位,0
169,156,0,253,638,0,1,372,112,151,-531,1,下位,0
13,13,0,253,638,0,2,528,112,151,-531,1,下位,0
110,110,0,72,183,0,0,0,541,638,-570,1,下位,0
227,166,113,65,142,0,0,0,110,183,-544,1,下位,0
61,61,0,65,142,0,1,166,110,183,-544,1,下位,0
65,65,0,132,316,0,0,0,227,142,-613,1,下位,0
196,125,61,52,132,1,0,0,0,0,1,0,下位,0
71,71,0,52,132,1,1,125,0,0,1,0,下位,0
124,124,0,68,149,0,0,0,196,132,-86,1,下位,0
329,329,0,122,194,0,0,0,124,149,-114,1,下位,0
28,28,0,119,292,0,0,0,329,194,-390,2,下位,0
993,33,0,109,283,0,0,0,28,292,-138,1,下位,0
960,93,0,109,283,0,1,33,28,292,-138,1,下位,0
867,417,0,109,283,0,2,126,28,292,-138,1,下位,0
450,213,0,109,283,0,3,543,28,292,-138,1,下位,0
237,130,0,109,283,0,4,756,28,292,-138,1,下位,0
107,107,0,109,283,0,5,886,28,292,-138,1,下位,0
25,25,0,65,140,0,0,0,993,283,-1274,1,下位,0
759,531,0,60,139,0,0,0,25,140,-1170,1,下位,0
228,228,0,60,139,0,1,531,25,140,-1170,1,下位,0
