REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
233,233,0,196,670,1,0,0,0,0,1,0,下位,0
373,373,0,28,68,0,0,0,233,687,300,5,下位,0
144,144,0,28,64,0,0,0,373,85,-237,1,下位,0
545,545,0,28,68,0,0,0,144,81,-396,1,下位,0
524,524,0,277,1129,0,0,0,545,85,-1219,1,下位,0
334,334,0,27,62,0,0,0,524,1146,-946,5,下位,0
250,250,0,27,62,0,0,0,334,79,-1424,1,下位,0
419,419,0,278,1133,0,0,0,250,79,-1762,1,下位,0
345,345,0,28,66,0,0,0,419,1150,-1310,5,下位,0
262,262,0,28,68,1,0,0,0,0,1,0,下位,0
876,876,0,229,856,0,0,0,262,85,-351,1,下位,0
202,202,0,132,546,0,0,0,876,873,-938,5,下位,0
588,588,0,127,473,0,0,0,202,563,-712,2,下位,0
342,342,0,28,68,0,0,0,588,490,-1202,3,下位,0
684,684,0,1077,4455,0,0,0,342,85,-1687,1,下位,0
688,688,0,235,931,0,0,0,684,4472,1645,12,上位,0
40,40,0,28,68,0,0,0,688,948,1446,4,下位,0
34,34,0,59,222,0,0,0,40,85,1464,1,下位,0
35,35,0,28,68,0,0,0,34,239,1646,1,下位,0
688,688,0,28,68,0,0,0,35,85,1673,1,下位,0
155,155,0,28,64,0,0,0,688,85,611,1,下位,0
430,430,0,28,66,1,0,0,0,0,1,0,下位,0
160,160,0,194,811,0,0,0,430,83,-633,1,下位,0
436,436,0,126,537,0,0,0,160,828,-72,4,下位,0
461,461,0,194,771,0,0,0,436,554,-245,2,下位,0
164,164,0,62,222,0,0,0,461,788,-225,3,下位,0
487,487,0,94,350,0,0,0,164,239,-259,2,下位,0
181,181,0,28,68,0,0,0,487,367,-704,2,下位,0
554,554,0,28,66,0,0,0,181,85,-921,1,下位,0
29,29,0,153,614,0,0,0,554,83,-1761,1,下位,0
419,419,0,27,62,0,0,0,29,631,-1178,3,下位,0
558,558,0,240,1033,0,0,0,419,79,-1797,1,下位,0
558,558,0,97,346,0,0,0,558,1050,-1677,3,下位,0
328,328,0,68,221,0,0,0,558,363,-2244,2,下位,0
259,259,0,28,66,0,0,0,328,238,-2553,2,下位,0
287,287,0,124,481,1,0,0,0,0,1,0,下位,0
931,931,0,650,2701,0,0,0,287,498,21,2,下位,0
453,453,0,28,66,0,0,0,931,2718,1187,8,上位,0
369,369,0,127,502,0,0,0,453,83,515,1,下位,0
32,32,0,123,459,0,0,0,369,519,419,2,下位,0
48,48,0,28,66,0,0,0,32,476,842,3,下位,0
39,39,0,28,64,0,0,0,48,83,845,1,下位,0
139,139,0,58,216,0,0,0,39,81,861,1,下位,0
539,539,0,191,796,0,0,0,139,233,862,1,下位,0
411,411,0,189,736,0,0,0,539,813,777,3,下位,0
705,705,0,28,66,0,0,0,411,753,845,4,下位,0
687,687,0,64,225,0,0,0,705,83,-247,1,下位,0
664,664,0,158,702,1,0,0,0,0,1,0,下位,0
49,49,0,132,486,0,0,0,664,719,-387,2,下位,0
352,352,0,28,68,0,0,0,49,503,34,3,下位,0
180,180,0,28,68,0,0,0,352,85,-468,1,下位,0
690,690,0,28,66,0,0,0,180,85,-683,1,下位,0
202,202,0,186,773,0,0,0,690,83,-1750,1,下位,0
290,290,0,28,68,0,0,0,202,790,-1297,3,下位,0
688,688,0,189,722,0,0,0,290,85,-1695,1,下位,0
156,156,0,28,68,0,0,0,688,739,-2103,3,下位,0
720,720,0,131,480,0,0,0,156,85,-2278,1,下位,0
61,61,0,117,472,0,0,0,720,497,-2981,3,下位,0
708,708,0,141,573,0,0,0,61,489,-2594,3,下位,0
285,285,0,28,68,0,0,0,708,590,-3184,3,下位,0
50,50,0,60,224,0,0,0,285,85,-3574,1,下位,0
94,94,0,28,66,0,0,0,50,241,-3416,1,下位,0
511,511,0,70,218,1,0,0,0,0,1,0,下位,0
549,549,0,115,471,0,0,0,511,235,-616,3,下位,0
542,542,0,27,63,0,0,0,549,488,-1043,2,下位,0
295,295,0,66,242,0,0,0,542,80,-1866,1,下位,0
445,445,0,28,69,1,0,0,0,0,1,0,下位,0
714,714,0,28,68,0,0,0,445,86,-655,1,下位,0
318,318,0,28,64,0,0,0,714,85,-1760,1,下位,0
44,44,0,252,1074,0,0,0,318,81,-2209,1,下位,0
285,285,0,28,66,0,0,0,44,1091,-1191,3,下位,0
332,332,0,91,334,0,0,0,285,83,-1583,1,下位,0
44,44,0,31,81,0,0,0,332,351,-1785,2,下位,0
210,210,0,242,917,0,0,0,44,98,-1760,1,下位,0
150,150,0,28,66,0,0,0,210,934,-1176,5,下位,0
36,36,0,28,69,0,0,0,150,83,-1343,1,下位,0
689,689,0,733,3066,0,0,0,36,86,-1317,1,下位,0
219,219,0,28,68,1,0,0,0,0,1,0,下位,0
284,284,0,28,68,0,0,0,219,85,-279,1,下位,0
281,281,0,307,1188,0,0,0,284,85,-667,1,下位,0
224,224,0,28,64,0,0,0,281,1205,70,6,下位,0
84,84,0,28,66,0,0,0,224,81,-222,1,下位,0
50,50,0,28,68,0,0,0,84,83,-279,1,下位,0
673,673,0,90,309,0,0,0,50,85,-277,1,下位,0
62,62,0,952,3846,0,0,0,673,326,-1073,2,下位,0
366,366,0,28,66,0,0,0,62,3863,372,11,上位,0
220,220,0,109,387,0,0,0,366,83,-155,1,下位,0
139,139,0,65,224,0,0,0,220,404,-118,3,下位,0
250,250,0,571,2266,0,0,0,139,241,-109,2,下位,0
163,163,0,28,68,0,0,0,250,2283,1757,7,上位,0
734,734,0,101,411,0,0,0,163,85,1570,1,下位,0
467,467,0,171,715,0,0,0,734,428,775,2,下位,0
80,80,0,92,308,0,0,0,467,732,729,3,下位,0
285,285,0,87,343,0,0,0,80,325,921,3,下位,0
526,526,0,2166,8933,0,0,0,285,360,806,2,下位,0
282,282,0,28,66,1,0,0,0,0,1,0,下位,0
449,449,0,108,393,0,0,0,282,83,-386,1,下位,0
506,506,0,28,68,0,0,0,449,410,-724,3,下位,0
334,334,0,189,760,0,0,0,506,85,-1482,1,下位,0
151,151,0,72,232,0,0,0,334,777,-1262,3,下位,0
58,58,0,28,66,0,0,0,151,249,-1265,2,下位,0
342,342,0,28,68,0,0,0,58,83,-1279,1,下位,0
512,512,0,154,542,0,0,0,342,85,-1764,1,下位,0
685,685,0,280,1195,0,0,0,512,559,-2058,4,下位,0
66,66,0,28,68,0,0,0,685,1212,-1988,5,下位,0
688,688,0,84,324,0,0,0,66,85,-2013,1,下位,0
350,350,0,126,489,0,0,0,688,341,-2819,2,下位,0
42,42,0,107,394,0,0,0,350,506,-2896,2,下位,0
341,341,0,72,226,0,0,0,42,411,-2555,2,下位,0
137,137,0,848,3635,0,0,0,341,243,-2880,2,下位,0
606,606,0,156,654,0,0,0,137,3652,544,9,上位,0
31,31,0,577,2291,0,0,0,606,671,205,3,下位,0
566,566,0,28,68,0,0,0,31,2308,374,7,上位,0
108,108,0,86,296,0,0,0,566,85,-484,1,下位,0
99,99,0,28,68,0,0,0,108,313,-351,2,下位,0
711,711,0,103,380,0,0,0,99,85,-431,1,下位,0
31,31,0,87,310,0,0,0,711,397,-1219,2,下位,0
143,143,0,269,1219,1,0,0,0,0,1,0,下位,0
646,646,0,223,886,0,0,0,143,1236,999,3,下位,0
230,230,0,28,66,0,0,0,646,903,825,4,下位,0
744,744,0,774,3170,0,0,0,230,83,525,1,下位,0
546,546,0,28,66,0,0,0,744,3187,2472,10,上位,0
354,354,0,102,417,0,0,0,546,83,1645,1,下位,0
357,357,0,28,66,0,0,0,354,434,1489,2,下位,0
144,144,0,59,220,0,0,0,357,83,977,1,下位,0
682,682,0,59,222,0,0,0,144,237,974,1,下位,0
548,548,0,63,222,0,0,0,682,239,76,1,下位,0
198,198,0,68,222,0,0,0,548,239,-598,2,下位,0
245,245,0,28,68,0,0,0,198,239,-689,2,下位,0
158,158,0,28,66,0,0,0,245,85,-1012,1,下位,0
555,555,0,209,901,0,0,0,158,83,-1192,1,下位,0
689,689,0,28,68,0,0,0,555,918,-1199,3,下位,0
103,103,0,28,66,0,0,0,689,85,-2262,1,下位,0
440,440,0,28,64,0,0,0,103,83,-2351,1,下位,0
497,497,0,156,623,0,0,0,440,81,-3003,1,下位,0
163,163,0,28,66,0,0,0,497,640,-3191,3,下位,0
571,571,0,86,289,0,0,0,163,83,-3380,1,下位,0
260,260,0,68,235,1,0,0,0,0,1,0,下位,0
450,450,0,28,68,0,0,0,260,252,-180,2,下位,0
1032,1032,0,152,653,0,0,0,450,85,-845,1,下位,0
156,156,0,28,64,0,0,0,1032,670,-1895,2,下位,0
442,442,0,28,66,0,0,0,156,81,-2074,1,下位,0
30,30,0,102,367,0,0,0,442,83,-2728,1,下位,0
237,237,0,28,68,0,0,0,30,384,-2394,2,下位,0
238,238,0,69,212,0,0,0,237,85,-2704,1,下位,0
41,41,0,28,66,0,0,0,238,229,-2872,2,下位,0
466,466,0,67,222,0,0,0,41,83,-2857,1,下位,0
118,118,0,192,802,0,0,0,466,239,-3395,2,下位,0
556,556,0,28,68,0,0,0,118,819,-2773,3,下位,0
352,352,0,28,66,0,0,0,556,85,-3615,1,下位,0
681,681,0,53,138,0,0,0,352,83,-4119,1,下位,0
162,162,0,30,78,0,0,0,681,155,-5099,2,下位,0
283,283,0,28,64,0,0,0,162,95,-5274,1,下位,0
281,281,0,28,68,0,0,0,283,81,-5665,1,下位,0
131,131,0,28,68,0,0,0,281,85,-6048,1,下位,0
347,347,0,28,68,0,0,0,131,85,-6181,1,下位,0
569,569,0,1084,4194,0,0,0,347,85,-6674,1,下位,0
143,143,0,67,226,0,0,0,569,4211,-3411,13,上位,0
366,366,0,28,66,1,0,0,0,0,1,0,下位,0
686,686,0,28,64,0,0,0,366,83,-526,1,下位,0
345,345,0,565,2269,0,0,0,686,81,-1588,1,下位,0
257,257,0,199,850,0,0,0,345,2286,123,6,上位,0
253,253,0,249,998,0,0,0,257,867,562,3,下位,0
695,695,0,100,416,0,0,0,253,1015,1155,4,下位,0
43,43,0,28,68,0,0,0,695,433,430,2,下位,0
319,319,0,71,214,0,0,0,43,85,443,1,下位,0
132,132,0,70,207,0,0,0,319,231,142,2,下位,0
43,43,0,28,64,0,0,0,132,224,146,2,下位,0
385,385,0,153,620,0,0,0,43,81,155,1,下位,0
685,685,0,28,68,0,0,0,385,637,150,2,下位,0
771,771,0,28,66,0,0,0,685,85,-907,1,下位,0
