REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
163,163,0,-5,-11,1,0,0,0,0,1,0,下位,0
554,554,0,146,270,1,1,163,0,0,1,0,下位,0
385,385,0,474,909,0,0,0,717,270,-826,6,下位,0
217,217,0,360,698,0,0,0,385,909,-500,10,下位,0
108,108,0,-5,-11,0,0,0,217,698,-130,7,下位,0
245,245,0,128,238,0,1,108,217,698,-130,7,下位,0
8,8,0,-5,-11,0,0,0,353,238,-437,5,下位,0
121,121,0,186,349,0,1,8,353,238,-437,5,下位,0
323,323,0,97,186,0,0,0,129,349,-294,5,下位,0
92,92,0,-5,-11,0,0,0,323,186,-597,3,下位,0
215,215,0,-5,-11,0,1,92,323,186,-597,3,下位,0
142,142,0,-5,-11,0,2,307,323,186,-597,3,下位,0
111,111,0,-5,-11,0,3,449,323,186,-597,3,下位,0
350,350,0,124,228,0,4,560,323,186,-597,3,下位,0
230,230,0,274,535,1,0,0,0,0,1,0,下位,0
160,160,0,146,279,0,0,0,230,535,188,4,下位,0
135,135,0,224,432,0,0,0,160,279,225,4,下位,0
112,112,0,130,241,0,0,0,135,432,453,5,下位,0
90,90,0,-5,-11,0,0,0,112,241,525,6,下位,0
324,324,0,-5,-11,0,1,90,112,241,525,6,下位,0
821,821,0,-5,-11,0,2,414,112,241,525,6,下位,0
82,82,0,95,177,0,3,1235,112,241,525,6,下位,0
70,70,0,166,318,0,0,0,1317,177,-1326,4,下位,0
209,209,0,-5,-11,0,0,0,70,318,-1114,4,下位,0
788,788,0,326,613,0,1,209,70,318,-1114,4,下位,0
53,53,0,94,173,0,0,0,997,613,-2022,10,下位,0
223,223,0,156,297,1,0,0,0,0,1,0,下位,0
116,116,0,-5,-11,0,0,0,223,297,-39,5,下位,0
756,756,0,-5,-11,0,1,116,223,297,-39,5,下位,0
378,378,0,342,640,0,2,872,223,297,-39,5,下位,0
489,489,0,344,660,0,0,0,1250,640,-1313,12,下位,0
58,58,0,1080,2096,0,0,0,489,660,-1394,7,下位,0
7,7,0,460,901,0,0,0,58,2096,615,13,下位,0
442,442,0,-5,-11,1,0,0,0,0,1,0,下位,0
167,167,0,-5,-11,1,1,442,0,0,1,0,下位,0
205,205,0,1252,2444,1,2,609,0,0,1,0,下位,0
9,9,0,179,338,0,0,0,814,2444,391,12,上位,0
840,840,0,-5,-11,0,0,0,9,338,716,5,下位,0
358,358,0,-5,-11,0,1,840,9,338,716,5,下位,0
103,103,0,97,182,0,2,1198,9,338,716,5,下位,0
476,476,0,-5,-11,0,0,0,1301,182,-1094,4,下位,0
191,191,0,-5,-11,0,1,476,1301,182,-1094,4,下位,0
109,109,0,598,1146,0,2,667,1301,182,-1094,4,下位,0
375,375,0,122,231,0,0,0,776,1146,-1145,13,下位,0
101,101,0,141,269,0,0,0,375,231,-1482,4,下位,0
836,836,0,-5,-11,0,0,0,101,269,-1366,4,下位,0
288,288,0,-5,-11,0,1,836,101,269,-1366,4,下位,0
207,207,0,96,176,0,2,1124,101,269,-1366,4,下位,0
74,74,0,1854,3656,1,0,0,0,0,1,0,下位,0
22,22,0,152,292,0,0,0,74,3656,3545,15,下位,0
138,138,0,-5,-11,0,0,0,22,292,3804,4,下位,0
640,640,0,605,1185,0,1,138,22,292,3804,4,下位,0
129,129,0,-5,-11,0,0,0,778,1185,3800,7,下位,0
193,193,0,244,471,0,1,129,778,1185,3800,7,下位,0
133,133,0,303,588,0,0,0,322,471,3773,5,下位,0
181,181,0,214,398,0,0,0,133,588,4160,5,下位,0
772,772,0,-5,-11,0,0,0,181,398,4284,8,下位,0
578,578,0,83,157,0,1,772,181,398,4284,8,下位,0
367,367,0,86,163,0,0,0,1350,157,2385,3,下位,0
344,344,0,-5,-11,1,0,0,0,0,1,0,下位,0
356,356,0,2488,4891,1,1,344,0,0,1,0,下位,0
