REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
101,101,0,82,88,1,0,0,0,0,1,0,下位,0,0,0
1193,210,112,154,276,0,0,0,101,140,-22,1,下位,0,0,0
983,134,57,154,276,0,1,210,101,140,-22,1,下位,0,210,55
849,849,0,154,276,0,2,344,101,140,-22,1,下位,0,134,57
970,970,0,76,68,0,0,0,1193,328,-1506,3,下位,0,0,0
31,31,0,174,313,1,0,0,0,0,1,0,下位,0,0,0
1573,602,121,100,294,0,0,0,31,365,316,5,下位,0,0,0
971,971,0,100,294,0,1,602,31,365,316,5,下位,0,602,121
119,119,0,66,110,0,0,0,1573,346,-1754,2,下位,0,0,0
885,885,0,76,31,0,0,0,119,162,-1784,1,下位,0,0,0
894,759,115,73,36,0,0,0,885,83,-3128,1,下位,0,0,0
135,135,0,73,36,0,1,759,885,83,-3128,1,下位,0,759,115
557,557,0,74,21,0,0,0,894,88,-4367,1,下位,0,0,0
522,522,0,175,390,1,0,0,0,0,1,0,下位,0,0,0
614,614,0,114,266,1,0,0,0,0,1,0,下位,0,0,0
490,490,0,62,48,1,0,0,0,0,1,0,下位,0,0,0
691,691,0,80,84,0,0,0,490,100,-689,1,下位,0,0,0
761,761,0,76,23,1,0,0,0,0,1,0,下位,0,0,0
793,793,0,157,173,0,0,0,761,75,-1151,1,下位,0,0,0
272,272,0,66,114,1,0,0,0,0,1,0,下位,0,0,0
256,256,0,91,150,0,0,0,272,166,-272,1,下位,0,0,0
175,175,0,120,249,1,0,0,0,0,1,0,下位,0,0,0
424,424,0,123,180,0,0,0,175,301,20,3,下位,0,0,0
582,582,0,74,107,0,0,0,424,232,-432,3,下位,0,0,0
865,865,0,96,142,0,0,0,582,159,-1212,1,下位,0,0,0
189,189,0,180,237,1,0,0,0,0,1,0,下位,0,0,0
794,794,0,62,50,0,0,0,189,289,-15,4,下位,0,0,0
285,285,0,164,245,1,0,0,0,0,1,0,下位,0,0,0
1309,95,175,108,135,0,0,0,285,297,-162,5,下位,0,0,0
1214,249,59,108,135,0,1,95,285,297,-162,5,下位,0,95,116
965,965,0,108,135,0,2,344,285,297,-162,5,下位,0,249,59
968,373,178,68,103,0,0,0,1309,187,-1911,2,下位,0,0,0
595,77,117,68,103,0,1,373,1309,187,-1911,2,下位,0,373,61
518,518,0,68,103,0,2,450,1309,187,-1911,2,下位,0,77,117
641,641,0,2001,10308,0,0,0,968,155,-3139,1,下位,0,0,0
184,184,0,62,42,0,0,0,641,10360,745,16,上位,0,0,0
664,664,0,152,343,1,0,0,0,0,1,0,下位,0,0,0
571,571,0,137,142,0,0,0,664,395,-675,3,下位,0,0,0
264,264,0,72,38,0,0,0,571,194,-1402,3,下位,0,0,0
203,203,0,118,102,0,0,0,264,90,-1738,1,下位,0,0,0
257,84,123,79,169,0,0,0,203,154,-1911,2,下位,0,0,0
173,173,0,79,169,0,1,84,203,154,-1911,2,下位,0,84,123
754,754,0,83,92,0,0,0,257,221,-1981,1,下位,0,0,0
320,320,0,1452,7476,0,0,0,754,144,-3053,1,下位,0,0,0
851,851,0,78,161,0,0,0,320,7528,755,15,上位,0,0,0
978,978,0,80,91,1,0,0,0,0,1,0,下位,0,0,0
739,739,0,1570,8140,1,0,0,0,0,1,0,下位,0,0,0
931,205,59,83,150,1,0,0,0,0,1,0,下位,0,0,0
726,726,0,83,150,1,1,205,0,0,1,0,下位,0,205,59
772,772,0,94,73,0,0,0,931,202,-1240,2,下位,0,0,0
40,40,0,78,165,1,0,0,0,0,1,0,下位,0,0,0
210,210,0,849,4030,0,0,0,40,217,153,1,下位,0,0,0
479,479,0,91,77,1,0,0,0,0,1,0,下位,0,0,0
220,220,0,168,322,0,0,0,479,129,-643,1,下位,0,0,0
1304,268,122,101,269,1,0,0,0,0,1,0,下位,0,0,0
1036,329,61,101,269,1,1,268,0,0,1,0,下位,0,268,61
707,707,0,101,269,1,2,597,0,0,1,0,下位,0,329,61
148,148,0,102,132,0,0,0,1304,321,-1659,2,下位,0,0,0
974,974,0,118,200,0,0,0,148,184,-1714,1,下位,0,0,0
163,163,0,111,182,1,0,0,0,0,1,0,下位,0,0,0
530,530,0,66,116,1,0,0,0,0,1,0,下位,0,0,0
295,295,0,1007,5006,0,0,0,530,168,-686,1,下位,0,0,0
88,88,0,151,207,0,0,0,295,5058,759,10,上位,0,0,0
438,438,0,113,108,1,0,0,0,0,1,0,下位,0,0,0
524,524,0,182,232,0,0,0,438,160,-545,2,下位,0,0,0
141,141,0,174,231,0,0,0,524,284,-1106,3,下位,0,0,0
2275,740,173,69,108,0,0,0,141,283,-1050,4,下位,0,0,0
1535,613,110,69,108,0,1,740,141,283,-1050,4,下位,0,740,63
922,922,0,69,108,0,2,1353,141,283,-1050,4,下位,0,613,110
833,833,0,102,141,0,0,0,2275,160,-4387,1,下位,0,0,0
822,822,0,100,64,1,0,0,0,0,1,0,下位,0,0,0
964,964,0,94,153,0,0,0,822,116,-1209,2,下位,0,0,0
595,595,0,1226,6412,0,0,0,964,205,-2559,1,下位,0,0,0
306,306,0,66,98,1,0,0,0,0,1,0,下位,0,0,0
891,891,0,1166,5589,0,0,0,306,150,-343,1,下位,0,0,0
160,160,0,62,44,0,0,0,891,5641,753,11,上位,0,0,0
106,106,0,859,4013,1,0,0,0,0,1,0,下位,0,0,0
1327,372,354,89,152,0,0,0,106,4065,769,8,上位,0,0,0
955,498,291,89,152,0,1,372,106,4065,769,8,上位,0,372,63
457,145,172,89,152,0,2,870,106,4065,769,8,上位,0,498,119
312,81,117,89,152,0,3,1015,106,4065,769,8,上位,0,145,55
231,231,0,89,152,0,4,1096,106,4065,769,8,上位,0,81,117
303,303,0,57,54,0,0,0,1327,204,-814,2,下位,0,0,0
920,920,0,76,172,0,0,0,303,106,-1197,1,下位,0,0,0
423,423,0,118,109,0,0,0,920,224,-2457,1,下位,0,0,0
337,337,0,82,92,0,0,0,423,161,-2978,2,下位,0,0,0
285,285,0,130,311,1,0,0,0,0,1,0,下位,0,0,0
797,797,0,70,115,0,0,0,285,363,-96,3,下位,0,0,0
203,203,0,77,161,0,0,0,797,167,-1214,1,下位,0,0,0
55,55,0,86,89,0,0,0,203,213,-1328,1,下位,0,0,0
165,165,0,57,56,0,0,0,55,141,-1276,1,下位,0,0,0
130,130,0,102,144,0,0,0,165,108,-1434,1,下位,0,0,0
965,965,0,98,221,0,0,0,130,196,-1448,2,下位,0,0,0
179,179,0,123,387,0,0,0,965,273,-2731,2,下位,0,0,0
966,966,0,71,41,0,0,0,179,439,-2581,3,下位,0,0,0
533,533,0,74,29,1,0,0,0,0,1,0,下位,0,0,0
116,116,0,92,154,0,0,0,533,81,-778,1,下位,0,0,0
962,962,0,98,139,0,0,0,116,206,-759,2,下位,0,0,0
605,605,0,202,361,1,0,0,0,0,1,0,下位,0,0,0
276,276,0,112,200,0,0,0,605,413,-562,6,下位,0,0,0
576,576,0,109,119,0,0,0,276,252,-755,2,下位,0,0,0
848,848,0,66,116,0,0,0,576,171,-1513,2,下位,0,0,0
867,867,0,142,209,0,0,0,848,168,-2713,1,下位,0,0,0
289,289,0,148,346,0,0,0,867,261,-3850,2,下位,0,0,0
759,759,0,162,334,0,0,0,289,398,-3918,4,下位,0,0,0
496,496,0,130,293,0,0,0,759,386,-4756,3,下位,0,0,0
331,331,0,200,345,1,0,0,0,0,1,0,下位,0,0,0
660,660,0,90,81,0,0,0,331,397,-136,5,下位,0,0,0
966,966,0,101,116,0,0,0,660,133,-1068,1,下位,0,0,0
264,264,0,1103,5347,0,0,0,966,168,-2458,2,下位,0,0,0
792,792,0,102,278,1,0,0,0,0,1,0,下位,0,0,0
195,195,0,134,166,0,0,0,792,330,-946,2,下位,0,0,0
340,340,0,69,113,0,0,0,195,218,-1043,3,下位,0,0,0
588,149,59,83,90,0,0,0,340,165,-1426,1,下位,0,0,0
439,439,0,83,90,0,1,149,340,165,-1426,1,下位,0,149,59
