REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
423,423,0,85,79,1,0,0,0,0,1,0,下位,0,0,0
146,146,0,67,116,0,0,0,423,131,-550,1,下位,0,0,0
974,974,0,1378,6747,0,0,0,146,168,-617,1,下位,0,0,0
136,136,0,78,24,0,0,0,974,6799,761,12,上位,0,0,0
754,754,0,52,65,0,0,0,136,76,618,1,下位,0,0,0
973,973,0,940,4256,0,1,754,136,76,618,1,下位,0,754,117
51,51,0,113,120,0,0,0,1727,4308,769,10,上位,0,0,0
295,295,0,895,4278,1,0,0,0,0,1,0,下位,0,0,0
725,725,0,69,115,0,0,0,295,4330,751,9,上位,0,0,0
316,316,0,51,61,0,0,0,725,167,-251,1,下位,0,0,0
531,531,0,162,165,0,1,316,725,167,-251,1,下位,0,316,113
882,882,0,42,9,0,0,0,847,217,-1287,5,下位,0,0,0
785,785,0,52,71,0,1,882,847,217,-1287,5,下位,0,882,61
425,425,0,82,172,0,2,1667,847,217,-1287,5,下位,0,785,123
436,436,0,86,96,1,0,0,0,0,1,0,下位,0,0,0
675,675,0,110,207,0,0,0,436,148,-554,2,下位,0,0,0
219,219,0,76,102,0,0,0,675,259,-1384,3,下位,0,0,0
221,221,0,106,47,0,0,0,219,154,-1583,1,下位,0,0,0
246,246,0,72,106,0,0,0,221,99,-1840,2,下位,0,0,0
278,278,0,111,199,0,0,0,246,158,-2079,1,下位,0,0,0
124,124,0,1264,6414,0,0,0,278,251,-2276,2,下位,0,0,0
538,538,0,134,231,0,0,0,124,6466,755,12,上位,0,0,0
899,899,0,74,23,0,0,0,538,283,170,2,下位,0,0,0
265,265,0,59,57,0,0,0,899,75,-1205,1,下位,0,0,0
527,527,0,52,65,0,0,0,265,109,-1523,1,下位,0,0,0
280,280,0,42,5,0,1,527,265,109,-1523,1,下位,0,527,117
216,216,0,81,86,0,2,807,265,109,-1523,1,下位,0,280,57
517,517,0,134,235,0,0,0,1023,138,-2861,2,下位,0,0,0
485,485,0,51,64,0,0,0,517,287,-3408,3,下位,0,0,0
407,407,0,100,223,0,1,485,517,287,-3408,3,下位,0,485,116
