REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
500,500,0,29,73,1,0,0,0,0,1,0,下位,0
673,673,0,101,262,1,0,0,0,0,1,0,下位,0
43,43,0,159,418,0,0,0,673,262,-789,3,下位,0
664,664,0,160,419,0,0,0,43,418,-438,3,下位,0
135,135,0,229,605,0,0,0,664,419,-1057,4,下位,0
140,140,0,56,147,1,0,0,0,0,1,0,下位,0
350,350,0,69,172,0,0,0,140,147,-71,2,下位,0
87,87,0,1015,2404,0,0,0,350,172,-446,4,下位,0
99,99,0,102,266,0,0,0,87,2451,110,15,上位,0
133,133,0,47,121,0,0,0,99,266,221,3,下位,0
2,2,0,183,475,0,0,0,133,121,134,2,下位,0
145,145,0,161,425,0,0,0,2,475,606,5,下位,0
440,440,0,62,163,1,0,0,0,0,1,0,下位,0
589,589,0,48,121,0,0,0,440,163,-523,2,下位,0
118,118,0,256,679,0,0,0,589,121,-1322,3,下位,0
140,140,0,185,485,0,0,0,118,679,-827,4,下位,0
567,567,0,61,155,0,0,0,140,485,-561,4,下位,0
177,177,0,97,253,0,0,0,567,155,-1292,3,下位,0
242,242,0,128,337,0,0,0,177,253,-1316,3,下位,0
262,262,0,91,237,0,0,0,242,337,-1357,3,下位,0
397,397,0,58,152,0,0,0,262,237,-1529,3,下位,0
136,136,0,51,134,0,0,0,397,152,-1997,2,下位,0
22,22,0,263,695,0,0,0,136,134,-2076,2,下位,0
587,587,0,228,604,0,0,0,22,695,-1415,4,下位,0
533,533,0,69,176,0,0,0,587,604,-1728,3,下位,0
104,104,0,209,549,0,0,0,533,176,-2385,3,下位,0
494,494,0,250,660,0,0,0,104,549,-1998,4,下位,0
118,118,0,263,697,0,0,0,494,660,-2110,4,下位,0
858,858,0,37,96,0,0,0,118,697,-1597,4,下位,0
550,550,0,276,727,1,0,0,0,0,1,0,下位,0
317,317,0,617,1520,0,0,0,550,727,-131,5,下位,0
878,878,0,1071,2846,0,0,0,317,1567,941,5,上位,0
165,165,0,69,175,0,0,0,878,2846,2415,11,下位,0
615,615,0,92,238,0,0,0,165,175,2332,3,下位,0
630,630,0,98,255,0,0,0,615,238,1609,3,下位,0
23,23,0,805,2146,0,0,0,630,255,880,3,下位,0
2,2,0,47,119,0,0,0,23,2146,2990,7,下位,0
2,2,0,139,363,0,0,0,2,119,3106,3,下位,0
64,64,0,141,372,0,0,0,2,363,3466,4,下位,0
86,86,0,371,990,0,0,0,64,372,3738,3,下位,0
754,754,0,61,160,0,0,0,86,990,4594,4,下位,0
127,127,0,76,196,0,0,0,754,160,3576,2,下位,0
61,61,0,54,141,0,0,0,127,196,3574,3,下位,0
714,714,0,87,229,0,0,0,61,141,3620,2,下位,0
245,245,0,56,146,0,0,0,714,229,2733,2,下位,0
397,397,0,60,152,1,0,0,0,0,1,0,下位,0
861,861,0,78,200,0,0,0,397,152,-467,3,下位,0
