REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
204,204,0,24,56,1,0,0,0,0,1,0,下位,0
895,895,0,159,575,0,0,0,204,72,-244,1,下位,0
63,63,0,43,150,0,0,0,895,591,-1043,3,下位,0
191,191,0,24,54,0,0,0,63,166,-975,1,下位,0
84,84,0,100,406,0,0,0,191,70,-1202,1,下位,0
193,193,0,25,61,0,0,0,84,422,-910,2,下位,0
190,190,0,237,823,0,0,0,193,77,-1133,1,下位,0
75,75,0,149,580,0,0,0,190,839,-589,4,下位,0
626,626,0,23,49,0,0,0,75,596,-109,3,下位,0
972,972,0,150,573,0,0,0,626,65,-1016,1,下位,0
213,213,0,23,53,0,0,0,972,589,-1936,2,下位,0
192,192,0,485,2030,0,0,0,213,69,-2198,1,下位,0
192,192,0,69,191,0,0,0,192,2046,-450,5,上位,0
346,346,0,24,52,0,0,0,192,207,-541,2,下位,0
415,415,0,112,402,0,0,0,346,68,-1010,1,下位,0
228,228,0,145,584,0,0,0,415,418,-1236,2,下位,0
612,612,0,26,66,0,0,0,228,600,-990,3,下位,0
194,194,0,143,558,0,0,0,612,82,-1858,1,下位,0
194,194,0,60,196,0,0,0,194,574,-1585,2,下位,0
124,124,0,70,194,0,0,0,194,212,-1674,2,下位,0
395,395,0,152,591,0,0,0,124,210,-1657,2,下位,0
392,392,0,26,64,0,0,0,395,607,-1663,3,下位,0
302,302,0,23,50,1,0,0,0,0,1,0,下位,0
335,335,0,26,64,0,0,0,302,66,-402,1,下位,0
1018,1018,0,117,381,0,0,0,335,80,-842,1,下位,0
192,192,0,23,51,0,0,0,1018,397,-2026,3,下位,0
1212,1212,0,198,644,0,0,0,192,67,-2257,1,下位,0
790,790,0,83,255,0,0,0,1212,660,-3479,4,下位,0
154,154,0,53,129,0,0,0,790,271,-4435,2,下位,0
995,995,0,23,49,0,0,0,154,145,-4529,2,下位,0
190,190,0,275,1052,0,0,0,995,65,-6009,1,下位,0
393,393,0,253,894,0,0,0,190,1068,-5236,6,下位,0
233,233,0,109,429,0,0,0,393,910,-4936,5,下位,0
814,814,0,136,466,0,0,0,233,445,-4853,2,下位,0
842,842,0,117,415,1,0,0,0,0,1,0,下位,0
395,395,0,23,52,0,0,0,842,431,-875,2,下位,0
807,807,0,182,643,0,0,0,395,68,-1420,1,下位,0
192,192,0,1016,4376,0,0,0,807,659,-2014,4,下位,0
393,393,0,112,437,0,0,0,192,4392,2080,11,上位,0
294,294,0,955,4109,0,0,0,393,453,1923,2,下位,0
593,593,0,23,51,0,0,0,294,4125,3534,11,上位,0
594,594,0,240,1037,0,0,0,593,67,56,1,下位,0
192,192,0,236,806,0,0,0,594,1053,187,4,下位,0
554,554,0,171,713,0,0,0,192,822,711,5,下位,0
106,106,0,64,216,1,0,0,0,0,1,0,下位,0
812,812,0,25,59,0,0,0,106,232,68,2,下位,0
590,590,0,23,49,0,0,0,812,75,-1118,1,下位,0
1255,1255,0,216,796,0,0,0,590,65,-1969,1,下位,0
70,70,0,22,46,1,0,0,0,0,1,0,下位,0
463,463,0,82,251,0,0,0,70,62,-46,1,下位,0
168,168,0,127,487,0,0,0,463,267,-498,2,下位,0
414,414,0,22,48,0,0,0,168,503,-256,2,下位,0
55,55,0,87,373,0,0,0,414,64,-835,1,下位,0
336,336,0,103,355,0,0,0,55,389,-531,1,下位,0
