REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
202,202,0,96,424,1,0,0,0,0,1,0,下位,0
391,391,0,306,1719,0,0,0,202,447,134,3,下位,0
593,593,0,130,664,0,0,0,391,1742,1269,5,下位,0
195,195,0,25,45,0,0,0,593,687,1035,3,下位,0
183,183,0,155,729,0,0,0,195,68,800,1,下位,0
1251,1251,0,24,41,0,0,0,183,752,1268,3,下位,0
194,194,0,27,59,0,0,0,1251,64,-611,1,下位,0
159,159,0,27,61,0,0,0,194,82,-830,1,下位,0
486,486,0,61,174,0,0,0,159,84,-993,1,下位,0
213,213,0,158,731,0,0,0,486,197,-1551,2,下位,0
994,994,0,25,44,0,0,0,213,754,-1128,4,下位,0
416,416,0,171,798,0,0,0,994,67,-2604,1,下位,0
323,323,0,629,3665,1,0,0,0,0,1,0,下位,0
390,390,0,110,484,0,0,0,323,3688,1135,9,下位,0
414,414,0,89,447,0,0,0,390,507,1036,3,下位,0
991,991,0,167,702,0,0,0,414,470,863,2,下位,0
969,969,0,27,62,0,0,0,991,725,49,4,下位,0
851,851,0,27,58,0,0,0,969,85,-1371,1,下位,0
390,390,0,158,713,0,0,0,851,81,-2611,1,下位,0
108,108,0,174,774,1,0,0,0,0,1,0,下位,0
398,398,0,343,1925,0,0,0,108,797,630,4,下位,0
1001,1001,0,90,350,0,0,0,398,1948,1960,5,下位,0
1013,1013,0,26,55,0,0,0,1001,373,779,3,下位,0
342,342,0,27,61,0,0,0,1013,78,-716,1,下位,0
194,194,0,26,53,0,0,0,342,84,-1163,1,下位,0
121,121,0,26,60,0,0,0,194,76,-1388,1,下位,0
119,119,0,26,59,0,0,0,121,83,-1493,1,下位,0
394,394,0,26,58,0,0,0,119,82,-1596,1,下位,0
58,58,0,47,204,0,0,0,394,81,-2127,1,下位,0
195,195,0,999,6000,0,0,0,58,227,-1990,1,下位,0
335,335,0,154,741,0,0,0,195,6023,1574,12,下位,0
197,197,0,428,2372,0,0,0,335,764,1818,4,下位,0
518,518,0,26,59,1,0,0,0,0,1,0,下位,0
193,193,0,288,1461,0,0,0,518,82,-721,1,下位,0
396,396,0,196,932,0,0,0,193,1484,463,5,下位,0
1251,1251,0,55,213,0,0,0,396,955,803,5,下位,0
983,983,0,121,675,0,0,0,1251,236,-904,2,下位,0
192,192,0,27,64,0,0,0,983,698,-1732,2,下位,0
192,192,0,96,521,0,0,0,192,87,-1943,1,下位,0
131,131,0,26,60,0,0,0,192,544,-1697,2,下位,0
518,518,0,95,517,1,0,0,0,0,1,0,下位,0
393,393,0,28,72,0,0,0,518,540,-263,2,下位,0
56,56,0,114,576,0,0,0,393,95,-778,1,下位,0
197,197,0,26,57,0,0,0,56,599,-266,2,下位,0
192,192,0,154,725,0,0,0,197,80,-492,1,下位,0
177,177,0,113,401,0,0,0,192,748,-42,4,下位,0
164,164,0,94,424,0,0,0,177,424,107,4,下位,0
254,254,0,27,62,0,0,0,164,447,299,3,下位,0
1252,1252,0,25,45,0,0,0,254,85,-10,1,下位,0
998,998,0,122,573,0,0,0,1252,68,-1886,1,下位,0
392,392,0,64,275,0,0,0,998,596,-2840,3,下位,0
593,593,0,26,52,0,0,0,392,298,-3151,2,下位,0
148,148,0,167,703,0,0,0,593,75,-3997,1,下位,0
537,537,0,25,47,1,0,0,0,0,1,0,下位,0
193,193,0,206,854,0,0,0,537,70,-763,1,下位,0
639,639,0,96,420,0,0,0,193,877,-186,5,下位,0
681,681,0,22,28,0,0,0,639,443,-735,2,下位,0
494,494,0,147,536,0,0,0,681,51,-1741,1,下位,0
61,61,0,882,5128,0,0,0,494,559,-1949,4,下位,0
397,397,0,26,52,0,0,0,61,5151,930,12,下位,0
57,57,0,94,414,0,0,0,397,75,389,1,下位,0
170,170,0,50,107,0,0,0,57,437,737,2,下位,0
55,55,0,50,106,0,0,0,170,130,603,2,下位,0
193,193,0,24,40,0,0,0,55,129,647,2,下位,0
396,396,0,26,51,0,0,0,193,63,410,1,下位,0
330,330,0,147,816,1,0,0,0,0,1,0,下位,0
424,424,0,68,257,0,0,0,330,839,328,2,下位,0
394,394,0,64,197,0,0,0,424,280,-50,2,下位,0
192,192,0,228,1002,0,0,0,394,220,-442,2,下位,0
194,194,0,25,45,0,0,0,192,1025,285,6,下位,0
194,194,0,26,49,0,0,0,194,68,52,1,下位,0
714,714,0,149,749,0,0,0,194,72,-177,1,下位,0
185,185,0,76,373,0,0,0,714,772,-514,4,下位,0
783,783,0,221,1029,0,0,0,185,396,-405,2,下位,0
397,397,0,25,47,0,0,0,783,1052,-569,5,下位,0
587,587,0,24,42,0,0,0,397,70,-1115,1,下位,0
1253,1253,0,59,260,0,0,0,587,65,-1961,1,下位,0
337,337,0,148,862,1,0,0,0,0,1,0,下位,0
195,195,0,26,55,0,0,0,337,885,363,3,下位,0
1015,1015,0,25,45,0,0,0,195,78,138,1,下位,0
391,391,0,25,46,0,0,0,1015,68,-1370,1,下位,0
974,974,0,88,433,0,0,0,391,69,-1908,1,下位,0
595,595,0,25,45,0,0,0,974,456,-2964,2,下位,0
137,137,0,68,270,0,0,0,595,68,-3820,1,下位,0
191,191,0,153,846,0,0,0,137,293,-3740,2,下位,0
304,304,0,184,854,1,0,0,0,0,1,0,下位,0
73,73,0,75,270,0,0,0,304,877,406,5,下位,0
192,192,0,27,58,0,0,0,73,293,586,2,下位,0
227,227,0,27,56,0,0,0,192,81,369,1,下位,0
183,183,0,159,818,0,0,0,227,79,96,1,下位,0
211,211,0,26,54,0,0,0,183,841,653,4,下位,0
595,595,0,27,57,0,0,0,211,77,402,1,下位,0
991,991,0,300,1573,0,0,0,595,80,-442,1,下位,0
392,392,0,27,59,0,0,0,991,1596,-385,5,下位,0
187,187,0,26,54,0,0,0,392,82,-912,1,下位,0
194,194,0,25,45,0,0,0,187,77,-1125,1,下位,0
394,394,0,119,568,0,0,0,194,68,-1358,1,下位,0
393,393,0,26,54,0,0,0,394,591,-1379,3,下位,0
1251,1251,0,99,407,0,0,0,393,77,-1912,1,下位,0
992,992,0,26,55,0,0,0,1251,430,-3425,3,下位,0
801,801,0,25,44,1,0,0,0,0,1,0,下位,0
996,996,0,23,32,0,0,0,801,67,-1176,1,下位,0
792,792,0,25,44,0,0,0,996,55,-2668,1,下位,0
134,134,0,120,506,0,0,0,792,67,-3831,1,下位,0
897,897,0,26,54,0,0,0,134,529,-3510,3,下位,0
1251,1251,0,125,564,0,0,0,897,77,-4826,1,下位,0
396,396,0,515,2723,0,0,0,1251,587,-6182,3,下位,0
722,722,0,27,56,1,0,0,0,0,1,0,下位,0
582,582,0,107,407,0,0,0,722,79,-1041,1,下位,0
610,610,0,125,538,0,0,0,582,430,-1515,3,下位,0
60,60,0,74,354,0,0,0,610,561,-1901,3,下位,0
211,211,0,165,705,0,0,0,60,377,-1617,2,下位,0
140,140,0,518,2803,0,0,0,211,728,-1217,4,下位,0
952,952,0,101,503,0,0,0,140,2826,1392,9,下位,0
190,190,0,26,54,0,0,0,952,526,440,3,下位,0
81,81,0,36,122,0,0,0,190,77,222,1,下位,0
56,56,0,51,225,0,0,0,81,145,241,1,下位,0
383,383,0,27,58,0,0,0,56,248,402,1,下位,0
570,570,0,207,992,0,0,0,383,81,-112,1,下位,0
993,993,0,26,55,0,0,0,570,1015,18,5,下位,0
513,513,0,26,49,1,0,0,0,0,1,0,下位,0
192,192,0,553,3166,0,0,0,513,72,-724,1,下位,0
284,284,0,23,35,0,0,0,192,3189,2167,7,下位,0
195,195,0,286,1540,0,0,0,284,58,1784,1,下位,0
211,211,0,26,52,0,0,0,195,1563,956,6,下位,0
192,192,0,95,433,0,0,0,211,75,703,1,下位,0
192,192,0,26,51,0,0,0,192,456,861,2,下位,0
156,156,0,95,411,0,0,0,192,74,637,1,下位,0
994,994,0,27,57,0,0,0,156,434,829,2,下位,0
485,485,0,873,5001,0,0,0,994,80,-634,1,下位,0
149,149,0,25,45,0,0,0,485,5024,1568,11,下位,0
103,103,0,293,1625,1,0,0,0,0,1,0,下位,0
393,393,0,81,361,0,0,0,103,1648,1489,4,下位,0
1251,1251,0,27,58,0,0,0,393,384,1263,2,下位,0
995,995,0,74,259,0,0,0,1251,81,-599,1,下位,0
669,669,0,62,269,0,0,0,995,282,-1862,2,下位,0
999,999,0,148,686,0,0,0,669,292,-2609,2,下位,0
599,599,0,120,589,0,0,0,999,709,-3451,4,下位,0
114,114,0,26,49,1,0,0,0,0,1,0,下位,0
448,448,0,74,261,0,0,0,114,72,-104,1,下位,0
809,809,0,77,351,0,0,0,448,284,-516,2,下位,0
393,393,0,56,195,0,0,0,809,374,-1398,2,下位,0
795,795,0,27,58,0,0,0,393,218,-1790,2,下位,0
796,796,0,129,607,0,0,0,795,81,-2943,1,下位,0
196,196,0,116,459,0,0,0,796,630,-3549,3,下位,0
1251,1251,0,25,46,0,0,0,196,482,-3371,3,下位,0
596,596,0,170,878,0,0,0,1251,69,-5245,1,下位,0
193,193,0,25,47,0,0,0,596,901,-5269,4,下位,0
196,196,0,204,1047,0,0,0,193,70,-5499,1,下位,0
395,395,0,123,520,0,0,0,196,1070,-4733,5,下位,0
410,410,0,157,681,0,0,0,395,543,-4803,4,下位,0
570,570,0,126,643,0,0,0,410,704,-4736,4,下位,0
214,214,0,434,2284,1,0,0,0,0,1,0,下位,0
191,191,0,25,49,0,0,0,214,2307,1976,7,下位,0
194,194,0,51,192,0,0,0,191,72,1751,1,下位,0
392,392,0,132,547,0,0,0,194,215,1665,2,下位,0
1251,1251,0,52,190,0,0,0,392,570,1626,3,下位,0
572,572,0,456,2430,0,0,0,1251,213,-104,2,下位,0
209,209,0,71,247,0,0,0,572,2453,1461,7,下位,0
711,711,0,313,1671,0,0,0,209,270,1406,2,下位,0
72,72,0,221,1194,0,0,0,711,1694,1996,5,下位,0
370,370,0,58,182,0,0,0,72,1217,969,3,下位,0
323,323,0,753,4338,0,0,0,370,205,599,2,下位,0
143,143,0,151,712,1,0,0,0,0,1,0,下位,0
208,208,0,192,910,0,0,0,143,735,514,4,下位,0
254,254,0,27,59,0,0,0,208,933,1124,5,下位,0
194,194,0,25,47,0,0,0,254,82,812,1,下位,0
196,196,0,72,249,0,0,0,194,70,581,1,下位,0
363,363,0,558,3094,0,0,0,196,272,549,2,下位,0
170,170,0,27,59,0,0,0,363,3117,861,7,下位,0
194,194,0,135,572,0,0,0,170,82,679,1,下位,0
382,382,0,26,52,0,0,0,194,595,973,4,下位,0
74,74,0,51,224,0,0,0,382,75,455,1,下位,0
392,392,0,100,484,0,0,0,74,247,587,1,下位,0
1251,1251,0,143,724,0,0,0,392,507,485,3,下位,0
593,593,0,78,345,0,0,0,1251,747,-711,4,下位,0
395,395,0,25,44,0,0,0,593,368,-1264,2,下位,0
131,131,0,25,46,0,0,0,395,67,-1810,1,下位,0
194,194,0,25,47,0,0,0,131,69,-1944,1,下位,0
197,197,0,90,435,0,0,0,194,70,-2175,1,下位,0
285,285,0,119,651,1,0,0,0,0,1,0,下位,0
383,383,0,397,2219,0,0,0,285,674,232,3,下位,0
183,183,0,83,420,0,0,0,383,2242,1879,7,下位,0
100,100,0,27,56,0,0,0,183,443,2038,2,下位,0
191,191,0,26,49,0,0,0,100,79,1962,1,下位,0
255,255,0,395,2309,0,0,0,191,72,1737,1,下位,0
1031,1031,0,123,577,0,0,0,255,2332,1435,6,下位,0
76,76,0,37,130,0,0,0,1031,600,434,3,下位,0
155,155,0,50,90,0,0,0,76,153,469,1,下位,0
593,593,0,174,847,0,0,0,155,113,341,2,下位,0
394,394,0,74,342,0,0,0,593,870,290,4,下位,0
194,194,0,27,56,0,0,0,394,365,43,2,下位,0
292,292,0,25,46,0,0,0,194,79,-179,1,下位,0
216,216,0,151,761,0,0,0,292,69,-563,1,下位,0
138,138,0,25,49,1,0,0,0,0,1,0,下位,0
434,434,0,25,44,0,0,0,138,72,-141,1,下位,0
321,321,0,25,42,0,0,0,434,67,-748,1,下位,0
984,984,0,213,1097,0,0,0,321,65,-1181,1,下位,0
595,595,0,78,333,0,0,0,984,1120,-1589,5,下位,0
1252,1252,0,867,5071,0,0,0,595,356,-2157,2,下位,0
249,249,0,25,46,0,0,0,1252,5094,993,10,下位,0
59,59,0,92,400,0,0,0,249,69,675,1,下位,0
1251,1251,0,25,45,0,0,0,59,423,1006,2,下位,0
192,192,0,210,1034,0,0,0,1251,68,-869,1,下位,0
197,197,0,26,55,0,0,0,192,1057,-110,6,下位,0
232,232,0,314,1373,0,0,0,197,78,-338,1,下位,0
591,591,0,261,1181,0,0,0,232,1396,698,7,下位,0
844,844,0,58,192,1,0,0,0,0,1,0,下位,0
311,311,0,103,471,0,0,0,844,215,-1095,2,下位,0
722,722,0,25,46,0,0,0,311,494,-1084,2,下位,0
53,53,0,47,199,0,0,0,722,69,-2136,1,下位,0
593,593,0,66,269,0,0,0,53,222,-1996,1,下位,0
395,395,0,25,46,0,0,0,593,292,-2625,2,下位,0
200,200,0,83,417,0,0,0,395,69,-3169,1,下位,0
80,80,0,38,138,0,0,0,200,440,-3040,2,下位,0
195,195,0,173,707,0,0,0,80,161,-3003,1,下位,0
1251,1251,0,117,566,0,0,0,195,730,-2576,5,下位,0
213,213,0,192,858,0,0,0,1251,589,-3930,3,下位,0
191,191,0,208,881,0,0,0,213,881,-3380,6,下位,0
220,220,0,194,980,0,0,0,191,904,-2773,6,下位,0
592,592,0,87,415,0,0,0,220,1003,-2112,4,下位,0
197,197,0,25,47,1,0,0,0,0,1,0,下位,0
721,721,0,112,488,0,0,0,197,70,-235,1,下位,0
211,211,0,25,47,0,0,0,721,511,-844,3,下位,0
396,396,0,64,256,0,0,0,211,70,-1102,1,下位,0
1251,1251,0,24,41,0,0,0,396,279,-1438,2,下位,0
611,611,0,195,885,0,0,0,1251,64,-3317,1,下位,0
593,593,0,27,58,0,0,0,611,908,-3358,5,下位,0
1038,1038,0,25,47,0,0,0,593,81,-4198,1,下位,0
391,391,0,164,742,0,0,0,1038,70,-5740,1,下位,0
390,390,0,149,787,0,0,0,391,765,-5582,4,下位,0
1251,1251,0,122,610,0,0,0,390,810,-5378,4,下位,0
528,528,0,62,175,1,0,0,0,0,1,0,下位,0
591,591,0,25,46,0,0,0,528,198,-621,2,下位,0
991,991,0,757,4142,0,0,0,591,69,-1470,1,下位,0
596,596,0,858,4899,0,0,0,991,4165,1156,11,下位,0
395,395,0,164,780,0,0,0,596,4922,528,12,下位,0
792,792,0,91,419,0,0,0,395,803,718,4,下位,0
393,393,0,67,250,0,0,0,792,442,-70,2,下位,0
392,392,0,196,804,0,0,0,393,273,-407,2,下位,0
390,390,0,130,629,0,0,0,392,827,-189,5,下位,0
221,221,0,25,46,0,0,0,390,652,-143,3,下位,0
587,587,0,26,56,0,0,0,221,69,-417,1,下位,0
290,290,0,25,42,1,0,0,0,0,1,0,下位,0
193,193,0,25,47,0,0,0,290,65,-384,1,下位,0
1252,1252,0,56,161,0,0,0,193,70,-614,1,下位,0
184,184,0,384,1944,0,0,0,1252,184,-2374,2,下位,0
193,193,0,50,193,0,0,0,184,1967,-693,8,下位,0
395,395,0,110,538,0,0,0,193,216,-777,2,下位,0
415,415,0,65,196,0,0,0,395,561,-829,3,下位,0
392,392,0,124,625,0,0,0,415,219,-1254,2,下位,0
633,633,0,25,47,0,0,0,392,648,-1215,3,下位,0
758,758,0,95,436,0,0,0,633,70,-2128,1,下位,0
116,116,0,60,173,0,0,0,758,459,-2846,3,下位,0
298,298,0,51,111,0,0,0,116,196,-2830,2,下位,0
631,631,0,117,570,0,0,0,298,134,-3159,2,下位,0
593,593,0,112,399,0,0,0,631,593,-3546,3,下位,0
844,844,0,27,56,1,0,0,0,0,1,0,下位,0
99,99,0,82,360,0,0,0,844,79,-1231,1,下位,0
210,210,0,24,39,0,0,0,99,383,-1002,2,下位,0
393,393,0,64,248,0,0,0,210,62,-1266,1,下位,0
272,272,0,101,496,0,0,0,393,271,-1605,2,下位,0
61,61,0,283,1609,0,0,0,272,519,-1508,3,下位,0
194,194,0,25,44,0,0,0,61,1632,29,4,下位,0
192,192,0,212,1011,0,0,0,194,67,-205,1,下位,0
490,490,0,25,46,0,0,0,192,1034,531,6,下位,0
992,992,0,400,2104,0,0,0,490,69,-161,1,下位,0
198,198,0,26,49,0,0,0,992,2127,426,6,下位,0
1254,1254,0,121,569,0,0,0,198,72,191,1,下位,0
341,341,0,24,39,1,0,0,0,0,1,0,下位,0
572,572,0,202,1087,0,0,0,341,62,-467,1,下位,0
