REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件
100,100,0,117,117,1,0,0,0,0,1,0,下位,0
221,221,0,103,103,1,1,100,0,0,1,0,下位,0
122,122,0,425,386,1,2,321,0,0,1,0,下位,0
101,101,0,854,721,0,0,0,443,386,-94,3,下位,0
99,99,0,2908,2594,0,0,0,101,721,467,10,下位,0
243,243,0,113,113,0,0,0,99,2594,419,24,下位,0
139,139,0,3,3,0,1,243,99,2594,419,24,下位,0
178,178,0,98,98,0,0,0,382,3,-69,1,下位,0
192,192,0,72,72,0,1,178,382,3,-69,1,下位,0
243,243,0,939,827,0,2,370,382,3,-69,1,下位,0
620,620,0,18,18,0,0,0,613,827,-42,13,下位,0
277,277,0,300,300,0,0,0,620,18,-1005,1,下位,0
62,62,0,99,96,0,0,0,277,300,-1143,2,下位,0
596,596,0,177,177,0,0,0,62,96,-1145,3,下位,0
310,310,0,97,97,0,0,0,596,177,-1911,1,下位,0
229,229,0,116,116,0,1,310,596,177,-1911,1,下位,0
97,97,0,1273,1047,0,2,539,596,177,-1911,1,下位,0
102,102,0,123,123,0,0,0,636,1047,-1657,17,下位,0
326,326,0,74,74,0,1,102,636,1047,-1657,17,下位,0
445,445,0,147,147,0,2,428,636,1047,-1657,17,下位,0
78,78,0,115,115,1,0,0,0,0,1,0,下位,0
99,99,0,129,126,1,1,78,0,0,1,0,下位,0
198,198,0,454,359,0,0,0,177,126,-38,3,下位,0
213,213,0,170,170,0,0,0,198,359,8,6,下位,0
205,205,0,75,75,0,0,0,213,170,-159,1,下位,0
192,192,0,114,114,0,1,205,213,170,-159,1,下位,0
303,303,0,428,343,0,2,397,213,170,-159,1,下位,0
212,212,0,565,497,0,0,0,700,343,-734,5,下位,0
502,502,0,61,61,0,0,0,212,497,-572,7,下位,0
679,679,0,664,564,0,1,502,212,497,-572,7,下位,0
196,196,0,820,679,0,0,0,1181,564,-1815,9,下位,0
319,319,0,376,334,0,0,0,196,679,-1446,11,下位,0
94,94,0,96,96,0,0,0,319,334,-1617,7,下位,0
211,211,0,83,83,0,1,94,319,334,-1617,7,下位,0
39,39,0,306,275,0,2,305,319,334,-1617,7,下位,0
85,85,0,461,406,1,0,0,0,0,1,0,下位,0
300,300,0,868,708,0,0,0,85,406,273,6,下位,0
102,102,0,145,145,0,0,0,300,708,506,12,下位,0
279,279,0,107,107,0,1,102,300,708,506,12,下位,0
277,277,0,117,117,0,2,381,300,708,506,12,下位,0
217,217,0,356,307,0,3,658,300,708,506,12,下位,0
68,68,0,121,121,0,0,0,875,307,-201,3,下位,0
213,213,0,244,244,0,1,68,875,307,-201,3,下位,0
233,233,0,518,512,0,0,0,281,244,-281,1,下位,0
534,534,0,1807,1627,0,0,0,233,512,-138,3,下位,0
