番号,REGゲーム数,REG枚数,ATゲーム数,AT枚数
1,96,0,0,0
2,632,0,104,302
3,99,0,0,0
4,496,0,0,0
5,260,0,133,396
6,71,0,101,286
7,382,0,77,220
8,98,0,169,489
9,56,0,167,490
10,161,0,153,441
11,587,0,46,133
12,262,0,0,0
13,97,0,120,346
14,96,0,133,392
15,91,0,144,418
16,267,0,250,718
17,346,0,84,252
18,213,0,161,469
19,320,0,50,146
20,95,0,139,402
21,100,0,197,575
22,108,0,0,0
23,222,0,259,757
24,298,0,21,58
25,429,0,0,0
26,260,0,0,0
27,65,0,116,343
28,34,0,250,724
29,432,0,434,1256
30,262,0,98,281
31,505,0,0,0
32,136,0,495,1445
33,79,0,79,238
34,168,0,0,0
35,585,0,196,573
36,349,0,21,58
37,752,0,82,246
38,333,0,96,276
39,778,0,17,47
40,125,0,0,0
41,419,0,0,0
42,59,0,148,430
43,741,0,0,0
44,157,0,222,647
45,246,0,78,225
46,778,0,0,0
47,38,0,128,370
48,36,0,181,523
49,243,0,16,44
50,305,0,80,241
51,314,0,148,430
52,331,0,0,0
53,631,0,87,257
54,236,0,0,0
55,459,0,0,0
56,283,0,162,469
57,582,0,0,0
58,222,0,0,0
59,482,0,253,741
60,370,0,0,0
61,279,0,138,397
62,515,0,0,0
63,182,0,21,58
64,419,0,0,0
65,334,0,113,333
66,349,0,82,237
67,147,0,10,25
68,91,0,87,255
69,195,0,0,0
70,242,0,55,160
71,243,0,49,142
72,752,0,300,882
73,779,0,1394,4035
74,337,0,0,0
75,295,0,145,422
76,456,0,21,58
77,252,0,257,741
78,96,0,85,241
79,145,0,0,0
80,64,0,0,0
81,122,0,0,0
82,458,0,49,141
83,40,0,0,0
84,255,0,117,340
85,178,0,0,0
86,267,0,1577,4495
87,96,0,0,0
88,756,0,99,281
89,658,0,0,0
90,626,0,167,496
91,100,0,219,644
92,490,0,66,186
93,778,0,175,507
94,778,0,91,267
95,206,0,83,244
96,61,0,19,53
97,293,0,83,243
98,518,0,283,823
99,778,0,0,0
100,299,0,192,564
101,162,0,13,34
102,752,0,387,1132
103,501,0,114,333
104,146,0,453,1311
105,322,0,493,1417
106,149,0,0,0
107,281,0,81,233
108,44,0,326,911
109,180,0,0,0
110,188,0,0,0
111,778,0,178,509
112,187,0,303,874
113,99,0,0,0
114,63,0,0,0
115,44,0,84,240
116,527,0,15,41
117,188,0,0,0
118,151,0,0,0
119,69,0,81,233
120,95,0,142,411
121,56,0,104,298
122,96,0,9,22
123,99,0,167,490
124,321,0,123,354
125,153,0,0,0
126,240,0,0,0
127,271,0,54,156
128,317,0,176,507
129,99,0,0,0
130,778,0,224,649
131,160,0,133,380
132,72,0,159,463
133,342,0,0,0
134,391,0,0,0
135,124,0,0,0
136,191,0,258,755
137,93,0,138,398
138,251,0,252,737
139,407,0,97,287
140,778,0,15,39
141,393,0,0,0
142,778,0,38,103
143,745,0,17,45
144,238,0,114,328
145,779,0,53,154
146,125,0,87,252
147,78,0,41,112
148,91,0,0,0
149,643,0,188,540
150,153,0,27,75
151,44,0,434,1246
152,95,0,0,0
153,554,0,0,0
154,306,0,258,736
155,99,0,985,2824
156,505,0,0,0
157,247,0,0,0
158,54,0,0,0
159,92,0,109,315
160,409,0,0,0
161,778,0,171,492
162,100,0,477,1391
163,89,0,119,346
164,304,0,0,0
165,782,0,82,247
166,237,0,137,403
167,145,0,0,0
168,50,0,86,247
169,90,0,204,593
170,399,0,105,300
171,185,0,82,242
172,753,0,143,424
173,305,0,53,153
174,99,0,127,366
175,281,0,142,407
176,99,0,244,705
177,454,0,16,43
178,752,0,314,916
179,752,0,384,1133
180,507,0,77,221
181,266,0,414,1204
182,81,0,0,0
183,170,0,385,1126
184,285,0,185,539
185,145,0,72,207
186,99,0,140,403
187,251,0,149,430
188,90,0,111,321
189,99,0,172,495
190,99,0,67,191
191,109,0,18,49
192,107,0,0,0
193,242,0,197,568
194,107,0,74,222
195,179,0,74,211
196,24,0,16,42
197,446,0,245,714
198,312,0,382,1104
199,395,0,214,624
200,326,0,84,248
201,248,0,305,884
202,157,0,647,1874
203,162,0,169,494
204,56,0,15,39
205,67,0,127,366
206,236,0,0,0
207,225,0,0,0
208,59,0,47,137
209,752,0,110,325
210,206,0,116,330
211,38,0,108,308
212,246,0,0,0
213,434,0,125,361
214,743,0,190,557
215,297,0,152,450
216,779,0,103,303
217,480,0,0,0
218,277,0,168,489
219,106,0,67,196
220,228,0,0,0
221,100,0,117,345
222,98,0,0,0
223,56,0,0,0
224,287,0,174,513
225,248,0,0,0
226,271,0,52,151
227,583,0,173,497
228,35,0,1393,3931
229,99,0,80,231
230,98,0,57,167
231,96,0,1390,4000
232,75,0,48,140
233,183,0,106,308
234,176,0,83,243
235,401,0,0,0
236,352,0,1470,4278
237,778,0,103,292
238,600,0,0,0
239,355,0,321,927
240,778,0,19,52
241,176,0,57,165
242,130,0,45,129
243,225,0,136,393
244,289,0,168,491
245,98,0,0,0
246,779,0,75,216
247,79,0,0,0
248,166,0,114,332
249,76,0,12,32
250,96,0,100,286
251,99,0,110,325
252,356,0,227,657
253,52,0,0,0
254,778,0,0,0
255,78,0,0,0
256,126,0,128,365
257,44,0,253,738
258,140,0,21,59
259,46,0,86,247
260,62,0,72,206
261,237,0,90,269
262,200,0,0,0
263,553,0,178,525
264,240,0,316,926
265,95,0,148,428
266,142,0,15,40
267,89,0,39,106
268,97,0,19,52
269,239,0,0,0
270,136,0,54,158
271,302,0,74,214
272,60,0,90,267
273,310,0,84,252
274,93,0,108,320
275,283,0,86,258
276,34,0,0,0
277,216,0,0,0
278,311,0,0,0
279,194,0,103,305
280,354,0,21,58
281,319,0,159,459
282,233,0,156,447
283,168,0,77,219
284,778,0,0,0
285,449,0,45,131
286,85,0,0,0
287,72,0,0,0
288,67,0,50,144
289,148,0,0,0
290,605,0,195,568
291,363,0,86,257
292,98,0,0,0
293,342,0,110,321
294,46,0,0,0
295,51,0,57,162
296,219,0,73,207
297,259,0,186,547
298,563,0,0,0
299,720,0,92,272
300,488,0,0,0
301,489,0,0,0
302,223,0,0,0
303,85,0,484,1405
304,135,0,84,246
305,134,0,250,725
306,81,0,0,0
307,779,0,77,230
308,129,0,328,955
309,47,0,78,223
310,97,0,67,190
311,312,0,94,277
312,180,0,322,940
313,225,0,71,208
314,78,0,162,466
315,476,0,17,46
316,505,0,99,281
317,505,0,309,893
318,89,0,135,392
319,248,0,186,539
320,95,0,114,332
321,97,0,0,0
322,121,0,218,628
323,98,0,143,412
324,90,0,0,0
325,289,0,270,786
326,390,0,85,245
327,97,0,0,0
328,259,0,387,1124
329,256,0,50,144
330,645,0,398,1161
331,96,0,0,0
332,556,0,120,350
333,231,0,72,206
334,99,0,17,45
335,488,0,19,52
336,752,0,86,258
337,393,0,14,36
338,179,0,17,46
339,80,0,0,0
340,269,0,0,0
341,213,0,104,303
342,58,0,0,0
343,188,0,142,410
344,286,0,0,0
345,778,0,0,0
346,90,0,15,40
347,41,0,385,1146
348,300,0,47,130
349,366,0,0,0
350,183,0,83,244
351,345,0,0,0
352,251,0,12,31
353,255,0,139,401
354,32,0,130,368
355,247,0,0,0
356,273,0,0,0
357,764,0,246,723
358,99,0,19,53
359,296,0,0,0
360,131,0,0,0
361,328,0,252,744
362,404,0,1052,3016
363,315,0,0,0
364,780,0,0,0
365,70,0,0,0
366,68,0,35,95
367,110,0,15,39
368,98,0,210,629
369,778,0,211,614
370,94,0,872,2479
371,188,0,14,38
372,220,0,0,0
373,253,0,0,0
374,150,0,0,0
375,132,0,335,986
376,107,0,0,0
377,247,0,0,0
378,155,0,261,754
379,249,0,0,0
380,779,0,545,1541
381,95,0,121,346
382,445,0,0,0
383,778,0,594,1724
384,176,0,131,376
385,84,0,2198,6279
386,98,0,0,0
387,193,0,0,0
388,77,0,0,0
389,199,0,281,815
390,363,0,0,0
391,341,0,122,357
392,335,0,22,62
393,471,0,154,447
394,254,0,318,928
395,53,0,105,300
396,194,0,113,327
397,561,0,26,74
398,97,0,0,0
399,344,0,0,0
400,120,0,0,0
401,194,0,151,444
402,590,0,49,141
403,737,0,106,245
404,752,0,558,1596
405,95,0,209,606
406,548,0,296,862
407,48,0,77,232
408,99,0,174,505
409,291,0,389,1134
410,240,0,48,140
411,58,0,341,990
412,778,0,270,780
413,778,0,0,0
414,58,0,0,0
415,448,0,117,347
416,778,0,0,0
417,370,0,148,428
418,783,0,53,155
419,338,0,113,335
420,250,0,97,275
421,97,0,186,543
422,318,0,172,497
423,231,0,88,258
424,412,0,694,2029
425,40,0,116,340
426,42,0,124,358
427,306,0,0,0
428,305,0,24,66
429,313,0,75,216
430,779,0,118,340
431,297,0,37,103
432,258,0,20,55
433,752,0,111,329
434,198,0,0,0
435,246,0,0,0
436,597,0,65,186
437,317,0,0,0
438,362,0,694,1962
439,70,0,20,54
440,30,0,146,424
441,256,0,479,1390
442,81,0,235,679
443,144,0,264,768
444,95,0,53,154
445,444,0,0,0
446,309,0,83,250
447,753,0,683,1964
448,188,0,0,0
449,780,0,387,1136
450,290,0,175,508
451,197,0,78,225
452,105,0,84,242
453,260,0,1517,4353
454,139,0,229,668
455,392,0,0,0
456,780,0,276,798
457,99,0,282,817
458,208,0,1621,4644
459,288,0,173,503
460,357,0,0,0
461,92,0,169,493
462,142,0,397,1149
463,97,0,21,57
464,636,0,88,255
465,132,0,238,695
466,442,0,0,0
467,330,0,0,0
