REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別
661,0,15,41,1,0,0,0,0,0,0
257,0,16,44,1,0,0,0,0,0,0
752,0,108,319,1,0,0,0,0,0,0
78,0,0,0,1,0,0,0,0,0,0
778,0,19,53,1,0,0,0,0,0,0
340,0,0,0,1,0,0,0,0,0,0
51,0,12,30,1,0,0,0,0,0,0
259,0,213,612,1,0,0,0,0,0,0
442,0,83,237,1,0,0,0,0,0,0
80,0,0,0,1,0,0,0,0,0,0
54,0,80,230,1,0,0,0,0,0,0
144,0,0,0,1,0,0,0,0,0,0
778,0,0,0,1,0,0,0,0,0,0
282,0,17,45,1,0,0,0,0,0,0
96,0,0,0,1,0,0,0,0,0,0
101,0,156,451,1,0,0,0,0,0,0
36,0,0,0,1,0,0,0,0,0,0
64,0,0,0,1,0,0,0,0,0,0
234,0,0,0,1,0,0,0,0,0,0
433,0,51,147,1,0,0,0,0,0,0
753,0,84,251,1,0,0,0,0,0,0
429,0,159,464,1,0,0,0,0,0,0
336,0,48,138,1,0,0,0,0,0,0
529,0,45,129,1,0,0,0,0,0,0
752,0,111,328,1,0,0,0,0,0,0
702,0,15,41,1,0,0,0,0,0,0
144,0,0,0,1,0,0,0,0,0,0
303,0,128,368,1,0,0,0,0,0,0
98,0,328,942,1,0,0,0,0,0,0
95,0,14,37,1,0,0,0,0,0,0
245,0,0,0,1,0,0,0,0,0,0
300,0,183,534,1,0,0,0,0,0,0
778,0,0,0,1,0,0,0,0,0,0
66,0,205,590,1,0,0,0,0,0,0
568,0,0,0,1,0,0,0,0,0,0
716,0,438,1286,1,0,0,0,0,0,0
97,0,203,584,1,0,0,0,0,0,0
90,0,75,217,1,0,0,0,0,0,0
83,0,252,732,1,0,0,0,0,0,0
97,0,103,294,1,0,0,0,0,0,0
145,0,116,336,1,0,0,0,0,0,0
145,0,79,229,1,0,0,0,0,0,0
84,0,70,201,1,0,0,0,0,0,0
778,0,22,61,1,0,0,0,0,0,0
44,0,115,335,1,0,0,0,0,0,0
285,0,356,1026,1,0,0,0,0,0,0
644,0,50,146,1,0,0,0,0,0,0
586,0,2707,7857,1,0,0,0,0,0,0
56,0,0,0,1,0,0,0,0,0,0
82,0,68,195,1,0,0,0,0,0,0
251,0,117,348,1,0,0,0,0,0,0
287,0,107,313,1,0,0,0,0,0,0
176,0,349,1018,1,0,0,0,0,0,0
126,0,327,953,1,0,0,0,0,0,0
234,0,20,55,1,0,0,0,0,0,0
752,0,167,486,1,0,0,0,0,0,0
503,0,161,468,1,0,0,0,0,0,0
779,0,136,398,1,0,0,0,0,0,0
98,0,507,1432,1,0,0,0,0,0,0
50,0,15,40,1,0,0,0,0,0,0
95,0,0,0,1,0,0,0,0,0,0
658,0,86,259,1,0,0,0,0,0,0
753,0,78,234,1,0,0,0,0,0,0
752,0,185,550,1,0,0,0,0,0,0
65,0,79,232,1,0,0,0,0,0,0
309,0,281,806,1,0,0,0,0,0,0
644,0,12,31,1,0,0,0,0,0,0
753,0,100,300,1,0,0,0,0,0,0
194,0,72,206,1,0,0,0,0,0,0
99,0,0,0,1,0,0,0,0,0,0
133,0,603,1730,1,0,0,0,0,0,0
150,0,67,190,1,0,0,0,0,0,0
97,0,288,820,1,0,0,0,0,0,0
379,0,17,46,1,0,0,0,0,0,0
752,0,180,523,1,0,0,0,0,0,0
193,0,199,573,1,0,0,0,0,0,0
183,0,0,0,1,0,0,0,0,0,0
70,0,141,409,1,0,0,0,0,0,0
148,0,22,62,0,0,0,0,0,0,0
752,0,84,251,0,0,0,0,0,0,0
752,0,94,281,0,0,0,0,0,0,0
36,0,90,264,0,0,0,0,0,0,0
95,0,316,915,0,0,0,0,0,0,0
280,0,147,426,0,0,0,0,0,0,0
779,0,165,484,0,0,0,0,0,0,0
163,0,96,280,0,0,0,0,0,0,0
153,0,78,224,0,0,0,0,0,0,0
98,0,65,184,0,0,0,0,0,0,0
408,0,294,854,0,0,0,0,0,0,0
249,0,308,894,0,0,0,0,0,0,0
107,0,79,238,0,0,0,0,0,0,0
778,0,326,951,0,0,0,0,0,0,0
240,0,110,322,0,0,0,0,0,0,0
95,0,66,188,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0
537,0,50,146,0,0,0,0,0,0,0
753,0,84,252,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0
778,0,232,676,0,0,0,0,0,0,0
162,0,117,335,0,0,0,0,0,0,0
286,0,481,1389,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0
778,0,355,1041,0,0,0,0,0,0,0
357,0,508,1500,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0
294,0,140,403,0,0,0,0,0,0,0
96,0,85,250,0,0,0,0,0,0,0
252,0,72,205,0,0,0,0,0,0,0
686,0,84,246,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0
97,0,84,248,0,0,0,0,0,0,0
273,0,137,393,0,0,0,0,0,0,0
726,0,1662,4808,0,0,0,0,0,0,0
123,0,19,52,0,0,0,0,0,0,0
550,0,1003,2829,0,0,0,0,0,0,0
77,0,45,130,0,0,0,0,0,0,0
78,0,120,351,0,0,0,0,0,0,0
367,0,153,445,0,0,0,0,0,0,0
755,0,281,816,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
310,0,2249,6484,0,0,0,0,0,0,0
439,0,233,678,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0
488,0,44,128,0,0,0,0,0,0,0
754,0,88,263,0,0,0,0,0,0,0
540,0,82,241,0,0,0,0,0,0,0
326,0,337,980,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0
617,0,85,245,0,0,0,0,0,0,0
779,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0
76,0,316,919,0,0,0,0,0,0,0
169,0,106,303,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0
57,0,114,332,0,0,0,0,0,0,0
106,0,618,1788,0,0,0,0,0,0,0
90,0,480,1369,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0
361,0,481,1393,0,0,0,0,0,0,0
582,0,21,57,0,0,0,0,0,0,0
397,0,235,682,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0
77,0,398,1154,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
693,0,195,565,0,0,0,0,0,0,0
395,0,96,277,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0
44,0,44,126,0,0,0,0,0,0,0
305,0,150,431,0,0,0,0,0,0,0
298,0,41,113,0,0,0,0,0,0,0
171,0,15,40,0,0,0,0,0,0,0
626,0,21,57,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
583,0,164,382,0,0,0,0,0,0,0
572,0,1588,4459,0,0,0,0,0,0,0
80,0,199,584,0,0,0,0,0,0,0
779,0,148,437,0,0,0,0,0,0,0
315,0,118,349,0,0,0,0,0,0,0
80,0,296,865,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
778,0,17,45,0,0,0,0,0,0,0
752,0,82,247,0,0,0,0,0,0,0
266,0,81,237,0,0,0,0,0,0,0
318,0,181,526,0,0,0,0,0,0,0
778,0,233,672,0,0,0,0,0,0,0
454,0,14,37,0,0,0,0,0,0,0
70,0,238,686,0,0,0,0,0,0,0
96,0,12,30,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0,0
248,0,64,182,0,0,0,0,0,0,0
778,0,1418,4101,0,0,0,0,0,0,0
635,0,82,246,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,0
98,0,87,245,0,0,0,0,0,0,0
96,0,106,308,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0
254,0,118,346,0,0,0,0,0,0,0
528,0,270,787,0,0,0,0,0,0,0
246,0,116,344,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
506,0,14,37,0,0,0,0,0,0,0
351,0,255,740,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0
89,0,145,424,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0
116,0,77,226,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
332,0,88,259,0,0,0,0,0,0,0
701,0,200,577,0,0,0,0,0,0,0
779,0,325,948,0,0,0,0,0,0,0
203,0,1950,5592,0,0,0,0,0,0,0
340,0,139,398,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0
285,0,146,423,0,0,0,0,0,0,0
270,0,302,871,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0
41,0,55,161,0,0,0,0,0,0,0
146,0,15,41,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
658,0,259,763,0,0,0,0,0,0,0
33,0,82,237,0,0,0,0,0,0,0
95,0,75,215,0,0,0,0,0,0,0
97,0,97,277,0,0,0,0,0,0,0
95,0,111,323,0,0,0,0,0,0,0
100,0,117,348,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
60,0,174,510,0,0,0,0,0,0,0
646,0,286,832,0,0,0,0,0,0,0
99,0,76,219,0,0,0,0,0,0,0
430,0,149,432,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
773,0,134,388,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
275,0,601,1715,0,0,0,0,0,0,0
617,0,236,687,0,0,0,0,0,0,0
225,0,283,818,0,0,0,0,0,0,0
733,0,97,279,0,0,0,0,0,0,0
238,0,400,1167,0,0,0,0,0,0,0
97,0,137,392,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0
314,0,174,511,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
60,0,35,96,0,0,0,0,0,0,0
778,0,75,213,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0
145,0,277,813,0,0,0,0,0,0,0
125,0,122,352,0,0,0,0,0,0,0
679,0,19,53,0,0,0,0,0,0,0
733,0,605,1669,0,0,0,0,0,0,0
99,0,83,249,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0
233,0,52,150,0,0,0,0,0,0,0
539,0,318,936,0,0,0,0,0,0,0
668,0,263,775,0,0,0,0,0,0,0
451,0,20,56,0,0,0,0,0,0,0
752,0,86,258,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0
217,0,1958,5566,0,0,0,0,0,0,0
410,0,351,1015,0,0,0,0,0,0,0
779,0,332,974,0,0,0,0,0,0,0
99,0,21,58,0,0,0,0,0,0,0
259,0,165,476,0,0,0,0,0,0,0
322,0,51,149,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
211,0,143,421,0,0,0,0,0,0,0
779,0,24,67,0,0,0,0,0,0,0
374,0,184,535,0,0,0,0,0,0,0
232,0,108,320,0,0,0,0,0,0,0
779,0,297,765,0,0,0,0,0,0,0
112,0,22,61,0,0,0,0,0,0,0
730,0,107,210,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0
410,0,231,664,0,0,0,0,0,0,0
779,0,0,0,0,0,0,0,0,0,0
43,0,79,238,0,0,0,0,0,0,0
753,0,76,229,0,0,0,0,0,0,0
434,0,79,227,0,0,0,0,0,0,0
155,0,82,242,0,0,0,0,0,0,0
397,0,50,144,0,0,0,0,0,0,0
565,0,98,286,0,0,0,0,0,0,0
95,0,14,36,0,0,0,0,0,0,0
42,0,15,40,0,0,0,0,0,0,0
96,0,1659,4766,0,0,0,0,0,0,0
99,0,65,184,0,0,0,0,0,0,0
99,0,226,659,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
211,0,181,539,0,0,0,0,0,0,0
97,0,23,65,0,0,0,0,0,0,0
336,0,83,243,0,0,0,0,0,0,0
615,0,102,292,0,0,0,0,0,0,0
316,0,48,140,0,0,0,0,0,0,0
420,0,96,287,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0
325,0,80,241,0,0,0,0,0,0,0
458,0,190,548,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0,0,0,0
64,0,68,199,0,0,0,0,0,0,0
299,0,566,1628,0,0,0,0,0,0,0
778,0,421,1215,0,0,0,0,0,0,0
84,0,174,503,0,0,0,0,0,0,0
779,0,95,286,0,0,0,0,0,0,0
426,0,45,129,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0
328,0,21,59,0,0,0,0,0,0,0
85,0,105,305,0,0,0,0,0,0,0
281,0,375,1100,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0
189,0,53,154,0,0,0,0,0,0,0
511,0,23,63,0,0,0,0,0,0,0
137,0,393,1148,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0
197,0,153,444,0,0,0,0,0,0,0
98,0,289,838,0,0,0,0,0,0,0
756,0,0,0,0,0,0,0,0,0,0
270,0,119,348,0,0,0,0,0,0,0
96,0,18,48,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
57,0,182,542,0,0,0,0,0,0,0
296,0,107,312,0,0,0,0,0,0,0
302,0,67,192,0,0,0,0,0,0,0
42,0,171,504,0,0,0,0,0,0,0
99,0,101,288,0,0,0,0,0,0,0
260,0,136,393,0,0,0,0,0,0,0
49,0,465,1346,0,0,0,0,0,0,0
227,0,77,221,0,0,0,0,0,0,0
779,0,233,678,0,0,0,0,0,0,0
169,0,248,712,0,0,0,0,0,0,0
449,0,16,42,0,0,0,0,0,0,0
200,0,135,399,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0
505,0,102,301,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0
549,0,83,248,0,0,0,0,0,0,0
38,0,17,47,0,0,0,0,0,0,0
121,0,255,736,0,0,0,0,0,0,0
300,0,196,565,0,0,0,0,0,0,0
312,0,103,306,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0
778,0,123,354,0,0,0,0,0,0,0
131,0,68,193,0,0,0,0,0,0,0
303,0,589,1687,0,0,0,0,0,0,0
779,0,79,232,0,0,0,0,0,0,0
224,0,125,361,0,0,0,0,0,0,0
95,0,224,652,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
401,0,43,125,0,0,0,0,0,0,0
97,0,45,123,0,0,0,0,0,0,0
279,0,65,183,0,0,0,0,0,0,0
685,0,0,0,0,0,0,0,0,0,0
68,0,83,249,0,0,0,0,0,0,0
27,0,17,46,0,0,0,0,0,0,0
221,0,20,55,0,0,0,0,0,0,0
250,0,78,223,0,0,0,0,0,0,0
54,0,51,148,0,0,0,0,0,0,0
59,0,53,155,0,0,0,0,0,0,0
